Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.176,947.339244463896,4.980251808558474,-1.6989378350248798,-0.18504408470411726,0.7101764463206619,0.3534787736951016
Sum Ranks,0.176,947.339244463896,4.980251808558474,-1.6989378350248798,-0.18504408470411726,0.7101764463206619,0.3534787736951016
Sum Ranks,0.176,947.339244463896,4.980251808558474,-1.6989378350248798,-0.18504408470411726,0.7101764463206619,0.3534787736951016
Sum Ranks,0.181,29934664353709.734,9.331062853947774,-2.9526060081495924,0.6243344973756841,0.8119351779487403,0.33358067403363817
Sum Ranks,0.181,29934664353709.734,9.331062853947774,-2.9526060081495924,0.6243344973756841,0.8119351779487403,0.33358067403363817
Sum Ranks,0.181,29934664353709.734,9.331062853947774,-2.9526060081495924,0.6243344973756841,0.8119351779487403,0.33358067403363817
Sum Ranks,0.181,29934664353709.734,9.331062853947774,-2.9526060081495924,0.6243344973756841,0.8119351779487403,0.33358067403363817
Sum Ranks,0.181,29934664353709.734,9.331062853947774,-2.9526060081495924,0.6243344973756841,0.8119351779487403,0.33358067403363817
Sum Ranks,0.181,29934664353709.734,9.331062853947774,-2.9526060081495924,0.6243344973756841,0.8119351779487403,0.33358067403363817
Sum Ranks,0.185,11909641.936371725,8.288586266314113,-2.5865094813834264,-0.25008193350753927,-0.728188438545625,0.34970466890025687
Sum Ranks,0.185,11909641.936371725,8.288586266314113,-2.5865094813834264,-0.25008193350753927,-0.728188438545625,0.34970466890025687
Sum Ranks,0.193,27420314264171.156,11.931066779115996,-4.585378169364725,-0.41096529870425136,-2.5029234554046345,0.3566117061713906
Sum Ranks,0.193,27420314264171.156,11.931066779115996,-4.585378169364725,-0.41096529870425136,-2.5029234554046345,0.3566117061713906
Sum Ranks,0.193,27420314264171.156,11.931066779115996,-4.585378169364725,-0.41096529870425136,-2.5029234554046345,0.3566117061713906
Sum Ranks,0.193,27420314264171.156,11.931066779115996,-4.585378169364725,-0.41096529870425136,-2.5029234554046345,0.3566117061713906
Sum Ranks,0.193,27420314264171.156,11.931066779115996,-4.585378169364725,-0.41096529870425136,-2.5029234554046345,0.3566117061713906
Sum Ranks,0.193,27420314264171.156,11.931066779115996,-4.585378169364725,-0.41096529870425136,-2.5029234554046345,0.3566117061713906
Sum Ranks,0.193,27420314264171.156,11.931066779115996,-4.585378169364725,-0.41096529870425136,-2.5029234554046345,0.3566117061713906
Sum Ranks,0.193,27420314264171.156,11.931066779115996,-4.585378169364725,-0.41096529870425136,-2.5029234554046345,0.3566117061713906
Sum Ranks,0.193,27420314264171.156,11.931066779115996,-4.585378169364725,-0.41096529870425136,-2.5029234554046345,0.3566117061713906
Sum Ranks,0.202,1515387533545804.0,10.497293663578537,-3.704341674405566,-0.25629767582859553,-3.5821793902789505,0.3518033850074998
Sum Ranks,0.202,1515387533545804.0,10.497293663578537,-3.704341674405566,-0.25629767582859553,-3.5821793902789505,0.3518033850074998
Sum Ranks,0.202,1515387533545804.0,10.497293663578537,-3.704341674405566,-0.25629767582859553,-3.5821793902789505,0.3518033850074998
Sum Ranks,0.202,1515387533545804.0,10.497293663578537,-3.704341674405566,-0.25629767582859553,-3.5821793902789505,0.3518033850074998
Sum Ranks,0.202,1515387533545804.0,10.497293663578537,-3.704341674405566,-0.25629767582859553,-3.5821793902789505,0.3518033850074998
Sum Ranks,0.202,1515387533545804.0,10.497293663578537,-3.704341674405566,-0.25629767582859553,-3.5821793902789505,0.3518033850074998
Sum Ranks,0.202,1515387533545804.0,10.497293663578537,-3.704341674405566,-0.25629767582859553,-3.5821793902789505,0.3518033850074998
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
Sum Ranks,0.222,5.968673297971631e+24,9.247053294125081,-3.082159082747658,0.49602062087173837,-5.33145266106448,0.33701534238930175
