Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.174,11.026108560811956,-0.9655336242246326,-1.0196102846076247,-0.5816478446102333,-0.35501568068791123,0.6622184290242895
Sum Ranks,0.176,2.281203950549836e+16,0.46605622962224746,-2.2989441662769288,0.3952116405248407,-2.0690591485850383,0.42526897446741985
Sum Ranks,0.176,2.281203950549836e+16,0.46605622962224746,-2.2989441662769288,0.3952116405248407,-2.0690591485850383,0.42526897446741985
Sum Ranks,0.176,2.281203950549836e+16,0.46605622962224746,-2.2989441662769288,0.3952116405248407,-2.0690591485850383,0.42526897446741985
Sum Ranks,0.176,2.281203950549836e+16,0.46605622962224746,-2.2989441662769288,0.3952116405248407,-2.0690591485850383,0.42526897446741985
Sum Ranks,0.176,2.281203950549836e+16,0.46605622962224746,-2.2989441662769288,0.3952116405248407,-2.0690591485850383,0.42526897446741985
Sum Ranks,0.176,2.281203950549836e+16,0.46605622962224746,-2.2989441662769288,0.3952116405248407,-2.0690591485850383,0.42526897446741985
Sum Ranks,0.176,2.281203950549836e+16,0.46605622962224746,-2.2989441662769288,0.3952116405248407,-2.0690591485850383,0.42526897446741985
Sum Ranks,0.176,2.281203950549836e+16,0.46605622962224746,-2.2989441662769288,0.3952116405248407,-2.0690591485850383,0.42526897446741985
