Max Rank,Sum Ranks,Top 5 Avg,Max Rank2,Sum Ranks2,Top 5 Avg2,Max Rank3,Sum Ranks3,Top 5 Avg3,Max Rank4,Sum Ranks4,Top 5 Avg4,Max Rank5,Sum Ranks5,Top 5 Avg5,Max Rank6,Sum Ranks6,Top 5 Avg6,Max Rank7,Sum Ranks7,Top 5 Avg7,Max Rank8,Sum Ranks8,Top 5 Avg8,Max Rank9,Sum Ranks9,Top 5 Avg9,Max Rank10,Sum Ranks10,Top 5 Avg10,Max Rank11,Sum Ranks11,Top 5 Avg11,Max Rank12,Sum Ranks12,Top 5 Avg12,Max Rank13,Sum Ranks13,Top 5 Avg13,Max Rank14,Sum Ranks14,Top 5 Avg14,Max Rank15,Sum Ranks15,Top 5 Avg15,Max Rank16,Sum Ranks16,Top 5 Avg16,Max Rank17,Sum Ranks17,Top 5 Avg17,Max Rank18,Sum Ranks18,Top 5 Avg18,Max Rank19,Sum Ranks19,Top 5 Avg19,Max Rank20,Sum Ranks20,Top 5 Avg20,Max Rank21,Sum Ranks21,Top 5 Avg21,Max Rank22,Sum Ranks22,Top 5 Avg22,Max Rank23,Sum Ranks23,Top 5 Avg23,Max Rank24,Sum Ranks24,Top 5 Avg24,Max Rank25,Sum Ranks25,Top 5 Avg25,Max Rank26,Sum Ranks26,Top 5 Avg26,Max Rank27,Sum Ranks27,Top 5 Avg27,Max Rank28,Sum Ranks28,Top 5 Avg28,Max Rank29,Sum Ranks29,Top 5 Avg29
10973856.50078165,1100812952.2743995,8194493.413540849,1.6338920399545728e+16,4.686274302142751e+16,7724055354219352.0,286306078629920.9,635679059564768.2,108673742763708.77,1.0233480279001027e+27,1.6904194796831997e+27,3.29092359904365e+26,1.4982465065102892e+16,2.0326557985243648e+17,6752116190243668.0,2737.190988510275,107128.65232768231,2071.026418210551,1.2043881910109228e+16,1.742781899004177e+17,7904663960915040.0,120425526499747.66,1230979175239281.0,69381936892495.64,10927570.104442863,736165811.3737667,7276682.969390144,242297.80476089587,7350361.679386329,166617.16765100032,1.2166390407923907e+18,1.3888240015745147e+19,5.755461603404798e+17,109726.45337298256,7345826.595348412,72928.58593635217,120935618276382.25,1742818681924304.5,79200443007887.17,2479.8798991842364,73701.50331742247,1688.8351892478506,1.210928153553742e+16,1.3855048997505178e+17,5756565461953238.0,1.1993082276315116e+16,1.2306380522089475e+17,6923468902523121.0,11481471.004270695,1856483897.8548448,9841094.263664078,1474523609.7608292,167046193099.9841,696650106.6322198,5.251304530166831e-05,0.0015613894589640701,2.6795108464438244e-05,524215.3984839277,3075062.5382058676,287928.03158291924,2.7052467933080635e+51,3.3212638015901444e+51,6.629733506326141e+50,2.4531959084376084e+16,4.275079424250237e+16,7824198836438982.0,9701454.862987544,86245525.00041024,4935547.348472368,204.95271573319513,346.329748949927,68.34948960912749,0.01006977016338535,16.826376489818465,0.010041819054340142,455242.5298222901,3702904.7259491705,379146.2290024782,4571.2036385504325,37103.95209275774,3802.377571713291,1.0472411862070293e+54,1.2357601246623988e+54,2.4711616652326437e+53,211044370023995.66,2233040598820951.5,134062292986728.67
4848080.97848409,751283220.6469796,3199243.691503616,2498399153218321.5,4354256871384878.5,819711222757354.2,10063532913376.564,19135441471016.793,3511018286527.7793,2.086900888831828e+25,3.7865884956298677e+25,7.226868682590739e+24,1768213630734042.8,9.40301371174318e+16,1303921988603772.5,1062.4863101237231,69947.9650432624,1032.4348376958264,3392570895123313.5,7.560067501187578e+16,1792906824135793.8,23503889173939.258,477576521808223.94,10951508488630.352,3350545.8903812543,486243030.65319866,2660362.070559268,73139.9463106114,4417684.236349089,62749.723727793375,1.704532368863793e+17,6.134891185720926e+18,9.747974987223709e+16,33587.730823361686,4833808.262746941,26588.121536622977,34009012785557.457,753268097314877.1,17996500578205.91,733.1953984478654,44101.251583893565,630.4412637187366,1690348774055190.0,6.095050932768163e+16,970492260760811.4,2344631725610474.5,4.79476263394356e+16,1095095184195156.4,9206597.99168934,1265865624.435082,6340112.976301631,563706002.0345786,114597760555.87315,374360766.3197159,0.00036309635243074814,0.002162753383543218,8.095854874008955e-05,299103.72659317194,666581.3954686016,122030.420688407,1.7049915897016952e+48,6.064844004045287e+48,1.0890120570405399e+48,79483493571882.5,362913231867161.75,55523555132840.04,828785.6673819722,23582363.10235769,814611.4687194403,0.03478890564791548,0.035666615230741466,0.007132739538747946,0.009929471446647643,21.550360225947067,0.009895599848205813,121745.29616269558,318977.5311565964,57341.38965554586,1204.7875509430016,3161.0941832451363,568.1717769702313,4.355155319807073e+50,6.205089108945471e+50,1.2400151418250165e+50,96256626730660.42,1018397642602551.1,59615537131744.44
8363128.587112095,486305074.75386524,6564243.362145531,1223623550919566.2,3520242328467515.5,614626229095676.8,16821455963507.95,29326791474120.977,5280714976822.547,6.507404858126689e+24,1.6547843000158465e+25,2.803269598090625e+24,1.1307220453036596e+16,7.722630597399882e+16,3760733798156036.0,18335.48795127347,87002.77934721536,8894.166720763807,1.1338503482945212e+16,7.783413741841995e+16,6718389603897687.0,69941919764571.56,533930299846223.56,45474017123138.94,7623800.782727058,346489563.133332,4822841.382777157,1779771.2096456958,6284647.255679206,657118.6711941317,1.0651518824694276e+18,5.791224903514241e+18,3.257982462311274e+17,75159.55711483929,3420157.469528431,47943.44381908076,113371822046217.61,772830488926344.9,67015718975590.6,18243.1496081899,63274.4844736145,6693.598500676382,1.0500844136407656e+16,5.712861198660418e+16,3219738531875109.5,6995007106185316.0,5.381735767805779e+16,4567985178847352.0,13556149.575522248,737444283.0915672,9901003.18513378,1279148676.560504,76515874864.97588,565059422.2916024,0.00036551609339086517,0.0019156730546273024,0.0001464403141847201,298100.5438905441,973909.1408267529,171034.02896809863,5.020422988824574e+48,8.776307451114722e+48,1.6701107462079307e+48,503129343880781.5,1214439264837090.2,205247053847473.53,1607086.3084839748,26417185.459800538,1216925.933588285,65580525.66780461,65581551.052334696,13116310.210428534,0.010198657100860783,13.5685068246895,0.009953822848051125,545555.4008428793,921144.8336511152,164188.2262147377,5420.802479874213,9133.899422120829,1629.2064582080534,4.234631798757084e+49,5.865437115831189e+49,1.1556647211277112e+49,1015650466680493.0,3093966044606280.5,501996546304805.5
10965894.213722441,1059756746.1031113,6230843.772496684,5332978695658007.0,1.9811975850166668e+16,3042913056781803.0,27223223276025.61,114129367949151.95,16248319374971.605,9.320728306754039e+25,2.559231711202641e+26,4.29289767845826e+25,1.2501690720258638e+16,1.6057848484941725e+17,5123667206989674.0,1149.1571921718187,99600.90914237252,755.3845253187515,1.3393520317271292e+16,1.499455462284644e+17,6019001609477641.0,120250835906551.34,1043929087509827.9,44623243542794.04,9954804.065525793,742600995.4369744,4842612.566053038,105478.36889982328,6900950.1711906325,57958.77596921132,1.1475000588655553e+18,1.1590708067983307e+19,4.119639531947182e+17,98454.9180817305,7331188.161475511,47935.83218982005,132464480162853.83,1482327257729549.5,59573153974273.42,1043.201262533151,68251.19452084211,573.7829271991162,1.1348995274114614e+16,1.1443826138364131e+17,4073417606837765.0,1.2158595360078246e+16,1.0561169398139082e+17,4509176632617884.0,12079678.827932803,1641850585.625442,8942323.909774465,1034935688.1368387,139012740565.88538,604127274.7297331,2.1373548359237382e-05,0.0017231730088276965,1.0599664688747942e-05,346139.4455170828,1910311.0876588312,252399.79359397842,8.847453076243148e+48,4.122806005935685e+49,6.440517283415262e+48,491405259095265.6,3005635211362089.0,328964092452078.7,1927033.476392171,68643965.45786008,1475475.793942526,0.04825506834892881,0.085669154889586,0.01666893787118426,0.00987884110091603,18.025112413496224,0.009851003429788693,230803.55666515153,1153259.4269694232,142670.64285615337,2274.52037105127,11359.550771504975,1404.3885966545695,8.687597616832601e+51,1.273856464216668e+52,2.5083268697212453e+51,141914061554160.2,1610192070647388.5,70736985174912.53
3128215.61740466,411309054.0880813,2423548.8809500816,6057086201337798.0,6494014516922551.0,1298707828153464.5,38178041205426.37,40507494767700.97,8100591444840.664,5.0441007715129366e+25,5.447705213424291e+25,1.0894512813071216e+25,1214631416478178.2,6.820820168827661e+16,1024926018097227.0,441.1006108755435,26173.109728602718,333.2270997382807,1700949132094221.0,4.112305828963979e+16,1022836125054563.8,9785732948974.428,256831090347821.44,6167422575724.979,2769187.6138635096,261950317.52833518,1805854.5384358116,38783.43132594687,1676049.9786736923,24489.057878593867,7.456865242785856e+16,4.2683561293525494e+18,6.57362837427273e+16,27880.43271885748,2619713.6660789186,18142.175532312638,17126210322187.73,411584323513020.06,10287784073946.01,390.4751134506509,16785.514647622244,246.9962700296221,743723898638488.4,4.267128406746199e+16,658226890995861.2,971955161102912.0,2.566101700312663e+16,612878464513495.5,5672136.980543006,712413591.9851058,4329830.631879329,423767377.7061312,73939180165.61432,361112858.47898424,4.574147484821823e-06,0.00044363749015298757,3.697986280417517e-06,727350.5211798613,786541.0292081016,157275.21801335708,1.348804151772766e+48,2.1631217201756404e+48,4.253846030237568e+47,257408614161291.38,371050261133384.9,72865359493104.53,656300.891547475,11771731.289835958,565836.730830982,1.0012304458809589,1.002367922991121,0.20047358459822145,0.010100984352472978,6.88879617486754,0.009996710452041648,458180.3808868379,489993.7969386332,97973.45994502214,4584.517579138948,4902.636695528847,980.2736535157449,2.54429525931774e+51,2.5499322360639845e+51,5.099864458774082e+50,23983253016831.273,295812440538461.8,13474431605554.035
6705824.259872249,485535672.08486825,3402481.690181716,2.5538542026378044e+16,6.577678358159808e+16,1.1273763038221046e+16,130238595046696.73,351284881152352.7,60758629797408.984,4.0899321198789354e+26,9.154331298774582e+26,1.646487280778117e+26,1480353078934167.8,7.9842610245894e+16,1103404673130233.6,2521.811393113622,36833.90788546746,1289.4104997472505,5408532687665004.0,5.314546221795832e+16,1968700925473705.2,44968079004291.21,351657782670917.25,14591493190094.406,5495458.094124451,323035421.00361073,2718989.1133678937,203700.0762844619,2416995.501504123,93909.32737732877,1.1957596667628403e+17,5.280338344952115e+18,8.069440033405032e+16,55754.13009790159,3231024.584337624,27517.027840249462,54872229019311.86,533015438560476.25,19939293659212.125,2066.637641411368,24278.00598996953,953.1987290231731,1213157099638308.2,5.278573291232645e+16,809156626832313.8,4432320857798851.5,3.505811246403552e+16,1439701061135108.5,8182771.706032929,846272057.7423127,5444809.6654807385,472364125.8970615,88407433860.25787,392996266.05487704,3.917064100474651e-06,0.0004718037377779811,3.388840061835632e-06,1594689.3731145435,5457933.919580624,861234.2170197756,1.0514108277550382e+49,6.312462897604497e+49,7.766220795469353e+48,760037932952500.5,2968883890015484.5,400928973059474.44,1008611.8266428988,28964303.028675314,895628.1103141537,1.161884719129421,2.8556829436557014,0.5661939484676077,0.010012672748020002,7.587526200134,0.009997275440395784,814084.8578436426,2945185.057758586,470597.3743000554,8132.418180952476,29436.17489337752,4703.915982573445,1.6727544745217403e+53,2.446455545666396e+53,4.874243213615635e+52,200478013332916.72,670678665804790.5,68351867496675.33
6723299.773373843,520789320.57946783,4324136.557158593,3.3553846377562548e+16,3.911660701349109e+16,7701156753742606.0,252092670869990.44,330910647966953.4,65570037570000.83,8.759963807146896e+26,9.225878339669732e+26,1.8371775435971594e+26,5414022731409205.0,7.829700318053776e+16,3392003540047827.0,1306.9804263665976,53461.994459742724,889.2112875689314,1.0725350270053266e+16,7.1120540438970104e+16,4917757746717370.0,45202759842648.75,397193764648873.75,20891287655722.61,2860476.2318671127,339801153.98204064,2408428.5634592236,78354.11505091474,3594204.168851657,60308.40658297407,2.3252965298862694e+17,4.816137567903434e+18,1.5984826915591757e+17,28335.830285610176,3341896.567838072,23770.911714329843,106245142546624.47,700991005791372.0,48625224146306.83,784.8563316319461,35539.88522604032,601.1697143386128,2303434900123882.0,4.732801114532566e+16,1576530257660881.5,4563177392065242.0,4.031678979823995e+16,2113900527346416.0,15802529.431661684,902837850.3004022,10239071.527720293,541748231.9256985,75451493456.90419,398969096.3267167,0.00012398677177208353,0.0014470257777129667,5.575284751361161e-05,1285234.313194906,2052163.0002202298,387736.7999892137,9.104220894543192e+49,9.9773306718764e+49,1.9835726363878867e+49,2721963624682674.0,5460562943965555.0,1065442969335591.8,1877649.664157506,25040391.213605564,1137231.723714723,9948.806795660392,9953.37473321012,1990.6749366501172,0.009946470580056136,9.376887322680087,0.00989357157826705,981817.8219830333,2153468.598717057,418495.0168190497,9656.065866824709,21263.100359264598,4133.015119593522,7.673696590252354e+53,7.681033251346619e+53,1.536197943292389e+53,210474987792983.3,867923231925423.0,79168878650024.16
5498990.884992036,546947849.788665,4066639.8595374944,1.0974190166695912e+16,1.4484808237990976e+16,2832049958381579.0,46584231692009.56,67278229164874.28,13034708804130.498,1.6123246049869647e+26,1.9884711654391058e+26,3.936520879709206e+25,4229263138053793.0,7.530778521401453e+16,2047016842302611.2,1856.854328241392,48080.729085042185,1160.9441306133344,4073798054021485.0,6.014643291529087e+16,2209497604732514.5,30238900753225.504,416296003278169.44,17168645380971.088,4133403.431971561,378727196.0621133,3569916.568271965,171706.7322567896,3465786.8582805716,104509.51211341735,3.219198789479212e+17,5.242256684106922e+18,1.6493648692054038e+17,40817.791507857815,3733424.5058991136,35418.984384916585,40229182162083.695,593801891528914.5,21903595892636.24,1715.4392267773787,34282.51171192744,1043.3145679493232,3178992497924040.5,5.165362792510802e+16,1627101522563440.2,3062134709771547.5,4.215505457146896e+16,1731362564964753.2,7315739.01529425,872108541.4092653,5503278.982883752,578104704.0103693,82669532298.83374,449350990.4304245,9.643466587913153e-06,0.0013399403364804197,8.92153483955927e-06,746951.6339470545,1275996.2983513882,233284.98287723958,6.246941587501939e+48,1.2734406089934482e+49,2.4802691882076203e+48,279921414043098.9,1077180255846678.0,181505830350142.5,1914385.5464709257,31835081.37467221,1109942.7981823469,0.02690882077298117,0.05174971935461429,0.010345298546724429,0.009901823925435623,15.653157416782877,0.009856902032449441,323022.57898956497,660326.9941019475,116485.63907271538,3170.7276300088997,6492.875841649838,1145.2860652367433,2.5995906318463715e+52,2.6597002607616286e+52,5.319059880315724e+51,85249526036853.72,697967054141777.8,48406238322550.19
7780296.037204826,485886149.9558987,4788545.201795476,2.808096384877116e+16,5.409065999155358e+16,1.0105359279052658e+16,116438088967289.14,277860792084826.22,52170379589857.2,5.0939187134893146e+26,8.418227542930883e+26,1.5771560244373142e+26,2850713483716345.5,6.620053973406986e+16,1663492579061896.2,2359.4238341639075,45204.40276368644,1614.047892426834,8597427343875453.0,5.852685584251179e+16,3750687456318289.0,60533006426545.15,391956893129794.4,26390531430323.914,5462889.348367895,321097873.59109294,3712447.362044944,165209.41606750613,2990562.7310719714,117362.45637613264,1.9961005021695734e+17,4.454029055420225e+18,1.2963085800836144e+17,54779.725513591526,3184193.288045614,37183.18377750751,86211651012343.88,582873850976354.8,37607279272833.016,1656.6556427035373,29801.538932991585,1178.4325411713394,2001611796128725.2,4.415861858380884e+16,1292482173763597.2,6036633315189061.0,3.9357062369747304e+16,2632772941907736.5,11080767.441249771,828812160.7842646,7095707.443374524,492310292.2704421,80243054391.14807,382958601.595243,9.222530571766657e-06,0.0012551240154051392,7.137331167286247e-06,1548003.7570836022,3813263.4430887597,687930.9749273338,1.851138379128837e+49,7.594286366495616e+49,1.1758919288402943e+49,841048503859931.0,2719703290836079.5,448733404348048.1,2163422.2953047096,32550181.825037427,1185909.5913731137,1.5739503198565397,2.048770871359774,0.4096704335564561,0.009937090942223134,16.35760577974044,0.00991566182823549,649888.5704760428,2038033.384089158,369606.3830826624,6418.818106091683,20173.92035591069,3658.8441933528993,2.5948007859636635e+53,2.8321896539916116e+53,5.644137867296247e+52,260004525185711.22,1054049120888602.2,123048117951203.5
3225468.380877084,712541133.9979863,2746115.6858426007,1.0564848292872748e+16,4.9494350886046056e+16,7071316627254657.0,51386496386280.27,252778998799622.5,34550407166572.656,2.2688905927402396e+26,9.067249544710891e+26,1.4654299124435112e+26,1606539579322034.8,1.0208271994717843e+17,1348013920977693.8,1124.2131513838583,56077.131261418195,829.1161819659452,1210731487792554.2,7.0884184958890504e+16,928922191496249.2,10403646276037.838,515927222377219.06,7651055177593.201,2867746.978504617,517724032.43098044,2312640.97416113,90677.88211023257,3988065.422091805,56377.582318107525,1.3882634465856624e+17,7.515281148371612e+18,1.060254081225974e+17,28706.316998864215,5158097.380066881,23087.889108221683,12073313503325.781,707009080394000.9,9281875825014.61,918.1128433432519,39841.09904848344,570.8795591388813,1384364740227857.5,7.484774189323491e+16,1055782679407004.0,1043294546338500.0,5.173238069343264e+16,765898765413189.4,3743119.472168799,1073905136.4658964,3450348.629978463,486209352.7752853,115181722761.17053,415968225.03211844,6.423890244012682e-06,0.0011929999395201788,5.244231476045133e-06,601759.9294094945,3292942.9187225704,400281.3075702892,5.123063567160679e+49,1.5135184624275016e+50,2.429351063633694e+49,590634634190622.8,4160737518702845.5,453317503090025.1,1428485.2379860508,46257001.77016102,1171059.7552756208,6.928306973727503,7.031712773016502,1.4047831187422506,0.010023785183091018,16.522549540273634,0.009974158589913735,294491.3038688952,1846398.2703914745,207011.94340487727,2926.9075694035346,18381.000984592676,2061.9719527434586,5.147864521825155e+52,1.3050804320664899e+53,2.5145593531656414e+52,27962751448841.4,670891562572830.0,20390644969248.2
