Max Rank,Sum Ranks,Top 5 Avg,Max Rank2,Sum Ranks2,Max Rank3,Sum Ranks3,Max Rank4,Sum Ranks4,Max Rank5,Sum Ranks5,Max Rank6,Sum Ranks6,Max Rank7,Sum Ranks7,Max Rank8,Sum Ranks8,Max Rank9,Sum Ranks9,Max Rank10,Sum Ranks10,Max Rank11,Sum Ranks11,Max Rank12,Sum Ranks12,Max Rank13,Sum Ranks13,Max Rank14,Sum Ranks14,Max Rank15,Sum Ranks15,Max Rank16,Sum Ranks16,Max Rank17,Sum Ranks17,Max Rank18,Sum Ranks18,Max Rank19,Sum Ranks19,Max Rank20,Sum Ranks20,Max Rank21,Sum Ranks21,Max Rank22,Sum Ranks22,Max Rank23,Sum Ranks23,Max Rank24,Sum Ranks24,Max Rank25,Sum Ranks25,Max Rank26,Sum Ranks26,Max Rank27,Sum Ranks27,Max Rank28,Sum Ranks28,Top 5 Avg2,Top 5 Avg3,Top 5 Avg4,Top 5 Avg5,Top 5 Avg6,Top 5 Avg7,Top 5 Avg8,Top 5 Avg9,Top 5 Avg10,Top 5 Avg11,Top 5 Avg12,Top 5 Avg13,Top 5 Avg14,Top 5 Avg15,Top 5 Avg16,Top 5 Avg17,Top 5 Avg18,Top 5 Avg19,Top 5 Avg20,Top 5 Avg21,Top 5 Avg22,Top 5 Avg23,Top 5 Avg24,Top 5 Avg25,Top 5 Avg26,Top 5 Avg27,Top 5 Avg28
3588728.7792960606,1492776198.3506393,2759038.4241598193,1.24578199469755e+16,7.724638308774886e+16,41812444322807.85,234209713574957.12,4.5369296981312066e+26,1.8451005090768016e+27,1.2670074279563614e+16,2.8799505878950646e+17,660.1326413040293,57837.37384778321,1952222726094843.2,1.0107228819653064e+17,12878974251347.793,677935866629311.2,2797263.9300810313,1035588195.9012784,46994.719436673586,4037987.2916352805,9.146413997371459e+17,2.0663667139159826e+19,27456.614674089848,10068066.042687964,19330754217559.73,986350636370528.0,466.7942813482363,39466.842633417415,8318020695430932.0,1.9998056101410637e+17,1302323207614403.8,6.948563144700748e+16,7918538.409253424,2421014609.162898,7656141951.352072,526920046879.4829,3.081703248654798e-06,0.0010616718162856553,476334.27854403335,3913383.432400099,3.0320205082803785e+50,1.0410896515435567e+51,1167436078274814.5,3728536157424691.0,1957901.020617735,89186233.38194503,0.15910232069571445,0.22018671497397618,0.009853366912370938,32.054883517306685,249060.90900595486,1396318.8758411782,2456.889118308879,13620.137425106213,0.009853366912370938,32.054883517306685,8655026811228792.0,24843910842526.703,2.4223776176212127e+26,3560575035858671.0,529.1070028611193,1245428370378045.8,7810072908157.472,2195551.460982412,35605.4257487081,2.7320608167150096e+17,21614.308350452633,12324347276002.744,353.4062756851249,2549907354072558.5,789738788910532.4,4706182.959013158,1960402270.102164,2.091091135214096e-06,389235.36166641966,1.5969954435979524e+50,402987793759426.25,1306677.8065106769,0.04403267002149076,0.009800411533720677,155582.26474450662,1522.5198139766821,0.009800411533720677
6920379.208202095,1349387529.199861,5517460.990611241,9.200690691020251e+16,4.2493332956308e+17,152816639280472.62,1039202644540743.8,2.891348430911745e+27,9.564987026476482e+27,7998806607836678.0,2.554752695733913e+17,1024.726546221897,79376.89813004131,9426239163428678.0,1.3873761613346566e+17,47891648385315.87,878513652080042.9,5039292.577038426,917618837.4619124,62558.87950597666,5186471.933814343,4.5076874160705197e+17,1.719832450886985e+19,50557.659909213384,9134232.539238032,94852326386932.22,1387456950596828.5,632.8764619963013,51896.99579468899,4519902810629002.0,1.7106169478627494e+17,4776221742062631.0,8.7885345900944e+16,15550172.157784842,2217928265.7342772,653129355.291972,420390387060.9839,7.1976440466362185e-06,0.0015498940163680727,2927793.422847093,21616848.046547394,2.9724226014130667e+50,1.3066069100155362e+51,1519103325433572.8,6213311473775565.0,3030008.9936070372,81090935.0159285,0.062955269142255,0.12054961669259764,0.010006718592680404,28.994455267651578,496189.4022898103,5736542.731400035,4938.2079219157,56933.40348518385,0.010006718592680404,28.994455267651578,3.993832239857365e+16,87905338691908.23,1.1211251002154698e+27,4409212077660293.0,813.722070686023,5819737433935549.0,31350658072335.363,3975938.372120116,53161.009978833514,2.58194915413269e+17,39879.24234543591,58474733492288.46,534.7863962041341,2591319010444812.5,3123003584555827.5,10862066.441110693,529188163.07376736,6.581374807922093e-06,1611008.4918743477,1.5318600553732158e+50,562792731173491.5,1648806.0069723304,0.02318201477408796,0.009964936372752663,425079.30041390203,4220.570521561066,0.009964936372752663
6981229.412391739,1680118382.451452,3873178.329843058,7.51992614212692e+16,2.3626033115717974e+17,93135975765183.06,365997075776609.1,4.55841199959094e+27,8.971843333065519e+27,1.5621974312531094e+17,6.726518669666811e+17,653.5851698364896,58654.1207511835,8588783415484571.0,1.0898798649409082e+17,48737564108443.51,710117646925637.0,4006835.744006485,1113867708.1584332,45657.40351355044,3909283.5896296026,1.3139916223553876e+19,4.650408739488449e+19,39615.40297183024,11078781.891854472,84916911443436.27,1084789116518469.4,461.3539558641581,39055.917599629356,1.2480136965692365e+17,4.528779143977005e+17,4929481951360720.0,7.13505885453029e+16,12163604.205973815,2802554430.0496264,36317018528.62237,798145597812.7026,5.920805037683507e-06,0.0015532717439167704,1287891.1471979276,7950713.404776218,4.32934614396694e+51,6.379283039407399e+51,256432091465342.9,1900574713194537.5,1330984.5187119448,60102348.918928504,0.0004676761630641021,0.000633868252585168,0.010056664330428665,53.53675991524336,282459.07624968886,1374654.586293957,2804.7433395645226,13630.57130618504,0.010056664330428665,53.53675991524336,3.667503324622693e+16,52987198336846.555,1.5090086226474808e+27,7.140369728043433e+16,551.3845855360859,2888763437694214.5,17516946185663.637,2619502.7589687067,43727.98541409318,5.059609000110393e+18,25920.140839458134,28484858711095.75,442.81788905556505,4.841992868851339e+16,1770385601048952.5,6134877.676648541,15428239139.033737,5.224022233197106e-06,1144935.1521753143,1.1203739760525688e+51,177591317414083.44,1033538.147980481,0.00012654716385116085,0.009973073574518253,184816.0894637499,1831.479380301957,0.009973073574518253
93095606.41075242,2176001460.5519834,22985755.970783323,6.214812835863229e+16,2.818366983303904e+17,110120387503305.56,425138724838302.3,1.6863513088704776e+27,7.442312153358712e+27,1.2820857910061505e+20,1.3016657081225144e+20,650.1150878118931,78793.23982912823,1.0988307064477381e+18,1.2515627454682074e+18,8666791932985723.0,9710127554003180.0,75660440.70808472,1503554613.1196742,58673.106841742345,5434991.114013769,1.0736651748111943e+22,1.0841520071684546e+22,734271.6634170592,15065150.65422952,1.0663964458654122e+16,1.2196807128448062e+16,595.6543127815385,54795.24123084526,1.0419737269351416e+20,1.0522635773702501e+20,8.930390887255621e+17,9.968740893829768e+17,114548525.64795637,3511611591.2576704,1119251237633.9119,2112008763254.1396,4.31459053364427e-06,0.002098009181478016,2290382.696751411,11682732.663708868,1.3824334133379784e+51,2.9818515999077322e+51,334456450241267.75,2519555593973612.0,3449865.04520761,113836496.89889002,0.00036346811895134734,0.000407571866071929,0.010091380077166453,67.51480874796094,405880.96750903915,1811441.0056020014,4058.3334809647354,18101.460531879853,0.010091380077166453,67.51480874796094,3.5078122565861816e+16,53717833187541.23,1.0146365509370352e+27,2.5953309586105885e+19,564.4794946416403,2.239732810172578e+17,1759178834246738.5,18481392.868763424,52061.70928513062,2.162798738772097e+21,180537.00129685056,2174197786105813.5,528.8092260613766,2.0990065714577682e+19,1.8120806927248637e+17,29441278.160175543,244214164480.44492,3.925730300144212e-06,1314990.3615276176,4.02289135118554e+50,210665789196537.4,2460543.125631694,7.91729025992543e-05,0.010082770009433414,208683.6108216756,2085.2214298739304,0.010082770009433414
1895911.5112592443,122014419.70069543,1508459.55001606,1.5829656427047295e-15,1.5829656438600238e-15,3.6220566686173335e-18,3.6220566734506065e-18,3.719730612447778e-05,3.7197306131294295e-05,597641574918432.4,2.0259827080235364e+16,306.79212395188875,5533.490872674818,814707675792560.8,7876875254398455.0,3594480458525.313,42189141815469.234,1204619.7638990672,69047546.76445626,19229.691121273547,298117.0511254984,3.7957778239840056e+16,1.1514356710493076e+18,12211.07230321465,691379.0416287333,8255326634606.752,79193440667021.53,194.9288528110442,2998.0951355349234,379082294555052.7,1.1512568615545194e+16,354594755789684.0,4199019042615743.5,4616047.902859296,231876839.61828154,400724057.09838384,45045771246.019554,2.750604371200396e-06,0.00013408691629754877,6.736456176687112e-26,6.736456196312161e-26,1.7299052445262816e+37,1.7299697367419807e+37,0.048986786251856616,0.048988026895580274,29390.14457172912,138003.7588992857,2.8327991175965657e-129,2.8327991175965657e-129,0.009067597444216261,3.5107856842526903,1.5437843780722663e-26,1.543784386258579e-26,1.5413995957566894e-28,1.5413996039685016e-28,0.009067597444216261,3.5107856842526903,3.1659312877200134e-16,7.244113346901103e-19,7.4394612262587925e-06,440511097968345.94,226.9931216769432,515988052306117.3,2418246612228.259,807476.1901019601,11139.218736861001,2.3619721483022376e+16,8161.113162073219,5227569727690.355,112.85413468179581,237765712420219.94,238689131172986.1,3319958.6471331087,341270596.9373844,1.4598513323199515e-06,1.3472912392624075e-26,3.4599356213585635e+36,0.009797603388285567,13586.027309453875,5.6655982351931316e-130,0.008868554657345576,3.08756877251702e-27,3.0827992079368655e-29,0.008868554657345576
4803085.563753378,1642947811.7662427,3398708.832262543,5.532551402451839e+16,2.2643377200402787e+17,143336443954438.38,535209828446446.44,1.8607389885467002e+27,5.766158125175356e+27,5071244424519808.0,3.711468149992029e+17,1086.1236469842383,62533.26960674416,2734891439427428.0,1.1787344416307923e+17,23069630932736.098,751324183497629.2,4034982.921853308,1058124226.4989295,90870.19695772018,3975812.2280534417,2.659289058542431e+17,2.4048222760043274e+19,40515.46971727008,10461107.040739886,27461184703911.734,1168554693698386.2,912.4322913743243,39473.22951055938,2611453900272875.0,2.3746165842010237e+17,2297531473203441.5,7.580473599797248e+16,6564308.380867649,2985168858.7114716,1763794215.3579707,663602010265.4425,1.0408982622908389e-05,0.001197057967715263,1832742.188261924,9809705.894544011,3.2208341574442585e+50,1.0252530777161636e+51,724796039094524.2,3166608133705063.5,969178.3723737167,70984211.02813236,170.55445669705827,170.60491398578674,0.010028827942465323,38.330256418981165,572450.5088553053,2764834.758751396,5670.6993945818795,27363.83622061167,0.010028827942465323,38.330256418981165,3.4315585405288724e+16,77779524395686.03,9.320179618745154e+26,3707328778608247.0,749.4501112485632,1615845705195451.8,12057181235672.87,2790290.913395693,49499.76660507662,2.3280653833192227e+17,27869.136174463572,16207969695635.098,496.66674155041017,2288718851079856.0,1204337399078134.8,6251225.706534408,1361379856.7960234,5.065223200237645e-06,1349779.7601209364,1.4343886529457348e+50,323054523312116.7,784216.3128523824,34.12095716948643,0.009917128721080809,377635.1440655241,3743.845838116949,0.009917128721080809
8697017.60313386,1279134608.4240038,5124826.768645923,9908374192064700.0,3.4824152884608604e+16,17442890604978.94,72552619972017.55,2.014662948598825e+26,6.473003238524919e+26,1.5718832175149087e+18,1.828554171302486e+18,839.1901251147243,55215.3150453194,1.5323992682102852e+16,1.1432883709967603e+17,75638115189220.2,774992095664966.1,5863814.14862758,888173531.1233207,71774.37283486649,3868766.39370443,8.623611507060233e+19,1.0424557973802513e+20,58987.206841633204,8845861.62307184,145352285170090.4,1134389055119667.0,722.0163649507341,38691.274273134186,8.17973269090784e+17,9.971981816353322e+17,7974266949372806.0,7.797972070662365e+16,16712888.463939013,2030034959.906345,94052157465.57048,555357517022.7573,4.6941441521951045e-06,0.0009976637574047422,647503.3530804422,2149533.0166657534,1.2295203673469936e+50,3.506142119914069e+50,118267780240661.38,687507678470379.6,1417518.0656225716,65007412.90763693,0.025035986615099638,0.025590034575134927,0.010016673081964963,28.09569195244351,176733.84978432162,536728.3581167405,1757.3507742854638,5338.804948611683,0.010016673081964963,28.09569195244351,5855586036795519.0,12060850513236.822,1.0496961285186202e+26,3.16474320880093e+17,609.0505662662524,5100039758671433.0,31309353625304.227,3803355.1659749984,47307.22336438411,1.7405952871331369e+19,37677.116761235906,49549347082778.445,477.7042514847214,1.651861642013669e+17,3203113573451531.0,7986705.997312265,19782766095.40899,3.9854929219450705e-06,356815.3941200117,4.684809357338818e+49,75638320994942.12,1006965.5234018501,0.005117961527431179,0.009961846684688191,88152.83920709266,876.7366465220359,0.009961846684688191
5865633.579537311,1027054526.9510678,3471517.6925657876,3.4153023370019404e+16,1.0791762636559896e+17,182069251866390.44,539070083015968.4,8.119871479056554e+26,2.4986434309677484e+27,2807650944771698.0,2.0993210431040102e+17,757.9139302461549,40314.74030982234,3569042378891642.5,7.32379542449976e+16,34405657289395.68,533039020216416.75,5608476.432496109,721112225.0472131,71878.94175326059,2925174.7806017646,2.6627163147296672e+17,1.4792931912878914e+19,56544.85357649463,7193869.008872336,35983208836078.49,732197585759244.9,724.6859794439058,29282.853087265255,2684559807718098.0,1.4744261447048288e+17,3412570832658896.5,5.329553342031717e+16,6134581.771627968,1586241499.1615608,691161361.2568458,383373970093.04346,5.138895012090367e-06,0.0007160703196120851,1436511.6594784067,5716112.707822557,1.3583591561427165e+51,1.737910369274042e+51,3514589837949359.5,7951427475700710.0,2300358.449889535,62329077.79062273,41.6504234515866,81.7577606770624,0.010071708953219093,21.650214509404787,927140.0159790819,3273559.604609263,9343.650982342542,32861.85610616439,0.010071708953219093,21.650214509404787,1.6184987902481622e+16,84252189278131.31,4.197741941315314e+26,2075671356676190.0,419.5820246649893,1452267289062020.0,13552282624616.396,3225539.9898276688,39369.719422740614,1.7262023891801184e+17,32473.8156319618,14614504898249.729,396.877449439127,1729778566315031.5,1345975261720105.5,3969042.3850365737,592719302.655597,2.6624606973544862e-06,785333.9538090717,3.161534804145412e+50,1265410749898115.5,1643704.0830946825,16.351219420793566,0.010054131224948573,526413.2516880356,5290.929699289026,0.010054131224948573
3101315.6485824375,1590253986.818371,2464168.386696201,4.896877160560759e+16,1.6886637631985306e+17,177945971329935.6,452404843690279.0,1.1879528663594875e+27,3.743718804315823e+27,7.994447960186142e+16,4.7629265416724685e+17,460.5421485512091,47036.016915433545,1506104351272369.8,8.971074209607966e+16,9618158752142.309,560987361918952.56,2410779.7111007413,1010162072.5626293,22326.51276496688,3004493.198489711,2.717024250791451e+18,2.80373870568303e+19,23393.33516005941,9918221.804060394,15038366106925.732,882003410779517.4,223.0097934631568,29612.3394374607,2.469379456129984e+16,2.71191327316872e+17,991190944735381.2,5.705713134567409e+16,6745121.8794085225,2797601036.3449607,21492833133.380157,786210989884.5643,3.962462169732678e-06,0.0011705987996752608,2018548.5977324266,8477595.240106117,1.262504126502607e+50,5.694593408715476e+50,714005274202826.8,2462815513346194.5,893183.6899813818,50001647.33248749,4.082517648390612,4.1991538793957535,0.009915989925589324,45.25347081954549,744142.293867468,2602383.2788248495,7335.135824788459,25634.934226420646,0.009915989925589324,45.25347081954549,2.8075474469900172e+16,73412198429460.72,6.709732528571408e+26,2.9475132362605236e+16,316.6517824983462,1111084703819589.2,6227456817052.364,1811584.590917182,16735.871552606135,1.274507802076135e+18,17804.04984241272,10987576381581.393,167.07521206570397,1.1748921945478864e+16,630824731143426.4,4657513.34736873,10678204274.665535,2.85530291056356e-06,1238193.0147390857,8.342862865421217e+49,348218027085102.4,719206.1380579605,0.839780537106317,0.009873479980674057,404532.8097752339,3988.971637603353,0.009873479980674057
4313645.722779083,2559877738.451787,3543856.2327143005,6.766748760587798e+16,3.8854674199817805e+17,93958298733754.03,533050722209668.94,1.966346511641282e+27,9.671920076681504e+27,1.4020012040094349e+17,8.666698991752594e+17,881.2631821921209,85776.53208377384,2551311754458977.5,1.4094400149764768e+17,18607539421650.285,930698576284381.5,3894644.262457046,1738649920.02234,79795.54288365241,5844307.825438422,1.1204132039758832e+19,6.488011006026167e+19,38834.53499411671,17013958.96234774,25476598816362.938,1383737784852287.2,795.6626057895105,57578.73715201004,1.0141092934853872e+17,6.11351160407566e+17,1866115988203605.0,9.482636470607382e+16,7892579.620266268,4153750350.0012913,45576750684.02448,1364431663560.4253,6.033435692069732e-06,0.0028680784079734463,2328627.661393065,19775068.934478033,1.518902271289783e+51,3.860085682323252e+51,467910868779366.94,3160349916460264.0,928347.2595721758,119411262.35170949,0.0476056407660194,0.10169346807374395,0.00987902445900742,99.35731864394442,333114.30122179823,3497909.506116793,3233.36806478163,34136.98647870265,0.00987902445900742,99.35731864394442,4.324300694836301e+16,46079078486029.73,1.1963825263169575e+27,7.636588748703011e+16,621.6470377235878,1782237789244792.8,12782627452180.072,2997669.89113125,43988.30670703097,6.302763430696415e+18,29616.49307240966,17625335510703.87,438.44428240582437,5.721326300643179e+16,1293291020896342.0,5375069.302787121,28369256924.462067,5.259255496012676e-06,1685423.6105578647,5.457117849973155e+50,255660680343632.2,842524.7454073221,0.01999319485413626,0.00987347678842426,219541.72867616388,2146.7414477813504,0.00987347678842426
