Max Rank,Sum Ranks,Top 5 Avg,Max Rank2,Sum Ranks2,Top 5 Avg2,Max Rank3,Sum Ranks3,Top 5 Avg3,Max Rank4,Sum Ranks4,Top 5 Avg4,Max Rank5,Sum Ranks5,Top 5 Avg5,Max Rank6,Sum Ranks6,Top 5 Avg6,Max Rank7,Sum Ranks7,Top 5 Avg7,Max Rank8,Sum Ranks8,Top 5 Avg8,Max Rank9,Sum Ranks9,Top 5 Avg9,Max Rank10,Sum Ranks10,Top 5 Avg10,Max Rank11,Sum Ranks11,Top 5 Avg11,Max Rank12,Sum Ranks12,Top 5 Avg12,Max Rank13,Sum Ranks13,Top 5 Avg13,Max Rank14,Sum Ranks14,Top 5 Avg14,Max Rank15,Sum Ranks15,Top 5 Avg15,Max Rank16,Sum Ranks16,Top 5 Avg16,Max Rank17,Sum Ranks17,Top 5 Avg17,Max Rank18,Sum Ranks18,Top 5 Avg18,Max Rank19,Sum Ranks19,Top 5 Avg19,Max Rank20,Sum Ranks20,Top 5 Avg20,Max Rank21,Sum Ranks21,Top 5 Avg21,Max Rank22,Sum Ranks22,Top 5 Avg22,Max Rank23,Sum Ranks23,Top 5 Avg23,Max Rank24,Sum Ranks24,Top 5 Avg24,Max Rank25,Sum Ranks25,Top 5 Avg25,Max Rank26,Sum Ranks26,Top 5 Avg26,Max Rank27,Sum Ranks27,Top 5 Avg27,Max Rank28,Sum Ranks28,Top 5 Avg28
4559276.659762501,479361315.9752763,3318611.447207697,2775541802732379.5,8152666370758464.0,1479225482805035.5,26890006537275.33,59988538015975.13,11218498638142.766,4.165506079687053e+25,9.99263338296354e+25,1.8786987678586668e+25,2857440637254532.5,7.390733516347019e+16,1529529217995455.2,893.07470660217,36699.718150076544,632.7006627659836,2749498208298410.5,5.258677251148576e+16,1604673749571196.5,20787003660255.105,364037751025724.0,11471717856629.166,3475946.851112329,338318275.4301859,2558169.349018287,49576.64891779808,2539422.255163959,43731.450495763434,2.196813188921543e+17,5.345342882409203e+18,1.2153555568946358e+17,34469.45349102506,3345185.0324874953,25377.303200232338,27265578178869.594,520805045353570.4,15940359601115.49,495.5028534307846,25193.130724316787,441.68980438050914,2178484116342851.0,5.283894962153395e+16,1203861195725073.5,2096189889861102.0,3.6767215692120584e+16,1155609753514764.5,6037327.145811025,741005895.7127508,4874854.187234116,477813539.05738443,79323266304.6192,411274240.7166937,0.0013479622120039915,0.0019460487598930605,0.0002759263207628371,184938.68815319712,729898.4629377295,130205.89559425434,3.2897687363550975e+48,7.638478626003556e+48,1.3185814046296538e+48,745202849072608.1,1481909079556335.2,258538518723832.8,1327057.8092155831,25042220.631337136,757274.0741533425,0.04271073765265918,0.05010247729533349,0.01002023098487007,0.009890419987559634,8.103398021965905,0.009871941652885277,180659.00245623788,525879.697684867,96540.75790453336,1791.723161416242,5205.203689989158,955.7610534798981,0.009890419987559634,8.103398021965905,1535690180372066.5
5266641.956793578,627605608.0697662,4333402.972846029,8181691155101957.0,8369383596334899.0,1673789189100802.5,52008436573426.66,53091935641581.27,10617883423055.941,8.526348536765227e+25,8.742537273925984e+25,1.7483995220366168e+25,3734764303727265.0,1.0762477567227109e+17,2712588948737802.0,14835.603495261348,69273.63235905545,3550.643279051452,5929494568563187.0,8.566587463479794e+16,3491811815831305.0,27737517501058.496,543548367996668.25,19192523780615.266,3443640.796363511,418573308.67848253,2926665.2514045103,652920.1131732782,3986400.950997742,158331.4574581144,2.5082051036309178e+17,7.32450262167776e+18,1.9192592429758982e+17,34445.45371903859,4190856.0898191985,29336.854536332492,61131523266422.95,861054534713306.8,35414679651438.8,6731.433957488147,40214.71703991256,1627.004343217052,2517480412181394.0,7.3286188439065e+16,1921499034566661.2,2690419779843586.0,5.414025706674883e+16,1895276885157365.2,11607305.711672274,1020004854.3488624,8015833.940374528,681707664.0242969,100598469073.61588,560627869.8086714,0.0008155728955679901,0.0017404925283301623,0.00018307732747289648,785096.5729213516,806482.2042805655,161285.67978348426,5.722938712729869e+49,6.306099037265687e+49,1.2562111672748155e+49,380772857152056.7,491766136621194.1,97062399453102.98,2200226.6614951463,16738497.198319292,1034674.6526971497,0.9284962904212325,0.9284968052453529,0.1856993610490706,0.010002535794246837,10.694872682043439,0.009920130880155526,498746.4464648748,511550.411243296,102303.26494319708,4990.611909291255,5118.676177404608,1023.6670073118587,0.010002535794246837,10.694872682043439,2720461925635770.0
9142388.485123426,437894278.71077204,4326767.698996792,416239888314840.6,418266341219089.3,83653267556607.53,6221755948633.851,6230470196878.815,1246094027754.2288,2.2941599632335244e+24,2.3105832624028653e+24,4.621166521798915e+23,7387140923126946.0,6.466685096046794e+16,2766104138125664.5,1783.3040370012552,44852.295492942336,878.1727439157481,1.4584403806621422e+16,6.1676981696483784e+16,4505704608983142.0,83583267212917.4,362719828981639.75,25148341323672.867,5271250.101717634,274762325.5547596,2679222.9241427244,103443.36295576025,2895006.3102844036,61463.00221420788,4.2850275884606925e+17,3.953285736258609e+18,1.5622568054353066e+17,52395.059122638995,2713065.6439378844,26601.382000346646,144965745311035.88,610429045501887.5,44734021420618.984,1028.204128683931,28715.455630538872,612.6055829081995,4259222565940843.5,3.9026598028191144e+16,1549647049132792.0,8408966669294445.0,3.6651697786882536e+16,2533076127476706.5,15856441.185684178,783773388.20212,8502183.263956498,465876348.71034926,63000457764.9584,325283111.56922793,3.2477913323975274e-05,0.0009246489643964297,2.0520168148505434e-05,75520.29823594089,75796.53677743353,15159.305358856014,2.293027698206488e+46,3.85998802669925e+46,7.719666587948263e+45,252261424227902.66,255216063987049.28,51040865794324.0,755233.7774157751,5279150.157203234,377827.98002635135,0.2824198455561263,0.2824797747817586,0.05649595495635172,0.009989875880485053,7.496957867688989,0.009881893553785333,113803.03928208494,114201.2766961865,22840.252851095967,1128.84151178866,1132.8267349836622,226.56532248087805,0.009989875880485053,7.496957867688989,2775412480173234.0
2913017.029445802,640741740.5034745,2757216.5485016545,2221574836450305.8,6346437491464839.0,1115705075720073.4,13370469188123.227,36175852759127.945,6407648884517.086,8.182781366983092e+25,1.6772516546925985e+26,3.135248922188827e+25,1508000435807223.2,1.0442698007683286e+17,1229304078741623.5,1728.4048629525266,53001.92539044221,788.4946197552204,1728507727654132.2,7.722826118632822e+16,1297740701937678.5,8485668213841.245,486528188508133.0,7617835646363.436,2637248.924861664,419072640.8130439,2439108.19848306,76440.20774908464,3261798.395361881,36541.2484456687,1.3927434476858478e+17,7.059032401170772e+18,1.1308756597333685e+17,26107.7459281769,4152518.0328029376,24166.555663499472,17333895636362.324,766475679930328.8,12975454650367.342,771.4543836731734,32397.963082692102,366.87642069907196,1378762229554139.5,6.991117194573878e+16,1118864705819842.4,852824446270003.2,4.905179920570434e+16,766297608925697.1,6655859.3552169725,1101620740.5503118,5547799.387620015,501016218.8983714,99492288405.07358,445687973.31246185,9.076407114620857e-06,0.0006820994468554537,5.3292885035216675e-06,60314.391068337085,281009.138114688,42429.75006541506,1.3061537208850864e+50,2.2399407043894013e+50,3.963255135951057e+49,632029124412762.8,1804057825839937.5,289499284408075.7,1863175.3822223165,34833382.79571088,1473236.0847450695,1.8022807228928206e-06,5.658205862548199e-06,1.034352153955525e-06,0.009869797440541348,8.679580558897356,0.00985135944984874,36668.83251925283,162033.42873465025,24414.027457312564,363.00001879214426,1603.468181455191,241.58881923644526,0.009869797440541348,8.679580558897356,1234452872396278.5
4058899.2452755515,439967739.17791504,3512255.805019719,1532346841406845.2,2066574811109893.5,413314634264823.75,6350962478488.403,9121766035487.596,1824351041575.498,1.6084111587882616e+25,2.012849009033904e+25,4.0256933849933667e+24,2553639310744592.5,6.899569856726744e+16,1541470108937389.5,1439.5656363612939,40292.052485502885,1060.859661257751,3772645524807153.5,5.429967831614138e+16,2263691428210376.0,16474663083298.44,326340238474033.44,12605405529766.814,3524323.5918050823,275230369.11328787,2387238.159727,113642.26608430901,2502754.505321262,78614.87014943882,1.3938988427028202e+17,4.3400975141144704e+18,9.584690048003704e+16,35315.52833160441,2726174.281529824,23904.015741598552,37576583015085.01,539297003284226.6,22629977479484.477,1138.753738987003,24896.944877600366,788.006196902013,1375012273005122.2,4.294448339776766e+16,947600760797142.0,1654037141401609.5,3.2862878794719256e+16,1259833643654165.0,9257826.012513893,787031985.1503407,6370678.848835671,578839367.6949043,71389036098.62097,438279572.43785477,2.2331923178563763e-05,0.000551313037921124,7.483823681655156e-06,145987.97263620875,216559.65638939847,43311.893907282116,5.77207980962765e+47,8.297706966746532e+47,1.6280138368552859e+47,71060741785380.72,131719161178659.14,26244354029837.836,1118775.4291017544,13184343.99028626,796311.9178988641,3.947259619693744e-05,6.38787764450294e-05,1.2775755289005879e-05,0.00985104549579611,6.766890355091199,0.009814906471568786,61332.697354195836,98364.13093607177,19672.800010254658,605.0615379426276,971.0013071223448,194.20000159427815,0.00985104549579611,6.766890355091199,1544328146045167.5
14440152.4539322,676811038.4778135,9904182.93120956,219402004760883.94,353796032704536.94,67415006901456.15,1665278492036.65,2352284587924.4414,452366152140.2905,6.108865897741353e+24,7.233136736737461e+24,1.425746902592186e+24,3985212760939556.5,9.53783099244017e+16,2761465309131757.0,10711.087116372835,103585.27985496771,7020.540396936376,2.6548265636308556e+16,1.5298593840692813e+17,1.6503104992320924e+16,208518002892804.03,1029064563516459.8,121222749384986.72,11135749.344081972,434425867.9078995,7515241.914433028,813599.1708911299,6521656.028493664,509085.41899890034,3.017445583501602e+17,6.188342194502376e+18,2.0351550163336896e+17,113417.26771949833,4355028.562768574,76533.42278985762,270393276475979.6,1548567379455522.5,168126675267973.94,8295.24796662875,65954.98996771898,5185.457282971676,3073259131455714.5,6.204625627277357e+16,2065605274387309.2,2.0473110141266732e+16,1.0163679263570976e+17,1.1898586129846058e+16,18923917.910050336,1175736058.3862975,15303216.083197718,468697392.0525991,95633370074.56537,372713283.8937044,9.625291108988113e-06,0.0016110939948951659,7.482118848576778e-06,8888.572563610094,27318.78933722573,4756.031903120072,1.6010994620430757e+49,1.6559574162609447e+49,3.3003159392799515e+48,237458473210743.75,303992399028696.06,56998086526424.914,1672974.9952082399,16986338.277103066,744284.1225106467,1.3514661017875161e-08,1.9017071584035722e-08,3.801319189864774e-09,0.010050452939478939,16.91422711825892,0.01001550907399415,5974.155162946862,16097.220967369729,2819.4935792809074,59.80904569751814,160.86353432984794,28.177100451848883,0.010050452939478939,16.91422711825892,2828085251425787.5
2975567.382646836,590531492.335732,2654236.2217744766,1.482865076327804e+16,3.4560320376816424e+16,5960045235499146.0,64017078445602.695,150799838371848.3,26004352458616.074,3.818577744109204e+26,8.253574788571388e+26,1.4854753331874653e+26,2278254032797105.0,1.1429680618430774e+17,1633129873967685.2,1289.484661227721,35809.39586462751,613.1160012401458,1018269020290659.1,6.183712022549286e+16,825636014198380.2,8854001248671.742,414642867041676.1,7118830216122.854,2656435.31707184,404403544.7513323,2417240.2733802125,105149.24556525155,2461549.534864869,45633.25662845607,2.1104246321317658e+17,8.167036740694867e+18,1.4906737959763923e+17,25963.57331541303,3958018.542469567,23643.58619544439,10004455251665.53,605649956164780.5,8091031526917.472,1057.190982377217,24177.942827173894,456.08067008621936,2057741334811212.8,7.988136872112467e+16,1456707047209229.5,901174022007476.8,4.234903783895539e+16,726716204406835.2,3362200.873020169,987211132.43099,3298635.05265081,704903339.7632272,115499973806.78627,566661847.3750736,2.4872617569921385e-05,0.0005802673717023249,1.2227094784098103e-05,658521.763731122,1916580.1620843438,307773.3316744621,2.8551812540466734e+50,8.861619616631177e+50,1.4896293592857015e+50,591600974190826.1,2858140138409150.5,328424024054457.4,1952678.2093089097,60133489.710245565,1474531.5509301885,0.0599797393776756,0.06236464585774701,0.012472634230163381,0.00983255992763433,9.262953360946362,0.009788467454968884,317061.73007707583,875868.9192903145,141004.5606904725,3100.2615182292925,8554.408382667314,1377.2511166565266,0.00983255992763433,9.262953360946362,1638782053089806.8
13958391.071449904,559988994.4405011,6784238.126045932,3634663951585109.5,9446196221349716.0,1695724045388836.0,15254920471222.613,40924938406052.14,7169231152943.445,8.101851220470613e+25,1.7244681244368864e+26,3.193191595236422e+25,5001822594462416.0,1.043799773731443e+17,2600937514843410.5,6013.129088124526,49237.75492258267,2734.4002753138943,2.0804994484012788e+16,8.973695720689424e+16,7325115426030795.0,194836681303532.38,663836652272068.6,60253912999143.3,12844747.104966162,390353704.8962145,5690733.227772983,543723.1211896779,3531583.5000592945,227012.71665784164,4.522780989467153e+17,7.213884526843105e+18,1.947090476251721e+17,130718.92880279242,3915014.528815932,57769.76446875656,211729088200317.78,904677055197857.6,74433903618704.38,5533.3828985816235,35632.68921711546,2312.5675452992627,4602761590566461.0,7.23524146037763e+16,1971411593071221.2,1.9145107147338412e+16,6.579866891932257e+16,5926346832248864.0,15168588.350657579,912527212.5943745,9567568.693477698,478438635.3107806,98231384207.93884,411682459.3179916,7.1415087730454345e-06,0.0005582638767804864,5.495659294575216e-06,163058.80818414871,569309.6224031887,97191.45027547514,1.9330365292152296e+49,6.513572830017092e+49,9.761615866975861e+48,236792319194495.84,1125042611387064.5,129719034018303.0,3458533.0285719726,49842592.20711385,1561348.4848717558,4.759474268268847e-05,7.059104948546372e-05,1.4092962150210949e-05,0.010033302447542403,8.082859050164378,0.009983614608694104,68475.96632827407,254269.57733425143,42102.226253958084,684.3683994215564,2542.657819636529,420.905987696972,0.010033302447542403,8.082859050164378,2644102606577131.0
4815913.23036984,444493321.19747007,4271053.18126704,1.3184952107884972e+16,1.4626136795634148e+16,2907093009594197.0,58429386454092.39,66834253218332.96,13233802196582.746,2.7884223600055806e+26,2.9276765373275463e+26,5.8481757533025045e+25,1891107320511264.5,5.489235637903554e+16,1122032206477118.6,27516.51608131607,80906.76660964929,7440.232194937639,5229326653167532.0,5.964778271685888e+16,3506639667350075.0,23193020242451.277,376757841716624.2,18409857911119.758,3543047.94247419,309189359.4685578,2826023.797216975,1743977.167501476,5374082.454781849,482380.9070086273,8.286360058434928e+16,3.8726560770264084e+18,6.6313862671324264e+16,35155.847014366314,3031342.70255482,28103.725637141608,51839313750719.54,588787984889521.8,34938679872023.71,17731.749514828567,53622.14468854034,4882.5620551759075,808777687570776.6,3.792057163780749e+16,653292753171002.9,2323231800503156.0,3.81952837801313e+16,1849407861305696.5,13130357.188145807,704397306.9187133,8251005.978187889,396654559.4058817,66222064978.514175,326985330.51811725,4.7700901487222925e-05,0.0013520612491543012,2.49400450517542e-05,623445.5890924374,924901.240084381,179670.49790205405,2.5811627414458826e+49,2.9170823262716295e+49,5.798870623623159e+48,483509381171140.5,881431899629445.6,165677198519864.56,1566752.7620958511,25550095.478851352,908822.1353232292,0.011991338987943578,0.018326533853417745,0.003665170162054944,0.009837244873917473,12.56066792856323,0.009812099397677023,283995.5281298827,459075.7942458187,87954.80450272349,2762.8119510875295,4475.25229767306,857.1808285156291,0.009837244873917473,12.56066792856323,1125080353453035.4
4786919.303760599,570749971.5687824,2744244.53534719,3.70659832805211e+17,5.928937323125132e+17,8.871415524795394e+16,2393098195283813.0,3750578330448772.0,575141391907150.0,2.8301895658542804e+28,3.171403679698208e+28,5.913009070182946e+27,3551034228812314.5,8.740761156465222e+16,1431437399836637.8,561.0627813629245,34283.89030225844,332.7219822617808,2359832076694527.0,5.3823821872564616e+16,1056480744593994.2,22914596420715.87,374967989170470.3,8606580893205.9795,4784410.852093147,407550910.3968042,2513323.5351884984,36800.9595140964,2490156.2884488506,25027.062877671546,3.65315809103868e+17,6.510451584561906e+18,1.2910311991577818e+17,46482.258219768846,3949280.5655625276,24422.38151883043,22926610472054.17,522304240007306.7,10297385295048.838,363.1148103690488,24177.737462922436,245.58366497924325,3549173408278855.5,6.307503656649227e+16,1254162283955959.0,2358595472454500.5,3.86467030302411e+16,883971385293229.4,4789429.070601428,895607298.7747577,3686232.573532109,741431635.4759998,101746019072.13004,426452783.4297131,5.46276868560711e-06,0.0008045287152598588,3.783085197863557e-06,4854399.62441939,23567477.546232443,1948873.884991498,2.1528311098050286e+52,2.2044112939074924e+52,4.3763877757306494e+51,1.9659314672127116e+16,3.60673984783567e+16,4829031110624694.0,4714317.920327521,72910524.0228326,2262913.6531059104,35.19903739430757,60.12982631479045,11.059167057319232,0.009765566145552044,13.577608219324393,0.009739453477783565,3225980.716786892,14897095.157948619,1301750.2856050977,31341.553500590537,144594.02513613488,12648.52645462899,0.009765566145552044,13.577608219324393,1437988308061912.0
