,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
1333,1808,27004.0,NGC2902,NGC2902,09305289-1444089,,G,142.720383,-14.735829,29.665587612600003,,0.00669837334919,-19.5613,0.0008635385712499165,5254362117.846985,1913.0
1396,1871,27253.0,NGC2924,NGC2924,09351082-1623539,,G,143.79512,-16.398315,65.3699248577,,0.014433,-20.7779,0.000907087233139578,16112391282.77772,1913.0
4067,4543,27130.0,PGC027130,PGC027130,09331526-1646040,,G,143.313614,-16.767778,30.7178928039,,0.014572,-18.675,0.002630032116886869,2322736796.3571053,1913.0
5776,6252,3093633.0,PGC3093633,PGC3093633,09342200-1358523,,G,143.591675,-13.981208,59.0405899645,,0.016604,-19.3348,0.0037799365672768594,4265009471.8725243,1913.0
7176,7653,,,27565,09393879-1324229,,G,144.91163600000004,-13.406369,131.993140826,,0.0255,-21.4658,0.004697111191107592,30361274616.04787,1913.0
9137,9616,,,IC0542,09310624-1310525,,G,142.776001,-13.181272,128.899793441,,0.031888,-21.2193,0.005933327828770218,24194686546.91233,1913.0
9775,10254,27234.0,IC0546,IC0546,09345025-1623036,,G,143.709381,-16.384357,64.0152724915,,0.032392000000000004,-19.7534,0.006361586659657087,6271334994.409603,1913.0
10541,11020,,,27046,09313418-1302401,,G,142.892456,-13.044488,129.670593136,,0.026067,-21.0302,0.006852914413893454,20327314194.1603,1913.0
15273,15757,26778.0,NGC2890,NGC2890,09262978-1431436,,G,141.624115,-14.528804999999998,74.10065460279999,,0.02124,-19.7661,0.009868322137067448,6345122338.209418,1913.0
17953,18438,948959.0,PGC948959,PGC948959,09305814-1241469,,G,142.742279,-12.696382,75.6933147003,,0.026724,-19.6883,0.01157721171706489,5906361166.524292,1913.0
20785,21270,,,899227,09311226-1621165,,G,142.801102,-16.354605,239.407557796,,0.045167,-22.0057,0.013330494480732662,49920623388.316666,1913.0
21131,21616,27054.0,PGC027054,PGC027054,09314136-1602331,,G,142.922363,-16.042547,64.92268698310001,,0.025188,-19.701,0.013544649143010479,5975854297.155761,1913.0
