Max Rank,Sum Ranks,Max Rank2,Sum Ranks2,Max Rank3,Sum Ranks3,Max Rank4,Sum Ranks4,Max Rank5,Sum Ranks5,Max Rank6,Sum Ranks6,Max Rank7,Sum Ranks7,Max Rank8,Sum Ranks8,Max Rank9,Sum Ranks9,Max Rank10,Sum Ranks10,Max Rank11,Sum Ranks11,Max Rank12,Sum Ranks12,Max Rank13,Sum Ranks13,Max Rank14,Sum Ranks14,Max Rank15,Sum Ranks15,Max Rank16,Sum Ranks16,Max Rank17,Sum Ranks17,Max Rank18,Sum Ranks18,Max Rank19,Sum Ranks19,Max Rank20,Sum Ranks20,Max Rank21,Sum Ranks21,Max Rank22,Sum Ranks22,Max Rank23,Sum Ranks23,Max Rank24,Sum Ranks24,Max Rank25,Sum Ranks25
23349338.98139634,1291969171.1475058,4.4010326473670794e+18,2.8365302481390682e+19,513604.5853581642,5830029.79669007,237573.70961644492,12953953.67224364,4.477941122920616e+16,2.84667855374527e+17,5225.7987567345735,58738.09086678989,9.680747492679282e+16,1.7980639847769072e+17,545191630868154.56,1073188376248540.8,12923825.618674167,815553718.7773132,284279.4009461682,3632855.3499552673,2.4359652546045056e+18,1.7708858563146615e+19,131496.7073419418,8176256.711448165,984991950105465.9,1819103912272175.5,2892.4721125566966,36598.45070986177,2.4785339854556836e+16,1.7765747357002163e+17,5.3582798448164984e+16,1.0612124569044125e+17,42185003.64786606,2258780039.975639,1061500707.763275,470416243206.7396,5.143853174371201e-06,0.001064423522375993,2294831493.5535116,128859034793.80496,5.193902543011576e-06,6.365219735286769e-06,412161186715201.94,1746915278281524.2,3.6220429697429087e-17,6.19127887846254e-17,3.517793543409259e-27,3.777009855983526e-27,0.010129641257879247,28.389890771506753
3993178.9509248664,1419533931.000258,2.9271189235532385e+18,3.876188080849418e+19,33967.79591491465,4468268.100537809,39488.014591158884,13863983.993343825,2.665555426599515e+16,3.726197199624022e+17,335.903007904765,43862.600179024485,1715486747960734.0,8.159875514630269e+16,15945478134109.416,529619561605460.75,3753379.059377418,926463486.068221,31927.948996805502,2955926.7785959593,1.7090494006360814e+18,2.467436161237288e+19,37116.665414786316,9049724.58386251,16964219877680.045,798432609975929.4,315.7312335225104,29021.585119560466,1.5587584291679348e+16,2.375596610479908e+17,1612467689419220.5,5.411056391613469e+16,4530049.26551265,2420842814.055913,12717148395.039696,665978514880.6985,3.946944897857435e-06,0.0010224627514767218,403805516.6663028,145357981032.02844,4.1685488919876706e-07,1.9164166218849127e-06,430882316786390.9,2498015653722374.5,7.18520335471067e-18,2.2576547247561177e-17,1.153698503773546e-29,3.450828486695015e-29,0.00983441179541205,37.28966457688273
3647507.430211042,1350319977.1174555,1.1832136231573181e+18,2.6112294343784956e+19,79249.50434381535,5742261.613330077,36801.53731214667,13474377.307806738,1.138208369495805e+16,2.5990939914021862e+17,807.8840522737668,57499.592687975375,1721810431083100.5,9.203911135993206e+16,13304310453444.756,629709434236202.8,2793402.0377411987,939479587.2380633,78353.33417480424,3927089.777710112,6.236884001891519e+17,1.8040282123910666e+19,28184.038356794037,9373804.578266032,17372211581836.807,920271717777195.1,798.7483284145163,39317.600765987496,5999655034045836.0,1.796128209302415e+17,1318628915449063.0,6.299129211879158e+16,8079325.862332111,2141579035.0657916,6502241847.937419,464164942317.71466,5.457044077649339e-06,0.001127479317793825,361515073.1503152,135323794571.663,1.7525937457920745e-05,2.259721526707615e-05,166285699675032.8,1307346782156325.2,3.284764676661451e-16,3.513801232962065e-16,1.8742774446631716e-30,2.8933248210641862e-30,0.010078906297624698,30.090661865952125
5841902.261775215,1577438845.244482,3.86788702726575e+17,3.0533920110812955e+19,304280.11040839634,7158621.557713732,59093.72504990302,15612611.653463332,3875978335859951.5,3.019644478544395e+17,3077.943515125482,71334.82132237594,6047514311025715.0,1.1926821892472064e+17,34127822036134.367,785639948120713.5,5086771.326130493,1102912342.5647979,264948.51700358826,4956606.124400155,1.6582474967538925e+17,2.087099232385116e+19,51455.20288912568,10913982.602777649,60601652246055.13,1186261489510210.8,2680.085033026874,49400.90977894585,1647765876960072.8,2.063584636380685e+17,3373816772829801.5,7.899861959886877e+16,11989765.363933256,2472782999.956096,853464110.2094773,643184619694.0796,5.333328144102466e-06,0.001409980511428207,577520235.9863821,159384249091.5308,6.500506220934478e-05,0.00014842460714114883,436902205548527.1,2903740507354914.5,2.860548646202837e-16,8.123824764793465e-16,1.7829237230101864e-29,2.3457995198011663e-29,0.009927876963839465,45.62689834120802
4591238.9231487615,1197866422.187931,4.4186529606243264e+17,2.4157425929813918e+19,250972.31364019762,5340607.545052616,45450.04742481467,11811557.803297922,4374156735812860.5,2.3792666316441062e+17,2533.0470596337072,52914.08330324094,2460462098595469.0,8.93145376980769e+16,21079474849436.19,610863922493051.5,3973457.3346201847,836932238.0196886,151643.79660457894,3642143.809292741,3.8240939557753984e+17,1.6933516589769216e+19,39334.442690059426,8252117.505971019,24356850283763.754,883075104814496.1,1530.530868243934,36071.98529876891,3785584992552293.0,1.6677496340520698e+17,2129390636354467.2,6.179524678178524e+16,6014537.150864673,1934694963.1993017,824523632.0561737,424448275543.1526,6.823836202759243e-06,0.0009516886977314522,463794342.2238828,121485094663.14967,6.061615284561851e-05,7.22885859438617e-05,415826820409441.2,1968863668282416.0,1.3756712635791724e-16,1.7820912025644212e-16,2.551297526038035e-27,2.953818781152905e-27,0.009895001340924517,25.1562570569657
52125895.27024689,2146820787.2376518,7.39696437580219e+21,7.722355137538118e+21,69766.02257005459,7552340.516142528,483968.96999477973,21170766.08012599,6.867798071352163e+19,7.178516058405526e+19,696.9269780202497,74904.95254914179,6.152549677941701e+17,9.542122006632215e+17,2717108957724747.0,4594616881519392.0,24793706.850189164,1399756424.3930755,45303.088343599564,4936721.729501997,3.518369619631538e+21,3.7017943392358026e+21,230200.07051059188,13809612.943879634,5712406693520671.0,9049328703589814.0,452.55474357285755,48958.74347177097,3.266671415514155e+19,3.4416832465320854e+19,2.926463177375557e+17,4.8331162162527744e+17,109588653.85246007,3708314968.77205,626688788476.0703,1649555414134.8608,2.551643467840012e-06,0.0020083305611945652,5614221419.513849,217728352384.5251,2.4807414216789973e-07,4.5624971079831996e-07,377280711438425.6,1818906785080098.8,1.2897787032495732e-19,5.988910929254183e-19,2.621360676532651e-24,3.322609058420561e-24,0.01001261107740938,68.71530110121854
5872179.789812729,1454218170.842599,2.5267971689523046e+17,3.053348884571038e+19,313970.12527881947,6462899.429968331,59080.14521713878,14327569.942042824,2471166088901853.0,3.004267877981589e+17,3164.177405324575,64081.7525732341,5941935989790013.0,1.1077899638923256e+17,34482495483885.07,730589308246362.6,3441866.662321119,980178250.036256,203803.08128668115,4353330.499712494,2.1795330791510826e+17,2.0541171823557833e+19,34686.984041507094,9657123.2924415,59781964059879.83,1095494362681276.5,2053.918678951291,43165.78128263471,2158375888783668.0,2.0211710841972608e+17,3427334383464553.5,7.388914599969264e+16,10180540.48065622,2390399711.368847,1518705138.3423314,536586945164.1319,1.171705024151378e-05,0.0010980056036403545,583656241.1475236,147605060527.9004,8.883473835844937e-05,0.000409655654494483,423360112050027.0,4006501813447607.5,1.1125360099780693e-14,1.861933480987508e-14,1.0196078775697228e-26,1.0577731517748352e-26,0.01001063946980501,31.016711084443582
11812969.301387109,1498773652.32589,1.2716250522620359e+19,5.777902527877097e+19,37721.82376096303,5152146.474934671,114851.71008195104,14707444.261941656,1.2363387062911931e+17,5.603309714714394e+17,375.45858506660346,50774.292445350235,1.7553311158777806e+16,1.1909990772362696e+17,139546243715514.3,810506819328618.8,9659169.429446489,990525513.6681423,25330.55099184965,3346619.950785815,1.0397759883355886e+19,3.966546232233137e+19,93911.36966833285,9718352.369119108,170662240182872.34,1168019660734880.5,252.31373617013048,32973.184175258095,1.0109232261229232e+17,3.8581296760144096e+17,1.4352903339088456e+16,8.268886923984384e+16,14447023.08358938,2547923819.245992,13905269990.288826,657575252854.2001,4.90254550578444e-06,0.0013864593382725138,1215012328.6448476,152743367150.92453,5.7263540938974226e-08,2.3805321580274973e-07,1132944904949104.5,5187329387938398.0,5.106592154364571e-18,8.406856771604215e-18,6.01605890366676e-28,1.0826214404395024e-27,0.009899835281452125,47.394193317277306
2543148.0103395116,1092185406.7486243,1.716689048901335e+17,2.2853608020534706e+19,26573.26482200592,3696407.1904110443,25518.873072929673,10897497.218405182,1722588294762802.5,2.2784858552668854e+17,268.34791380300146,36985.482815643656,1430490294606743.2,6.934702841584614e+16,6467601802493.817,455673218113991.0,1988009.3187390713,733423898.0168645,15839.224028302771,2430617.5710138516,1.2106495453032322e+17,1.53587768342322e+19,19952.868667496434,7317337.382774902,14445687755885.752,693208820967674.2,159.70707952332538,24313.320439736108,1209017962842516.5,1.5311583016189542e+17,644545259058811.6,4.559881169257331e+16,7324462.973628742,1821344202.2246106,613798556.5306251,442768743098.08856,6.804191211055406e-06,0.0007185537159938775,253443864.2337472,109464660541.03976,2.2035502037314e-06,5.462624504710929e-06,825372159250164.9,3651150633027735.5,1.1764274980839998e-16,1.6601763663070217e-16,5.698023058977067e-29,7.665686243072039e-29,0.010082586670485836,24.010478554227248
7616522.636552454,1235184340.364297,6.77137299472082e+17,2.4342047638977274e+19,213585.1143931159,6052155.324518683,76309.53891827325,12260391.938683797,6784202919466165.0,2.413963001869054e+17,2161.9905947617117,60406.2863761383,8095105181823637.0,1.0473105947133896e+17,58011417073115.945,703186244962971.6,5447856.044703065,838730803.4273146,173134.42924887178,4114375.286789238,4.84334742513502e+17,1.6511354188187531e+19,54581.78261944902,8325366.706573762,81104432218886.9,1044037418704244.8,1756.4142209635115,41068.0409177203,4852524261653771.0,1.637460314229454e+17,5790170895791743.0,7.054668433975869e+16,10648485.678970955,2010335639.0254707,965443363.6831931,447730839011.09033,5.161274738722844e-06,0.0010345735840003878,760211867.2902163,124443877740.14424,5.320962543807434e-05,6.32531323922538e-05,458909156650567.1,1591903519303656.0,2.566288848176566e-16,3.1930314375395684e-16,1.6921007635420096e-27,1.7122757180224077e-27,0.01000521828949348,28.869745810390064
