Max Rank,Sum Ranks,Max Rank2,Sum Ranks2,Max Rank3,Sum Ranks3,Max Rank4,Sum Ranks4,Max Rank5,Sum Ranks5,Max Rank6,Sum Ranks6,Max Rank7,Sum Ranks7,Max Rank8,Sum Ranks8,Max Rank9,Sum Ranks9,Max Rank10,Sum Ranks10,Max Rank11,Sum Ranks11,Max Rank12,Sum Ranks12,Max Rank13,Sum Ranks13,Max Rank14,Sum Ranks14,Max Rank15,Sum Ranks15,Max Rank16,Sum Ranks16,Max Rank17,Sum Ranks17,Max Rank18,Sum Ranks18,Max Rank19,Sum Ranks19,Max Rank20,Sum Ranks20,Max Rank21,Sum Ranks21,Max Rank22,Sum Ranks22,Max Rank23,Sum Ranks23,Max Rank24,Sum Ranks24,Max Rank25,Sum Ranks25
7188931.8068584725,569208853.0824678,5.057132865779678e+17,8.524677752818766e+18,80362.26776077585,3844672.60786251,71384.75667913789,5627828.92738731,5021638941870972.0,8.427881643276173e+16,797.9823824192868,38054.374552995214,5653171797705537.0,5.673964067712598e+16,51680740523661.414,389358264107658.75,6618503.28393964,388046123.37110746,73985.66954997444,2606007.3760804133,4.6558586697887155e+17,5.884057707231505e+18,65720.50746862892,3836567.917118055,56134945230607.734,561491471038330.9,734.6639473654978,25792.09313599007,4623181123491009.0,5.817426467871787e+16,5204603008209569.0,3.934390811912274e+16,7808523.816716859,938515130.3516293,643097089.7623965,95117475486.76157,3.2374739044874735e-06,0.0006639403942801464,723974457.9638675,57571209858.58088,2.7984830688427466e-07,5.44106394528421e-07,206470858342962.88,941324190017355.5,5.157118096804704e-19,1.9480006183172086e-18,1.446881645744288e-26,1.456723507717056e-26,0.00991467298792692,9.92198850163942
11448852.282842528,402396162.2643635,3.8029617032717997e+17,7.045574129174877e+18,450898.3166601236,3603343.2721314803,115295.27795777173,3999514.6254806365,3829759663320778.0,7.000377698722747e+16,4540.756179370767,35955.25076160718,1.4977475365787776e+16,6.0487755745989016e+16,131076218594348.53,451181089173302.7,9949417.914614605,290071411.80142534,391845.02329293505,2610637.2767813527,3.3048950553610835e+17,5.144028657586544e+18,100195.2750934364,2883019.982495128,150830156835200.4,603439967041554.9,3946.0619947584555,26052.9267584502,3328183337644714.0,5.111214849435315e+16,1.3015903956013814e+16,4.520975096389622e+16,13174260.013926236,602279467.581448,663946435.911516,63696737997.3238,7.3621035006668485e-06,0.0006915994658974182,1136874128.0311306,40486368135.29018,1.112078177186328e-05,2.8517306932853362e-05,2363690196204072.5,5416371081946089.0,1.3628137163867817e-16,3.2799079742418084e-16,1.4687118971327837e-20,1.4687126174886638e-20,0.010061564786287848,7.997994908545997
4428998.584980528,263104885.98264205,9.828008909904626e+16,3.5079655924594714e+18,282353.6933999818,2692014.0170100573,44676.95757494401,2627762.6309838598,991387846911924.9,3.500886405341832e+16,2872.858643698916,27019.544509528714,2750344033202432.5,3.0337750442743076e+16,19616028465759.523,214755975467589.97,3354274.0839294065,186221482.93067575,279293.6649703704,1956207.799890569,6.948827862981341e+16,2.4526291112920136e+18,34128.66741467062,1859973.7882883642,27743744173814.344,303891717454353.4,2841.723831831872,19643.533344383846,700954135959316.8,2.4477495150897028e+16,1944612324419128.8,2.143526851674009e+16,6264112.223448885,400322442.06505084,307291988.10701287,39978207879.58497,8.526518117207953e-06,0.00036178812127692507,439063658.9981384,26344057589.512154,0.0009266000581651449,0.0009292801906121288,250467030956363.88,583423057824304.8,1.4372103909244115e-14,1.437900132463395e-14,1.3256211040784435e-31,2.8129252958332197e-31,0.010064411758220882,4.331145740720404
5317082.128554969,571156678.2759254,2.2550859783680768e+17,9.000789262456452e+18,148761.10272696117,4704336.837098637,52902.317026203964,5624090.602758197,2230980821466723.8,8.861749801007904e+16,1480.0988262651085,46451.230853317604,4157663999386422.5,7.146989416253603e+16,28271362361798.645,505147686267638.44,4035181.824058065,402455511.41584677,101668.26491505641,3339610.724860573,1.3179156628116851e+17,6.339396402764318e+18,39959.43842677646,3963409.3773320215,41366684520961.45,705169882569377.0,1011.5485621626316,32969.15622661345,1305588190421827.5,6.242302659981797e+16,2841485288619079.0,5.119197036601282e+16,7779959.669760401,888289114.2866681,429819309.6727401,89592219008.46945,1.0105220492783104e-05,0.0006288294055306245,534406883.30900633,58004824323.02059,0.07822944204098232,0.07839350371466991,812215088485892.8,4814547611233741.0,2.320847607334343e-15,2.916919028168191e-15,2.933372772535764e-27,4.355882496879307e-27,0.009854591094054762,8.866999817926754
12270722.990068503,724155690.8534102,1.0594248414494131e+18,1.116726888724556e+19,232793.8077114846,9938960.818405647,118077.22338168955,6917432.643473951,1.0194504737918058e+16,1.0654212288672733e+17,2265.2249052537286,95885.31009863652,1.588473827399891e+16,1.3752626685251386e+17,150570642698995.7,1067763118366632.8,12087442.265530618,546394232.2941277,230043.11369561066,7802767.69435271,1.0436008225475574e+18,8.500141691075652e+18,116313.57187799792,5225788.087925113,152853730872802.62,1322983578530021.2,2238.4589845759224,75312.30308004368,1.0042235290047482e+16,8.12241499181857e+16,1.5647477083903628e+16,1.108993241019848e+17,12456782.782605158,1074661100.9779007,818389861.638578,83032244468.2157,0.00010695677563901968,0.00129219257031149,1275187867.6234605,75823895007.94287,91.8734103806234,92.1256040904069,5193191328450659.0,1.2802504190795604e+16,3.793861006990002e-08,3.794221287108057e-08,3.528662593996264e-24,6.47060512207721e-24,0.00977412518183681,9.299403484191668
5864328.878663181,355793289.64657134,5.2306862678525344e+17,6.908192613151608e+18,128193.52996136532,2826804.757499163,57862.16922997893,3493221.459684178,5123976944687642.0,6.779562337120213e+16,1278.2318518339032,27819.347666021808,4293477358320586.0,5.086734715258523e+16,34390353197122.97,343491813011697.4,4760684.316946651,241426262.43845883,120500.63950293572,1964941.103610886,2.8644313615073594e+17,4.668445244564002e+18,46972.727365261235,2370634.4031438595,42362889024883.63,500121270179305.1,1201.52519105627,19342.98155536883,2812197237231472.5,4.581835472324662e+16,3485461123998519.0,3.4930917110936096e+16,7223825.590515071,586298076.2062314,746256698.744691,55363521011.85118,4.579625544891084e-06,0.0003436624558108758,594349531.9097888,36239117553.69445,1.4699324192083707e-05,1.5299457499786848e-05,215324501737884.78,723412958348078.5,1.331948479084561e-16,1.3971117341362785e-16,1.022348790267867e-31,1.0266894993756493e-31,0.009746250678698132,4.664172112899271
5786175.395374347,358886300.9139688,4.301615557883632e+17,5.569092563815191e+18,112265.57700571827,3031809.4676904455,57547.47820374795,3556416.866712308,4278251360235440.5,5.5185573769504424e+16,1124.9517243663297,30109.056026623355,5173923434885698.0,4.600803764988875e+16,33479825706035.49,290750391985535.0,3764610.785190396,231439352.88821837,80836.97700593274,1928369.4891538783,2.7987240649319846e+17,3.5827110439279196e+18,37441.633255626984,2293305.9652430867,51458213025303.94,456736852333425.5,810.0229749921782,19148.116551112063,2783522812905643.0,3.550052617190409e+16,3366266425364709.5,2.929158576909238e+16,8893303.349642886,617278815.5630174,481064368.5517863,52830596459.98977,5.825050071572854e-06,0.0004752169998595467,581777460.1260462,36216490744.545906,4.613249361674398e-06,6.641202120451548e-06,19554906780837.848,25850555098575.523,6.112993604587329e-17,1.0652474030425321e-16,6.482111883148362e-35,6.482436685929419e-35,0.00982329594229309,6.151043738698373
5165315.226542737,387461330.53809166,1.560906289616453e+17,5.365681601100489e+18,88910.48188264572,3162813.0043815495,51591.310443382434,3844204.0121513726,1559037491977632.2,5.321064404739708e+16,888.0403366104905,31446.208656587565,2686785303446826.5,4.080145720235066e+16,26680481389554.242,273849827540566.4,5135441.649685775,251579129.99766302,88396.2685195847,2135563.686476172,1.5518787952692042e+17,3.4572752279943373e+18,51292.93233670619,2496660.4624586534,26835685452951.668,405416373471873.1,882.9043594078807,21239.776561745733,1550020805812932.5,3.429464774839751e+16,2671246293001108.0,2.754883622873241e+16,5195362.582142621,658811301.6150899,395706442.78707194,60066072349.971176,6.1895265997673104e-06,0.0006611965387156864,517150682.16447157,39053166033.87802,2.4231829910993818e-05,3.002754064744049e-05,3036954182761591.5,3965545818241229.5,1.4070146377762584e-16,1.8969069125805795e-16,7.807282798149047e-28,9.915690727641197e-28,0.009950877232727437,8.333514164870621
3491315.9072655197,807504314.6926178,1.937265512574367e+17,1.2592631111976612e+19,66088.38946260278,5829653.806906339,34674.70303696772,8019565.269685482,1924034035776715.8,1.2503336709061496e+17,661.9211025995543,58012.41789655083,1382309104494169.2,8.556486610391554e+16,12189286764325.264,611251543557448.0,3404573.737043016,588640694.0987682,54799.36133379582,4113847.1084337253,1.8891339142540285e+17,9.264072818347162e+18,33813.20580407963,5845181.826039315,13844785355193.736,850748499388847.0,548.8536484361314,40920.47709992784,1876231175113799.8,9.197367459148178e+16,1227311182251191.8,6.149407582138321e+16,5814614.188427781,1223411413.3110714,537399429.0259765,134186673074.21774,5.746941160556722e-06,0.0009235913846218697,351532549.5745386,81309859439.88455,3.733568752085612e-05,4.295566659832387e-05,1201383939064600.0,4420693312134363.0,3.550454122611119e-17,9.963043951517787e-17,3.3291844814992407e-25,4.046522674474947e-25,0.009973600196199483,13.7018137193884
4198193.076394081,350557783.8765205,1.8124070306053827e+17,5.107056244472072e+18,146441.71706752956,3538472.9082892826,42332.825870388755,3512811.859786845,1821735000106882.0,5.11408281820736e+16,1493.8751760951134,35591.836390408775,2194963016080111.8,4.461289792889078e+16,17624825106683.195,274803347933584.2,3794564.822664772,219372762.54972208,81165.39311323888,2156014.216209448,1.3279708285961595e+17,3.1878888124067835e+18,38262.80710980138,2198065.663348142,22062598979202.113,447951531614285.9,824.395799667876,21677.47940634512,1335140414745148.5,3.1919865261789676e+16,1747873363381835.2,2.7374657839117536e+16,9184191.547771083,631072962.6642044,366997922.6190079,50030850940.69267,9.538081582115659e-06,0.0005148538388705966,416339442.1304514,34984334572.654526,0.00014633719978927057,0.000250717763526113,112185951219532.72,216447145281665.62,9.384408514691311e-16,1.8463177551315307e-15,1.7417066623967236e-21,1.7417670571509716e-21,0.010147348454390255,5.151100965275934
