,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
1443,1918,,,,07583004-1421154,,G,119.625168,-14.35429,34.150408145300005,,0.006074,-20.239,0.0009358438038173377,9808441360.309065
7110,7587,22306.0,ESO561-003,ESO561-003,,,G,119.363,-19.24301,51.1890762489,,0.0106761953381,-21.0959,0.004648133848780744,21595337711.186527
10416,10895,,,,07491451-1331520,,G,117.310478,-13.531132,194.424269956,,0.042734,-21.2808,0.0067669005329858145,25604718173.73938
20686,21171,,,79305,07595269-1947483,,G,119.969582,-19.796759,223.245187595,,0.042282,-21.5339,0.01326448868586594,32326597810.002407
21904,22390,,,78334,07460803-1316528,,G,116.533478,-13.281358,157.025259463,,0.024336,-20.7898,0.014013842135264515,16289959328.602394
23941,24429,,,960608,07585443-1152461,,G,119.726807,-11.879492,157.48655456,,0.032510000000000004,-21.3422,0.015265608376088563,27094428817.17181
24785,25273,,,,07494015-1401469,,G,117.41732,-14.029722,156.43743381299998,,0.047409,-20.2387,0.015766502638843206,9805731562.195398
24910,25398,,,949151,07415847-1241034,,G,115.493629,-12.684281,156.026022194,,0.032679,-20.429,0.015842117617794273,11684227381.673386
25142,25630,,,3098697,07480565-1434155,,G,117.02356,-14.57099,156.92577343899998,,0.037103,-21.0775,0.01597883465082048,21232444620.00228
40163,40656,22319.0,PGC022319,PGC022319,07575925-1417022,,G,119.496895,-14.283957,57.068017828100004,,0.013008,-19.629,0.02455225990896905,5592422830.409004
42691,43184,85961.0,PGC085961,PGC085961,07254536-1752531,,G,111.439018,-17.881428,84.0934869195,,0.019436,-20.0238,0.025229100532235774,8044887957.772598
42692,43185,85969.0,PGC085969,PGC085969,07324220-1354035,,G,113.175858,-13.900982,73.4805473243,,0.016983,-20.0399,0.02522940228311889,8165071648.062165
49245,49738,21759.0,ESO560-012,ESO560-012,07462535-1832493,,G,116.605644,-18.547041,44.4125148859,,0.009999784999889998,-21.1975,0.0269185460850099,23713737056.616558
84288,84781,,,78150,07433091-1815424,,G,115.87883,-18.261791,109.42658328700001,,0.025437,-19.9436,0.04021295179211888,7472053968.195689
