,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
3915,4391,3681.0,IC1610,IC1610,01014259-1534041,,G,15.427485999999998,-15.567807,84.0361104496,,0.017594,-20.8493,0.002529398024222289,17207588030.770462
4329,4805,4008.0,IC1623B,IC1623B,,,G,16.9491,-17.50662,89.6953415916,,0.0192675096338,-20.3938,0.002817356819266664,11311494794.928663
5138,5614,4707.0,IC1670B,IC1670B,,,G,19.7202,-16.80347,86.0007954039,,0.0185938292969,-20.3125,0.003369974865357336,10495424286.523241
5509,5985,,,IC0078,01084768-1550427,,G,17.198708,-15.845222,181.73693596,,0.032458,-22.2062,0.003600381476132644,60045435632.5829
6982,7459,4711.0,IC1670A,IC1670A,01184882-1648125,,G,19.703432,-16.803493,88.576761301,,0.023711000000000003,-20.1026,0.004558416463502652,8650475889.340103
6989,7466,4703.0,ESO542-003,ESO542-003,01184447-1937359,,G,19.685329,-19.626663,94.7320398491,,0.020457,-20.7355,0.004560807071045742,15495300395.827475
8663,9142,,,IC0079,01084970-1556547,,G,17.207096,-15.948555,192.255900181,,0.028776,-22.1184,0.005640994112623971,55380898823.547005
8674,9153,,,4071,01085113-1524227,,G,17.213064000000006,-15.406332999999998,235.89714370299998,,0.0523372761686,-22.9336,0.005649857741266757,117338356236.27425
9976,10455,,,4167,01100897-1651096,,G,17.537411,-16.852692,147.786726553,,0.026019,-21.1622,0.00648384917352551,22955142864.388973
14610,15094,4724.0,IC0093,IC0093,01190234-1703374,,G,19.759764,-17.060415,88.0242612617,,0.020535,-21.027,0.00944609002456172,20267491520.989613
15689,16173,,,IC0082,01090578-1600011,,G,17.274094,-16.000324,184.641694076,,0.035334,-21.7476,0.010149129601942732,39358632442.65631
15981,16465,3997.0,IC1622,IC1622,01073666-1732190,,G,16.902763,-17.538622,93.46098340510001,,0.019902759951400003,-20.2732,0.010333739450819321,10122318539.221931
16061,16545,,,3705,01021735-1940087,,G,15.572316,-19.669104,253.41176099400002,,0.0556848878424,-21.6391,0.010386183145310805,35615578259.1999
16097,16581,,,NGC0363,01061580-1632343,,G,16.565847,-16.542870999999998,161.387690053,,0.032729,-21.1114,0.01040668273041744,21905844475.89395
16141,16625,,,3590,01001589-1517574,,G,15.066227,-15.299297,243.353662412,,0.041918,-22.0712,0.010431741668354488,53024917319.01049
18190,18675,,,NGC0417,01110557-1808534,,G,17.773214000000007,-18.148182,192.30620433299998,,0.028105,-21.416,0.01172615266992214,29000133690.54073
19110,19595,,,4759,01193329-1741357,,G,19.888739,-17.693275,189.12945264599998,,0.038351,-21.2438,0.01230930373202569,24746854221.850143
19357,19842,,,3902,01060440-1900147,,G,16.518356,-19.004105,242.38759508,,0.045928,-22.0826,0.01245856160658532,53584600848.1863
19432,19917,3856.0,NGC0369,NGC0369,01050889-1745331,,G,16.287083,-17.759222,91.74792263299999,,0.024851,-20.392,0.012502516547447664,11292757442.094149
