,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
390,864,43924.0,NGC4782,NGC4782,12543569-1234069,,G,193.648743,-12.56859,69.376260513,,0.014168077084,-22.2661,0.00023427352077672246,63451223382.094185
518,992,43594.0,NGC4742,NGC4742,12514803-1027172,,G,192.950165,-10.454795,14.4113313527,,0.00360591180296,-18.7735,0.00032272923417299236,2543314105.987939
637,1111,44087.0,NGC4802,NGC4802,12554963-1203192,,G,193.956802,-12.055349,1.53366195485,,0.00268758134379,-13.5986,0.00040297724422526496,21649107.651709992
641,1115,44261.0,NGC4825,NGC4825,12571223-1339534,,G,194.300964,-13.664852,61.5574984448,,0.011849,-21.1404,0.00040479283762740847,22498833408.22437
707,1181,43763.0,NGC4760,NGC4760,12530723-1029394,,G,193.280136,-10.494297,65.0103751638,,0.010826,-21.8709,0.000443562872697329,44092020432.88223
795,1269,43902.0,NGC4781,NGC4781,12542374-1032139,,G,193.598953,-10.537218,14.484528148099999,,0.00297318148659,-19.6045,0.0004988466180789472,5467641107.29171
855,1329,43424.0,PGC043424,PGC043424,12500469-1444005,,G,192.519547,-14.73349,55.62554139109999,,0.0123767761884,-20.5164,0.0005448218595897802,12663682106.59869
928,1402,43926.0,NGC4783,NGC4783,,,G,193.653,-12.55863,56.2330404129,,0.0141428770714,-21.22,0.0005941733327045273,24210290467.3618
1015,1489,,,NGC4727,12505723-1419588,,G,192.738464,-14.333004,105.90727834,,0.011662,-22.4666,0.000663766803700161,76320287905.09558
1338,1813,43442.0,NGC4714,NGC4714,12501925-1319275,,G,192.580215,-13.324323,61.2028078208,,0.012177,-20.9149,0.0008685381315659728,18279318496.441788
1838,2313,44572.0,NGC4855,NGC4855,12591844-1313519,,G,194.826843,-13.2311,71.3793338519,,0.013153,-20.9279,0.0011835635686290044,18499500402.29614
2010,2485,43560.0,NGC4722,NGC4722,12513239-1319482,,G,192.884995,-13.33007,62.459750293999996,,0.015248,-20.702,0.0013069830362095766,15024499029.989143
2084,2559,,,,12551051-1236303,,G,193.793793,-12.608435,56.31171888229999,,0.016431,-20.567,0.0013629728656276991,13267833107.241543
2280,2755,43536.0,IC3831,IC3831,12511856-1434248,,G,192.827362,-14.573568,55.442006176899994,,0.0120078060039,-19.9192,0.0014771806887971851,7306005587.221856
2301,2776,43147.0,NGC4682,NGC4682,12471548-1003484,,G,191.814529,-10.063459,30.5706325817,,0.00714189357095,-19.7765,0.0014886081923844998,6406192726.269002
2979,3454,42946.0,NGC4663,NGC4663,12444706-1011522,,G,191.196106,-10.197839,31.328673299600002,,0.015271000000000003,-18.8307,0.0019093407851441281,2680896205.4150577
3392,3867,43118.0,NGC4680,NGC4680,,,G,191.728,-11.63675,31.662277024699996,,0.006948483474239999,-19.2427,0.0021866195734256367,3918140452.750357
3590,4065,43929.0,NGC4784,NGC4784,12543702-1036471,,G,193.654282,-10.613104,54.3454128708,,0.014748,-19.6828,0.0023138221757712176,5876517042.655175
