,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
799,1273,19603.0,NGC2274,NGC2274,06471737+3334021,,G,101.822403,33.567261,78.37466491720001,,0.015243,-21.9779,0.0005035907794796076,48658643774.215065
1971,2446,19869.0,UGC03596,UGC03596,06553570+3945526,,G,103.898773,39.764626,79.1456283662,,0.015081,-21.1001,0.001283911029523318,21679037669.406483
3364,3839,19605.0,NGC2275,NGC2275,06471794+3335571,,G,101.82476,33.599201,73.3486268401,,0.0154450877225,-21.707,0.0021635680072653787,37914034418.33059
4359,4835,19436.0,PGC019436,PGC019436,06413052+3249563,,G,100.377174,32.832325,77.6919832366,,0.012802,-20.9969,0.002840045039213753,19713330361.523903
4408,4884,19864.0,PGC019864,PGC019864,06552767+3316495,,G,103.865318,33.280418,82.0903952242,,0.015144,-20.5085,0.002870193486728145,12571873429.542091
4430,4906,19716.0,NGC2289,NGC2289,06505355+3328434,,G,102.723129,33.478748,75.3148682188,,0.016353,-20.6144,0.002883759911230987,13859896909.913006
4519,4995,20223.0,NGC2333,NGC2333,07082133+3510123,,G,107.088905,35.170101,71.53313628720001,,0.016746,-20.6535,0.00294761400203713,14368121770.342897
4885,5361,19718.0,NGC2290,NGC2290,06505690+3326154,,G,102.737122,33.437637,77.6127145255,,0.016093778046899997,-21.1297,0.0031928361828703422,22278194949.433685
4921,5397,19544.0,UGC03529,UGC03529,06452592+3429101,,G,101.358009,34.48616,84.3450740451,,0.023909,-20.8153,0.0032174194522534665,16677079536.31227
5077,5553,20450.0,UGC03752,UGC03752,07140387+3516455,,G,108.516151,35.279331,71.168418189,,0.021647,-19.9344,0.003333386018101481,7409006912.955709
5354,5830,19943.0,PGC019943,PGC019943,06582309+3550260,,G,104.59623,35.84057199999999,77.8505271839,,0.019615,-20.4663,0.003512080472239173,12092608701.820187
5956,6432,19729.0,NGC2294,NGC2294,06511130+3331374,,G,102.797089,33.527073,79.1412222769,,0.018899000000000003,-20.523000000000003,0.0038975718518342657,12740896859.191216
