,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
14665,15149,52311.0,PGC052311,PGC052311,14380942+6620170,,G,219.539276,66.338081,101.40635050700001,,0.027756,-20.8263,0.009478112234384231,16846900078.29637,131.0
25839,26327,,,IC1046,14375344+6900519,,G,219.472702,69.014427,117.56671595,,0.019635,-21.5264,0.016399228139231458,32104063075.962387,131.0
35547,36038,,,2692131,14273432+6652252,,G,216.893036,66.873672,131.490817518,,0.034618,-20.1265,0.02214149703888468,8843007635.355198,131.0
36107,36598,,,3086468,14503561+6606486,,G,222.648407,66.11350999999999,141.287622465,,0.033855,-20.0255,0.022481018831825583,8057494170.914545,131.0
56753,57246,,,52306,14380942+6424396,,G,219.539276,64.411026,198.591293157,,0.044775,-21.1968,0.02960347337265959,23698453172.803185,131.0
63241,63734,,,52318,14381859+6410177,,G,219.577484,64.171593,179.463325478,,0.040325,-20.8269,0.031877650214873536,16856212592.238016,131.0
82238,82731,,,53031,14511954+6600098,,G,222.831421,66.00273100000001,116.611576023,,0.025946,-20.5897,0.039174607214868505,13548150114.061405,131.0
84659,85152,,,84274,14423488+6606043,,G,220.645355,66.101219,223.81775321400002,,0.050158,-20.8585,0.0403921105707984,17354016258.719032,131.0
139470,139963,,,52156,14352791+6914205,,G,218.866302,69.239052,241.435735472,,0.053852,-21.352,0.06644115313825316,27340093785.0561,131.0
139476,139969,,,52580,14431170+6518479,,G,220.798767,65.313309,166.608916536,,0.037255,-21.0395,0.06644444029025247,20502178012.019836,131.0
139485,139978,,,53003,14505267+6721385,,G,222.719498,67.36069499999999,183.20950270400002,,0.041157,-21.0327,0.06644892337117858,20374173492.862083,131.0
177591,178084,,,2673695,14484325+6500182,,G,222.180237,65.005066,210.149778275,,0.047304,-20.1856,0.08175739142985419,9337701787.1204,131.0
177641,178134,,,2677604,14480526+6526586,,G,222.021942,65.44963100000001,212.864062574,,0.047858,-19.9335,0.08177494429579375,7402867904.9193325,131.0
177662,178155,,,2679113,14390953+6536597,,G,219.789719,65.616592,272.273532745,,0.060451,-20.552,0.08178261999597962,13085791612.451036,131.0
