,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
467,941,73126.0,NGC7796,NGC7796,23585980-5527301,,G,359.749207,-55.45836600000001,49.871706807399995,,0.01036,-21.4983,0.0002888216051344579,31283835963.292076
1281,1755,71829.0,NGC7702,NGC7702,23352887-5600439,,G,353.870331,-56.012222,48.6857291822,,0.009208,-20.773000000000003,0.0008313321536078443,16039838825.0843
1612,2087,71729.0,NGC7689,NGC7689,23331672-5405401,,G,353.319702,-54.094498,30.7222241056,,0.00611184305592,-20.4073,0.0010420680310757103,11453019495.973766
2015,2490,71564.0,NGC7676,NGC7676,23290173-5943001,,G,352.257233,-59.71670500000001,49.980737183,,0.01173,-20.155,0.001309794888353814,9078205301.781898
2229,2704,71716.0,NGC7690,NGC7690,23330254-5141541,,G,353.26059,-51.698364,24.479216857199997,,0.009876,-19.141,0.0014488258879891448,3567795882.885627
2362,2837,71603.0,ESO148-017,ESO148-017,23300664-5927529,,G,352.527679,-59.464699,47.6222628265,,0.012339,-20.2141,0.0015267971286755753,9586056844.661886
10702,11182,,,NGC7652,23253759-5753148,,G,351.406647,-57.887455,147.80926991,,0.034058,-21.5545,0.006948284104109308,32945795624.128307
14885,15369,,,ESO192-003,23290038-5214111,,G,352.251617,-52.236431,242.615153032,,0.035509,-22.1216,0.009620335809058569,55544364213.76461
18311,18796,,,,23252146-5747287,,G,351.339417,-57.791328,51.843627751199996,,0.016418000000000002,-16.6395,0.011800468208343752,356287019.40455306
23729,24217,71172.0,ESO148-007,ESO148-007,23211586-5804579,,G,350.316101,-58.082775,51.5861527004,,0.016609,-20.0077,0.015138136189642897,7926473280.669156
24354,24842,,,129140,23331168-5259437,,G,353.298676,-52.995476,143.456962342,,0.025149,-21.4166,0.0155124123263285,29016164185.649605
25393,25881,,,ESO192-018,23444863-5517398,,G,356.2026370000001,-55.294403,134.743937577,,0.033596,-20.4155,0.016136676854179674,11539845650.050941
25728,26216,,,ESO111-008,23554160-5957384,,G,358.9233700000001,-59.960667,242.00217523799998,,0.052134,-21.7141,0.016338460659702538,38162779671.93342
25904,26392,,,129992,23442893-5034328,,G,356.120544,-50.575787,243.34437197,,0.032736,-22.2431,0.01643815619586103,62121223395.88209
28487,28976,,,128421,23562241-5703174,,G,359.093414,-57.05484000000001,148.864483818,,0.036203,-20.884,0.01803150518144148,17766423082.036194
35181,35671,72003.0,ESO240-012,ESO240-012,23384961-5151349,,G,354.706726,-51.859707,29.0421884125,,0.015249,-18.4741,0.02193179717850694,1930367512.865506
36479,36970,,,95007,23534545-5412005,,G,358.439392,-54.200161,238.943617832,,0.04557,-21.3915,0.02268264488157822,28353064117.607
38101,38592,,,95419,23285571-5212341,,G,352.232147,-52.209476,251.394930232,,0.05705,-21.3828,0.023613721870714036,28126778946.616024
43224,43717,128387.0,PGC128387,PGC128387,23463915-5241118,,G,356.6631470000001,-52.686615,128.505506735,,0.029466000000000006,-19.9886,0.025365400649131217,7788252084.417781
47827,48320,3083336.0,PGC3083336,PGC3083336,23575245-5419499,,G,359.468567,-54.330551,90.7833839532,,0.021223,-18.578,0.02652923847951203,2124222477.388695
51071,51564,71329.0,ESO240-002,ESO240-002,23235947-5031270,,G,350.997803,-50.524178000000006,26.524050565,,0.005576,-17.0942,0.027430841843782656,541601676.4809299
51075,51568,71456.0,NGC7657,NGC7657,23264751-5748209,,G,351.697998,-57.805809,45.387680756,,0.00983052491526,-19.4947,0.027431753843937645,4941741227.644513
51102,51595,71989.0,ESO148-021,ESO148-021,23383240-5800007,,G,354.63501,-58.000221,53.288542185,,0.011796,-19.4282,0.02743821765184698,4648148558.512514
51105,51598,72039.0,ESO240-014,ESO240-014,23393113-5202527,,G,354.87973,-52.047993,47.3782453464,,0.010377,-19.1119,0.0274394704199088,3473441589.2004256
51123,51616,72774.0,ESO111-007,ESO111-007,23532698-5941475,,G,358.362457,-59.696533,47.3085299592,,0.010374,-18.7807,0.02744540019154485,2560236000.0643725
51135,51628,73146.0,ESO149-009,ESO149-009,23591246-5442023,,G,359.801941,-54.700642,86.6810179348,,0.020224,-19.5976,0.02744952733720689,5433003690.013145
51136,51629,73161.0,ESO149-011,ESO149-011,23592292-5619583,,G,359.84552,-56.332886,37.7434931066,,0.007996,-18.0732,0.02744957665101601,1334381462.4143846
51402,51895,71998.0,ESO192-011,,23384652-5628499,,G,354.693848,-56.48053,64.5544260308,,0.0148148774074,-19.3996,0.02753602424550529,4527307570.00841
83513,84006,,,71794,23344143-5903347,,G,353.672638,-59.059639,184.746625225,,0.041818,-20.8549,0.03985823238654136,17296570445.774345
