,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
645,1119,55588.0,NGC5962,NGC5962,15363164+1636284,,G,234.131851,16.607893,29.7132141696,,0.008308,-20.4377,0.00040632097891090985,11778229165.381935
958,1432,,,,15382998+1211117,,G,234.624924,12.186608,29.566007464699997,,0.008553,-20.524,0.0006245326256917372,12752637064.59738
1412,1887,55480.0,NGC5953,NGC5953,15343240+1511377,,G,233.63501,15.193832999999998,29.643939449,,0.0061681230840600005,-19.3597,0.0009170502196057856,4363952351.202602
2001,2476,55800.0,NGC5980,NGC5980,15413039+1547156,,G,235.376648,15.787691,56.9630856842,,0.014586000000000003,-20.656,0.0013000620993651572,14401243711.755713
2197,2672,55255.0,NGC5936,NGC5936,15300084+1259215,,G,232.503525,12.989319,55.031280011899995,,0.012897,-21.28,0.0014325290359348624,25585858869.05653
2414,2889,,,,15260290+1804253,,G,231.512115,18.073713,61.2071864479,,0.017116,-20.587,0.0015588177707216914,13514500541.175615
2553,3028,56334.0,NGC6012,NGC6012,15541394+1436044,,G,238.558105,14.60124,28.6742757645,,0.010436,-19.1775,0.001642485996447208,3689775985.70149
2655,3130,55520.0,NGC5957,NGC5957,15352323+1202510,,G,233.846832,12.047511,27.9515784339,,0.009391,-19.327,0.0017138393287458858,4234479161.6920853
3224,3699,56166.0,NGC6004,NGC6004,15502269+1856207,,G,237.594559,18.939104,54.2012708681,,0.009817,-21.017,0.002079278520416962,20081678041.83984
3443,3918,55057.0,UGC09841,UGC09841,15253406+1816379,,G,231.391922,18.277212,60.327217841099994,,0.0143268371634,-20.8126,0.002219129276895761,16635658633.926725
3929,4405,,,,15345850+1145012,,G,233.74377400000003,11.750359,28.778152014899998,,0.010979,-19.3193,0.002536415969624764,4204554633.255564
4235,4711,,,,15573067+1557223,,G,239.377823,15.956215,65.0892968289,,0.017791,-19.5685,0.002744644452131327,5289321920.487229
4807,5283,55482.0,NGC5954,NGC5954,15343517+1511536,,G,233.646561,15.198243,29.578995975999998,,0.0061681230840600005,-19.1549,0.0031388767579845172,3613765770.940055
4966,5442,,,NGC6023,15574962+1618363,,G,239.456757,16.310104,168.192418896,,0.02597,-21.578000000000007,0.003249274774419172,33666657436.862457
5037,5513,,,,15425319+1413531,,G,235.721634,14.231426,18.927375541,,0.010828,-18.4245,0.003300554148066693,1844165953.7910051
5453,5929,56139.0,UGC10050,UGC10050,15494486+1831366,,G,237.436951,18.526857,57.7064387268,,0.018335,-19.9601,0.0035677432903101452,7586474458.234509
5564,6040,56481.0,NGC6018,NGC6018,15572978+1552213,,G,239.374084,15.872604,70.768599764,,0.026294,-19.5542,0.003638603330388865,5220114150.357203
6418,6894,56130.0,NGC6003,NGC6003,15492562+1901551,,G,237.356781,19.03199,56.849413578500005,,0.018255,-19.6826,0.004199269692139108,5875434647.907203
6832,7309,55435.0,NGC5951,NGC5951,15334307+1500262,,G,233.429459,15.007294,27.588137561,,0.006028473014239999,-19.5036,0.004471070984644943,4982416165.922391
8414,8893,,,UGC10068,15520367+1253549,,G,238.01532000000003,12.8986,156.85794389,,0.030872000000000007,-21.5695,0.005479382350130734,33404117295.457382
8731,9210,,,,15532317+1157327,,G,238.346558,11.959108,159.961533135,,0.022472,-18.7941,0.005681794643299629,2592029858.3946466
9891,10370,56023.0,NGC5996,NGC5996,15465887+1753031,,G,236.7453,17.884216000000006,47.08632371,,0.0108769554385,-20.8445,0.006435990051823754,17131681827.158125
10111,10590,,,UGC09996,15442916+1132586,,G,236.121536,11.549612,156.030542904,,0.034717427358699995,-20.646,0.006572960432314122,14269212315.793724
10434,10913,56141.0,IC1141,IC1141,15494695+1223576,,G,237.445633,12.399351,60.826271098,,0.020082,-19.6745,0.006777029593924309,5831764797.316408
10694,11174,56511.0,IC1149,IC1149,15580799+1204130,,G,239.533325,12.07029,64.3001783365,,0.018174,-20.6181,0.006943217488001024,13907209597.00872
10805,11285,56537.0,IC1151,IC1151,15583232+1726295,,G,239.634705,17.441553,32.3036023027,,0.014188,-19.0283,0.007016319274690372,3216029323.8179393
10826,11306,56437.0,PGC056437,PGC056437,15562359+1631246,,G,239.098328,16.5235,65.0980660374,,0.022724,-19.3008,0.0070279654695457,4133519587.8906655
11107,11587,,,UGC10084,15542425+1839069,,G,238.601044,18.651936,204.943797305,,0.031476,-22.0752,0.007224099708634705,53220628625.878784
12009,12490,55035.0,IC1118,IC1118,15245954+1326421,,G,231.248093,13.445034,92.4206332028,,0.027056,-20.2828,0.007797698900690814,10212216186.88604
12261,12742,,,NGC5972,15385414+1701344,,G,234.725586,17.026228,134.797811642,,0.023788,-21.0024,0.00796435220581628,19813445288.25894
12729,13212,,,56407,15555343+1158433,,G,238.972641,11.97872,160.160703058,,0.035442,-21.0198,0.008268935242885153,20133533423.10153
12932,13415,,,,15220785+1355415,,G,230.53273,13.928214,135.134546175,,0.025353,-18.5628,0.008408208755573344,2094691160.4530675
13852,14336,,,56617,15595864+1535289,,G,239.994354,15.591381,154.227303584,,0.032372000000000005,-20.4218,0.008965711997028551,11607000415.833986
13944,14428,,,UGC10112,15581954+1958031,,G,239.581436,19.967531,150.858652807,,0.030739,-21.1989,0.009026697613086523,23744334401.78416
15622,16106,,,UGC10121,15594579+1848037,,G,239.940826,18.801039000000006,133.195466466,,0.025043,-21.7394,0.01009623263121703,39062496879.983864
16135,16619,,,55364,15323489+1019086,,G,233.145401,10.319082,157.188061661,,0.029232,-21.1041,0.010427173576912368,21759053499.858437
16549,17033,,,IC1134,15445851+1657440,,G,236.243805,16.962229,219.75193515799998,,0.04554,-21.6147,0.010683830164734108,34824107917.5028
17133,17617,54797.0,PGC054797,PGC054797,15212896+1508151,,G,230.370682,15.137538,93.4875503749,,0.020533000000000003,-20.0598,0.011044804683687924,8316105686.647505
18684,19169,,,56009,15463158+1208337,,G,236.631622,12.142701,156.21137671,,0.03062,-20.9366,0.012026714083232384,18648332325.771
18710,19195,,,56080,15482279+1049089,,G,237.094971,10.819139,158.71248565,,0.032608,-20.7801,0.012045505030952516,16145072515.919374
18883,19368,55683.0,IC1131,IC1131,15385172+1204498,,G,234.71553,12.080527,29.817129507399997,,0.012994,-18.0263,0.012161137283138465,1277968060.8153048
19069,19554,,,,15223094+1915410,,G,230.628937,19.261389,97.156101333,,0.048437,-19.4384,0.012283667636345984,4692021570.305562
19554,20039,,,55699,15390439+1047579,,G,234.768295,10.799418,153.016695143,,0.034771,-20.7837,0.012576272367995852,16198693944.435188
19783,20268,,,NGC5988,15443383+1017356,,G,236.140961,10.293226,160.260292806,,0.038502,-20.6341,0.012719586682733123,14113671341.426468
20193,20678,,,55818,15415516+1650351,,G,235.479843,16.8431,221.42656999,,0.034761,-21.6801,0.012976418714027823,36986224378.30965
20286,20771,,,56518,15582067+1804512,,G,239.586136,18.080904,201.983852117,,0.040346,-21.4056,0.013036754412919871,28723674724.35965
21407,21892,,,56587,15591582+1510357,,G,239.815918,15.176601000000002,189.77825848400002,,0.035539999999999995,-20.7982,0.013704808481497213,16416478415.593725
22710,23196,,,UGC10037,15481262+1116460,,G,237.052597,11.279466,155.84971965399998,,0.037796,-20.9645,0.014505511407686682,19133745805.42312
22860,23346,,,1564594,15273128+1836265,,G,231.880356,18.607367,241.644656955,,0.04805,-21.6759,0.014596163845256712,36843425353.6303
23567,24055,,,56571,15590492+1455407,,G,239.770508,14.927984,189.092904134,,0.048663,-20.9094,0.01503920918599414,18186955325.604427
23692,24180,,,56546,15584768+1412135,,G,239.698669,14.203762,157.414190007,,0.034156,-20.5262,0.015117849847450656,12778503610.274113
24113,24601,54778.0,PGC054778,PGC054778,15211342+1518502,,G,230.305954,15.313948000000002,95.68458590190001,,0.025872000000000003,-19.5072,0.015368494168220862,4998963894.154265
24282,24770,,,NGC5977,15403347+1707409,,G,235.139496,17.128052,121.524415545,,0.031164,-20.3223,0.015469848791343046,10590586214.005829
24424,24912,,,56064,15480366+1748274,,G,237.015259,17.807619,143.803659044,,0.035822,-20.5308,0.015555215768133691,12832757869.302362
24521,25009,,,54783,15211241+1415092,,G,230.301727,14.252560999999998,194.77207781099997,,0.036263,-21.5046,0.015616413050942494,31465888543.596806
24637,25125,,,56364,15544937+1855013,,G,238.705734,18.917036,164.083325905,,0.031322,-20.6353,0.015686915193796933,14129278970.96687
24763,25251,,,55110,15264709+1633276,,G,231.696243,16.557673,194.570710763,,0.033972,-21.1004,0.015756877875593878,21685028636.527264
24853,25341,55860.0,PGC055860,PGC055860,15430608+1546137,,G,235.775345,15.77049,51.996378295,,0.030424,-18.2009,0.01580855202537572,1500928485.5816982
24994,25482,,,56185,15504966+1317194,,G,237.706924,13.288745,166.559019751,,0.037705,-20.7398,0.01589533344409199,15556790385.405966
25285,25773,,,55477,15342919+1428388,,G,233.621643,14.477448,143.078792496,,0.027909,-20.2289,0.016072185783879374,9717621962.124184
25482,25970,55670.0,PGC055670,PGC055670,15383300+1015043,,G,234.637527,10.251197,77.4673942044,,0.027543,-19.6006,0.016191119077197818,5448036392.863594
25539,26027,,,UGC09956,15393896+1013115,,G,234.912369,10.219879,155.320872247,,0.040485,-21.0191,0.016228105722449957,20120557037.943237
25981,26469,54897.0,PGC054897,PGC054897,15225572+1459570,,G,230.732178,14.99918,98.8412701984,,0.025614,-20.1987,0.016491708082341676,9451048677.509466
26224,26712,,,56490,15574260+1613053,,G,239.427521,16.218164,158.766781619,,0.039428,-20.0488,0.01664507624478757,8232277470.872489
26260,26748,,,55890,15435891+1912415,,G,235.995483,19.211546,101.27315994799999,,0.023003,-20.1675,0.016666123694968917,9183325964.835829
26797,27285,,,55950,15452031+1719570,,G,236.334625,17.332514,215.15226218799998,,0.037773,-21.5517,0.017007733779129727,32860941328.70201
26873,27361,,,56234,15513587+1311172,,G,237.899475,13.188122,162.211989884,,0.035586,-20.8894,0.017048587390161882,17855005980.708458
27226,27714,,,56401,15554713+1137323,,G,238.946396,11.625654,158.911575511,,0.033792,-21.2078,0.017262300802885818,23939771453.574654
28206,28694,,,3090880,15255426+1339370,,G,231.47612,13.660289,140.21252419700002,,0.037669,-20.2229,0.017875827516119134,9664068508.547146
28714,29204,55550.0,PGC055550,PGC055550,15355248+1431032,,G,233.968689,14.517579,78.3174015484,,0.019872,-19.8573,0.01817132985542533,6901126686.795492
28791,29281,,,UGC09897,15335172+1100385,,G,233.46553,11.010704,158.807504218,,0.022884,-21.5574,0.0182192757130807,33033911427.882668
28869,29359,,,56202,15511233+1833460,,G,237.801407,18.562784,127.91865242600001,,0.029865,-20.8757,0.01826186700807705,17631124006.276108
29456,29946,,,56329,15540984+1906224,,G,238.541016,19.106237,165.543113031,,0.027014,-21.4966,0.01861989832455263,31234891378.823795
29530,30020,,,IC1142,15502591+1808227,,G,237.607971,18.139662,205.79786741400002,,0.022775,-21.2272,0.01866589501781156,24371373193.98367
29566,30056,,,55762,15402230+1557532,,G,235.092926,15.964788,225.415924491,,0.041348,-21.5069,0.018686740655013738,31532615850.50905
30353,30843,,,56457,15565396+1407389,,G,239.224838,14.127475,154.06917482,,0.030764,-20.2856,0.01914376431334029,10238586411.664707
30699,31189,,,1606105,15243537+1948139,,G,231.147385,19.803885,186.14756002599998,,0.048959,-20.4703,0.01934803132376016,12137241685.182413
30767,31257,,,56449,15564456+1400173,,G,239.185684,14.00482,153.30575257200002,,0.050972,-19.9608,0.019386430756503027,7591367216.142683
31256,31746,,,3090780,15374126+1421154,,G,234.421936,14.35429,228.54985660900002,,0.055343,-21.1679,0.01967728048602661,23075971823.55481
32394,32884,,,UGC10085,15542685+1831319,,G,238.611893,18.525547,148.78330067,,0.027876,-21.5848,0.020334115764416568,33878174448.74845
33567,34057,,,1570963,15533265+1848269,,G,238.386078,18.807478,233.172991897,,0.046752,-21.2304,0.021013733459151102,24443309116.186504
33653,34143,,,56042,15472632+1016577,,G,236.85968,10.282695,157.56796670100002,,0.030149,-20.5233,0.021065500148498117,12744417785.504202
33692,34182,,,56016,15464913+1803551,,G,236.704712,18.065329,204.645385188,,0.0466288433144,-20.755,0.02108582408372533,15776112696.9935
34198,34688,,,56510,15580427+1519000,,G,239.517807,15.316675,170.053717681,,0.039784,-20.1719,0.021364144807088824,9220617361.888634
34559,35049,,,3090887,15353531+1348402,,G,233.897125,13.811185,233.673178206,,0.045994,-21.063,0.0215802054077803,20950770523.65194
34603,35093,,,UGC10040,15484387+1751462,,G,237.182816,17.862845999999994,129.921593543,,0.033631,-20.8494,0.02160100895480635,17209172981.186386
34759,35249,,,56532,15582635+1802223,,G,239.609833,18.039528,187.115341383,,0.036335,-21.2395,0.021691596839079626,24649039456.04668
34838,35328,,,3091177,15474686+1150146,,G,236.945251,11.837414,161.26542240700002,,0.051229,-20.3557,0.021738954074119108,10921442409.259764
35170,35660,,,55843,15424423+1728441,,G,235.684326,17.478920000000002,183.966567911,,0.044878,-20.9337,0.021927705761113445,18598589115.822983
35287,35777,54950.0,NGC5926,NGC5926,15232492+1242552,,G,230.853836,12.715338,83.2153096447,,0.023501,-20.246,0.021994504736070977,9871883010.683935
35724,36215,,,55747,15400892+1603132,,G,235.03717000000003,16.053686,225.965764353,,0.056838,-21.0992,0.0222453484185315,21661074697.03556
36202,36693,,,54789,15211727+1257012,,G,230.32199100000003,12.950334,90.4250813677,,0.026273,-19.2944,0.02253131111040713,4109225741.408147
36709,37200,,,55111,15265351+1517536,,G,231.722977,15.298231,111.693423846,,0.029142,-20.5391,0.02282093453830761,12931234873.862623
36798,37289,55073.0,UGC09846,UGC09846,15260269+1619230,,G,231.51123,16.323059,99.1384921417,,0.021471,-20.6452,0.022875004087583136,14258702244.141174
37360,37851,,,56132,15492881+1156088,,G,237.370056,11.935781,160.11996271799998,,0.03677,-20.8442,0.0231802793265152,17126948822.453863
