,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
1411,1886,,,,22592288+5344243,,G,344.8453370000001,53.740086,79.8991683229,,0.015750999999999998,-21.1387,0.0009168889440490447,22463633247.55741
8561,9040,,,168027,22535392+5006020,,G,343.47467,50.100567,205.56366443299999,,0.023536,-21.9867,0.005569649017838047,49054629508.989685
14527,15011,97265.0,PGC097265,PGC097265,22565321+5352372,,G,344.2217100000001,53.877003,84.8394841157,,0.025203,-20.02,0.00939237753919487,8016780633.876789
15226,15710,,,168084,22495846+5317080,,G,342.493622,53.285576,207.593987458,,0.046823,-21.1011,0.009843068929744977,21699013999.02124
18818,19303,,,168021,22534092+5000591,,G,343.420502,50.016422,194.07649988900002,,0.033541,-21.0099,0.012114235782218449,19950785529.81033
22931,23417,,,168043,22501829+5156219,,G,342.576233,51.939419,170.616864855,,0.023893,-20.4051,0.014634377113614363,11429836026.221321
24020,24508,,,97253,22420452+5108042,,G,340.51886,51.13451,119.437708716,,0.058996000000000014,-19.9337,0.0153177371373426,7404231689.187381
26232,26720,,,167971,22415622+5109212,,G,340.484283,51.155891,188.010344645,,0.046576,-20.7939,0.016649915013279323,16351590410.955097
26376,26864,,,,22564767+5110557,,G,344.198639,51.182156,204.07618318,,0.053541,-20.847,0.01674666732987503,17171174432.444529
27123,27611,,,168009,22494375+5047239,,G,342.432312,50.789989,193.486292473,,0.03681,-20.8493,0.017204627612626113,17207588030.770462
27575,28063,,,168092,22580387+5048538,,G,344.516144,50.814945,203.277633492,,0.046302,-20.8534,0.017473449875121123,17272690849.85208
35817,36308,,,168054,22473693+5318552,,G,341.9039,53.315353,206.615414742,,0.037312,-20.6468,0.022303316919595348,14279730134.406876
36325,36816,,,168075,22495193+5306490,,G,342.4664,53.113625,212.578726023,,0.044265,-20.9536,0.022599771203313333,18942617943.398468
51016,51509,69712.0,UGC12186,UGC12186,22471299+5007441,,G,341.804138,50.128944,185.353469012,,0.041394,-21.07,0.027414311330128442,21086281499.332973
86555,87048,,,97258,22541319+5002484,,G,343.554962,50.046791,220.632972256,,0.049087,-20.2824,0.04123674683715522,10208454560.364395
97231,97724,,,166763,22465048+5053451,,G,341.710358,50.895878,167.425522524,,0.037433,-20.4981,0.047015283087125694,12452025460.274824
97232,97725,,,166764,22471918+5258581,,G,341.829956,52.982826,185.143570073,,0.0413404106702,-20.7165,0.047015845802200494,15226496955.679398
97233,97726,,,166767,22513480+5000316,,G,342.8950200000001,50.008789,152.519940869,,0.0340996070498,-18.5196,0.047015920194597056,2012982503.0753202
143997,144490,,,168006,22514040+5000136,,G,342.918335,50.00378,212.859460173,,0.047401,-21.0965,0.06861857881200206,21607275033.93296
143999,144492,,,168046,22540964+5054194,,G,343.540192,50.905396,172.306913054,,0.038507,-20.1685,0.06861916755767815,9191788016.94495
144000,144493,,,168051,22551370+5042485,,G,343.807098,50.713478,194.758347837,,0.043446,-20.7665,0.06861975679269737,15944099649.102057
144001,144494,,,168057,22534718+5127580,,G,343.446594,51.466137,160.595299914,,0.0359,-19.5667,0.06861995194269478,5280560223.392699
144003,144496,,,168091,22580440+5049398,,G,344.518341,50.827724,200.01664894799998,,0.044594,-20.2943,0.06862068805684114,10320957744.73725
144005,144498,,,168106,22551801+5222505,,G,343.825073,52.380695,214.572002992,,0.047767,-19.6409,0.0686212074718825,5654054625.217893
184781,185274,,,UGC12228,22524597+5033291,,G,343.191559,50.55810200000001,165.647409664,,0.037032,-19.6799,0.08473008864974645,5860841816.800671
188181,188674,,,,22575901+5046248,,G,344.495911,50.77356,162.701238021,,0.036369,-19.423,0.0858165658826968,4625940047.661589
188182,188675,,,,22581846+5245436,,G,344.576935,52.762138,173.71598151799995,,0.038808,-18.6932,0.08581665317351209,2362000580.4323893
188183,188676,,,,22583383+5145118,,G,344.640961,51.753281,126.55723102600001,,0.028112,-19.2824,0.08581680336611705,4064058960.750612
188184,188677,,,,22584168+5132598,,G,344.673706,51.549953,137.052398421,,0.030426,-19.1254,0.08581693333774235,3516899840.423739
188185,188678,,,,22582953+5049397,,G,344.623077,50.827717,118.548953161,,0.026819,-20.0645,0.08581724200356881,8352182974.1259985
188186,188679,,,,22585494+5044397,,G,344.728943,50.744381,190.99855379099998,,0.042619,-19.0612,0.08581736451272534,3314973034.4533978
188188,188681,,,,22591745+5046082,,G,344.822723,50.768967,139.60541825299998,,0.031084,-18.8065,0.08581791181541089,2621802661.510449
188189,188682,,,,22591809+5119472,,G,344.825378,51.32980300000001,217.243894748,,0.048345,-20.1357,0.08581824140125466,8918257341.209654
208263,208756,,,,22465140+5447062,,G,341.714172,54.78508000000001,165.388941779,,0.036966000000000006,-20.2685,0.09256830569089584,10078595144.150282
208264,208757,,,,22465579+5447412,,G,341.732483,54.7948,181.139898086,,0.040456,-20.6501,0.09256883502338382,14323198147.286674
209523,210016,,,,22442712+5442401,,G,341.113037,54.711163,177.273276013,,0.039606,-19.3062,0.09298086612911174,4154129203.294032
210154,210647,,,,22485567+5453390,,G,342.231964,54.894184,159.051851032,,0.035544,-20.3907,0.09318792819546406,11279244215.529242
213877,214370,,,,22402479+5341312,,G,340.103302,53.692005,215.447036616,,0.047966,-20.3727,0.09449200642902778,11093791516.33507
213879,214372,,,,22591870+5441166,,G,344.827942,54.687962,188.745714179,,0.042118,-20.2784,0.0944924954673057,10170914417.853882
214963,215456,,,,22430878+5412549,,G,340.786621,54.215256,169.268205523,,0.037834,-19.5549,0.09484063778437704,5223480767.477075
247357,247850,,,,22413114+5333334,,G,340.379791,53.559299,111.76025280100001,,0.025451,-19.3144,0.10589591498652463,4185621951.7686577
247359,247852,,,,22531570+5244010,,G,343.31543,52.73361600000001,166.055560403,,0.037113,-19.3383,0.1058963006077097,4278780422.220658
247360,247853,,,,22532709+5330490,,G,343.362915,53.513638,153.892983721,,0.034378,-20.5591,0.10589678738302842,13171644479.421562
247361,247854,,,,22543643+5203354,,G,343.651794,52.059837,183.67922670599998,,0.041012,-18.7463,0.10589687904908524,2480390161.2510448
247362,247855,,,,22551685+5038575,,G,343.820221,50.649307,169.894783151,,0.037972000000000006,-20.8279,0.10589750256644548,16871744889.563057
247363,247856,,,,22563472+5010548,,G,344.144684,50.1819,160.500226661,,0.035884,-18.6354,0.10589758533179433,2239546065.863602
247364,247857,,,,22564584+5107537,,G,344.19104,51.131607,143.907225407,,0.032101,-18.2404,0.1058976428557244,1556538976.1355267
247365,247858,,,,22562308+5231508,,G,344.0961910000001,52.530785,203.539205584,,0.045362,-19.9402,0.1058979181318517,7448691712.412547
255833,256326,,,,22594212+5353263,,G,344.925537,53.890648,197.340617637,,0.044003,-21.1501,0.10852653840063699,22700739237.90634
260390,260883,,,,22415668+5353552,,G,340.486206,53.89867,116.745455776,,0.026368,-19.5042,0.10989219812092026,4985170311.776699
