,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
174,648,48040.0,IC4296,IC4296,13363905-3357572,,G,204.16272,-33.965916,56.272379374399996,,0.008303,-21.9765,0.00010649762240567592,48595941434.62743
368,842,49025.0,IC4329,IC4329,13490531-3017452,,G,207.272141,-30.295889000000006,63.8224292971,,0.010523,-22.4189,0.0002217632755079524,73039871421.4667
546,1020,48334.0,NGC5253,NGC5253,13395599-3138241,,G,204.983292,-31.640032,4.148900654369998,,0.0008164804082399999,-17.2197,0.0003380997162659284,607966990.5807058
547,1021,48287.0,ESO445-002,ESO445-002,13392348-3046267,,G,204.847855,-30.774092,61.7633268504,,0.0132476466238,-21.3337,0.00033909321781774697,26883140387.77288
578,1052,46896.0,NGC5121,NGC5121,13244558-3740559,,G,201.189957,-37.68222,11.3947537805,,0.007902,-18.1915,0.0003665322761834733,1487989956.986025
644,1118,47549.0,NGC5188,NGC5188,13312829-3447400,,G,202.867889,-34.794472,24.159443769099997,,0.011714,-19.4784,0.00040588569907437687,4868105706.823072
744,1218,,,,13262174-3352067,,G,201.590591,-33.868549,58.0082082102,,0.011614,-18.6294,0.0004670071231178081,2227204010.7044888
797,1271,47582.0,NGC5193,NGC5193,13315348-3314040,,G,202.972855,-33.234447,56.0800607563,,0.011134,-21.011,0.0005005491423927588,19971008660.28184
814,1288,49051.0,IC4329A,IC4329A,13491927-3018338,,G,207.330322,-30.309397,68.9723011982,,0.020971,-20.6294,0.0005150333338111075,14052707282.097424
868,1342,48909.0,NGC5292,NGC5292,13474008-3056225,,G,206.917038,-30.939590000000006,63.5025136636,,0.010118,-21.642,0.0005542607250978262,35710834580.83453
918,1392,47321.0,NGC5161,NGC5161,13291390-3310258,,G,202.307953,-33.17384000000001,24.1508017695,,0.00431298215649,-20.4147,0.0005887017539969728,11531345909.35347
985,1459,49726.0,IC4352,IC4352,13582512-3431024,,G,209.604691,-34.517353,70.2590218345,,0.014503,-21.2085,0.0006390921197668062,23955210971.19841
1000,1474,47972.0,NGC5220,NGC5220,,,G,203.987,-33.453520000000005,60.3140860433,,0.0115077957539,-20.9221,0.0006491876779232365,18400939609.09088
1041,1515,49007.0,NGC5302,NGC5302,,,G,207.207,-30.51116,53.4151711335,,0.0146531773266,-20.5183,0.0006812720134521656,12685862504.682013
1042,1516,46902.0,NGC5124,NGC5124,13245027-3018279,,G,201.209473,-30.307772,59.07996788770001,,0.012264,-20.7142,0.000681833537745281,15194275615.706371
1120,1594,49534.0,NGC5357,NGC5357,13555954-3020291,,G,208.998093,-30.341419,70.083326286,,0.011457,-21.8411,0.000734522543686578,42898291896.42736
1594,2069,49037.0,ESO445-049,ESO445-049,13490940-3109541,,G,207.2892,-31.165052000000006,70.5884799856,,0.016315,-20.8577,0.001029234232365008,17341234056.709484
1715,2190,46828.0,NGC5114,NGC5114,13240173-3220383,,G,201.007248,-32.343979,54.8608898458,,0.013919,-20.3703,0.0011045490960768251,11069295976.768726
1863,2338,48893.0,NGC5291,,13472445-3024250,,G,206.851913,-30.406952,60.7518453194,,0.014403,-20.6098,0.0012047731854732905,13801300118.42732
1882,2357,48057.0,IC4299,IC4299,13364758-3403572,,G,204.198257,-34.065914,59.421266093199996,,0.012336,-20.4337,0.0012147957790904266,11734916399.597912
1937,2412,48522.0,ESO445-014,ESO445-014,13420879-3045485,,G,205.536652,-30.763494,67.1859034005,,0.013964,-20.8304,0.0012592768676199554,16910638278.323063
2018,2493,,,ESO383-076,13472838-3251540,,G,206.868271,-32.865005,179.549865891,,0.015147999999999997,-23.4179,0.0013175152751244024,183298959631.5149
2075,2550,48985.0,NGC5298,NGC5298,13483648-3025427,,G,207.152023,-30.428545,61.631945299099996,,0.013984,-20.994,0.0013568926980860776,19660746338.79107
2234,2709,,,,13292355-3416168,,G,202.348129,-34.271339000000005,55.197311070299996,,0.015599000000000003,-19.3826,0.0014518666393786518,4456972967.451863
2433,2908,49090.0,NGC5304,NGC5304,13500146-3034426,,G,207.506119,-30.578508000000006,55.1274020688,,0.014461000000000003,-20.5068,0.0015710290357330641,12552204322.412128
2469,2944,49658.0,ESO384-019,ESO384-019,13573919-3413082,,G,209.4133,-34.218956,60.4016325075,,0.01409,-20.3692,0.0015925735830549061,11058086937.677464
2587,3062,,,,13373941-3348411,,G,204.414215,-33.811417,57.684572620299996,,0.012627,-19.8593,0.0016688984728047936,6913850747.637765
2635,3110,47969.0,ESO383-035,,13355380-3417437,,G,203.974167,-34.295494,22.1811353979,,0.00669837334919,-18.1299,0.00170221371719884,1405918028.3307474
2702,3177,46910.0,NGC5126,NGC5126,13245359-3020009,,G,201.223312,-30.333607,64.72539842229999,,0.019617,-20.3754,0.0017415324298381588,11121413798.421728
2928,3403,,,ESO325-004,13433318-3810336,,G,205.88829,-38.176018,141.674570416,,0.021959,-21.7305,0.001881376236189437,38743602472.80023
3020,3495,,,ESO444-046,13275688-3129437,,G,201.987015,-31.495474,209.138253105,,0.02603,-22.8762,0.0019413535565705878,111296113786.71112
3247,3722,48161.0,ESO444-086,ESO444-086,13375737-3055540,,G,204.489075,-30.931690000000003,59.0974693621,,0.018018,-19.8608,0.0020920706733568665,6923409186.65321
3272,3747,48950.0,ESO445-035,ESO445-035,13481112-3027077,,G,207.046341,-30.452148,68.43670382350001,,0.016612000000000002,-20.7634,0.00210558248163617,15898640895.771215
3310,3785,49050.0,ESO383-087,ESO383-087,13491749-3603483,,G,207.322876,-36.063423,5.58192695105,,0.0008053504026749999,-17.2239,0.0021297001667596907,610323370.1099994
3371,3846,49580.0,ESO445-081,ESO445-081,13563485-3237471,,G,209.145248,-32.629761,62.210069476899996,,0.015688,-20.3133,0.00216903413065195,10503160450.683622
3611,4087,,,ESO382-058,13251252-3339198,,G,201.3022,-33.655521,107.30827150399999,,0.0254461327231,-20.8432,0.002328125294929265,17111181581.83227
3729,4205,47881.0,ESO383-027,ESO383-027,13350490-3516087,,G,203.770447,-35.269089,63.007372564399994,,0.018423,-19.891,0.0023994991734917802,7118688672.622825
3926,4402,49208.0,ESO445-059,ESO445-059,13513955-3029204,,G,207.91481,-30.489002000000006,63.7961335079,,0.018392,-20.326,0.0025349543192993143,10626738654.024708
4201,4677,48282.0,ESO445-001,ESO445-001,13392254-3213267,,G,204.843933,-32.224094,96.4246837872,,0.01766,-21.1379,0.002722393452773574,22447087527.318386
4454,4930,47879.0,NGC5215A,NGC5215A,13350667-3328517,,G,203.777832,-33.48103,56.836297859700004,,0.011447315723700002,-19.9331,0.0029054484430935763,7400141089.922749
4521,4997,49516.0,ESO384-013,ESO384-013,13554175-3343294,,G,208.923981,-33.724857,56.2242984956,,0.018049000000000003,-20.0686,0.0029485805379821004,8383782443.85576
4630,5106,,,ESO444-018,13225682-3243423,,G,200.736771,-32.728443,119.929093671,,0.027413,-21.4636,0.0030168305312592817,30299816614.343224
4860,5336,48991.0,ESO445-040,ESO445-040,13483916-3048387,,G,207.163193,-30.810762,72.4033736905,,0.014155,-20.6688,0.003174747121418392,14572028098.546053
5389,5865,,,,13395914-3235301,,G,204.996445,-32.591702000000005,57.269148628500005,,0.021055,-19.9376,0.003533160396968272,7430875756.39958
5419,5895,48957.0,ESO445-036,ESO445-036,13481619-3214217,,G,207.067474,-32.23938,69.4509114003,,0.016675,-20.4324,0.003549081295415819,11720874073.368809
5800,6276,49730.0,ESO384-023,ESO384-023,13583021-3414304,,G,209.625916,-34.241798,57.3434831877,,0.021094,-19.7114,0.0037923345529652422,6033370562.63691
6035,6511,49006.0,ESO445-042,ESO445-042,13484915-3109191,,G,207.204803,-31.155327000000003,73.4761498774,,0.020528,-19.9637,0.003952038112430668,7611670851.589085
6131,6607,,,ESO444-025,13240669-3140118,,G,201.027893,-31.669956,214.15299121599998,,0.028638,-22.3656,0.004011851109153477,69540850836.67654
6344,6820,46792.0,PGC046792,PGC046792,13233900-3706318,,G,200.912537,-37.10886,69.2664833272,,0.019353,-20.1956,0.004150173483693832,9424102477.974669
6543,7019,49140.0,ESO325-028,ESO325-028,13503717-3826317,,G,207.654877,-38.44215,98.92999002629999,,0.017313,-20.9296,0.004282963593195112,18528488829.023148
6727,7203,,,ESO325-040,13583967-3824336,,G,209.665314,-38.409344,120.675259196,,0.025301,-21.0641,0.004403380798456849,20972007289.75029
6933,7410,,,ESO383-008,13311993-3505180,,G,202.833069,-35.088341,175.43499053099998,,0.03715,-21.8736,0.004529621959251306,44201804560.7318
6944,7421,47635.0,ESO324-033,ESO324-033,13322732-3810059,,G,203.113861,-38.168312,55.092448215699996,,0.012271,-20.3135,0.004534221883733478,10505095382.546577
7150,7627,,,,13475293-3227455,,G,206.970551,-32.46265,187.517148447,,0.030184,-21.9162,0.004678838912501258,45970581780.81375
7179,7656,48182.0,ESO444-087,ESO444-087,13381198-3125013,,G,204.549957,-31.41703,61.1677790467,,0.015522,-20.3506,0.0046985403128034725,10870261705.259691
7317,7795,49506.0,ESO384-012,ESO384-012,13553387-3354004,,G,208.891159,-33.900127000000005,64.6903263277,,0.023182,-19.7832,0.004792749689150131,6445847106.979714
7326,7804,49681.0,ESO384-021,ESO384-021,13575745-3400321,,G,209.48941,-34.008923,61.1721576199,,0.017172,-20.1158,0.004799618511401633,8756287246.776037
7527,8006,49188.0,ESO445-058,ESO445-058,13511968-3108524,,G,207.832016,-31.1479,72.2099648284,,0.012544,-20.908,0.004929775625874101,18163519311.765182
7684,8163,,,,13252686-3347439,,G,201.361923,-33.79554,111.751342187,,0.027864,-20.9903,0.005016185522997502,19593859970.74528
7771,8250,,,,13344662-3418426,,G,203.694275,-34.311852,58.1306745484,,0.014486,-20.008,0.0050715505224245925,7928663748.785484
7772,8251,48166.0,ESO383-048,ESO383-048,13380150-3331100,,G,204.506271,-33.519459000000005,56.8887610992,,0.020965,-19.4151,0.005071720240676461,4592403084.845881
7800,8279,49063.0,ESO383-088,ESO383-088,13493346-3304088,,G,207.38945,-33.069134000000005,60.0952316765,,0.015348,-20.5562,0.005088138176072651,13136509977.029785
7876,8355,49162.0,ESO445-056,ESO445-056,13505373-3017212,,G,207.723892,-30.289244,79.89476108609999,,0.015072,-20.2706,0.005133775871252635,10098107739.687449
