,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
1915,2390,73150.0,IC1525,IC1525,23591579+4653213,,G,359.815826,46.889263,78.0266973288,,0.016710128355100003,-21.9512,0.0012408745166634467,47476642663.62261
3578,4053,,,,23431452+4958460,,G,355.810516,49.97946500000001,134.366845849,,0.021538,-21.9395,0.0023072136346465213,46967776419.022865
6801,7278,72796.0,PGC072796,PGC072796,23540114+4729225,,G,358.504761,47.489586,80.1019084678,,0.020076,-20.4592,0.0044533030850618825,12013788997.277905
9267,9746,,,73032,23572993+4726219,,G,359.374725,47.439426,201.231679112,,0.034168000000000004,-22.0375,0.006020297542050704,51404365158.24285
9297,9776,,,UGC12728,23401023+4758225,,G,355.042664,47.972942,171.393628848,,0.029460000000000007,-21.683000000000003,0.0060406402717151095,37085146587.5688
9601,10080,72719.0,PGC072719,PGC072719,23524740+4648138,,G,358.19751,46.803852,78.2865678966,,0.022966,-19.9964,0.0062389875037847905,7844404858.542122
12757,13240,72242.0,PGC072242,PGC072242,23435746+4524565,,G,355.989441,45.41571,80.4809824736,,0.028605,-19.7815,0.008288530581639914,6435762368.376451
14953,15437,72877.0,PGC072877,PGC072877,23552614+4716485,,G,358.858917,47.280163,81.9095673235,,0.026434,-19.6557,0.009660535041028172,5731654453.06776
18868,19353,,,73024,23572798+4752129,,G,359.366608,47.870258,202.93808032,,0.037297,-21.5798,0.0121526485610428,33722518376.264236
21770,22256,,,2317382,23565600+4826029,,G,359.2333680000001,48.434139,204.14503292400002,,0.044584,-21.1067,0.013937002984165852,21811222093.80961
23516,24004,,,72446,23475287+4928288,,G,356.970306,49.474678,144.46564348,,0.026121,-21.1828,0.0150093043622409,23394835725.60865
25064,25552,,,73020,23572375+4753285,,G,359.348969,47.891258,195.559361422,,0.040902,-21.1914,0.01593621501162552,23580879553.485214
25222,25710,,,,23510317+4643252,,G,357.7632450000001,46.723679,206.417898414,,0.024632,-22.5337,0.016031057071625512,81185786063.86339
29401,29891,,,2291490,23554063+4702577,,G,358.919312,47.04937,198.45383246,,0.03581,-20.9713,0.018588877073278397,19253957107.85302
31585,32075,,,215023,23594102+4650344,,G,359.920929,46.842907,198.37594067599997,,0.038942,-20.8134,0.019866034619452,16647920757.17162
32939,33429,,,,23512088+4904422,,G,357.837036,49.078411,87.55140435930002,,0.045813,-19.4213,0.02064981682886926,4618702613.170702
34168,34658,73195.0,UGC12888,UGC12888,23595399+4653064,,G,359.974976,46.88512,78.6521880805,,0.031068,-19.4336,0.021350839074359283,4671324099.86216
34291,34781,,,UGC12736,23411036+4748205,,G,355.293182,47.805702,200.91526859,,0.036378,-21.3161,0.02141841458055347,26450872371.73209
42433,42926,72686.0,PGC072686,PGC072686,23521144+4723434,,G,358.047699,47.395397,118.65612579100001,,0.026847000000000003,-19.8705,0.025164816717413892,6985540260.326953
51116,51609,72510.0,UGC12795,UGC12795,23491050+4633115,,G,357.293762,46.5532,83.3653311775,,0.018214,-20.6189,0.027443358111423385,13917460583.8691
83675,84168,,,73034,23573276+4751169,,G,359.386505,47.854713,228.51748512400002,,0.050754,-20.4646,0.03995325218851239,12073689420.030571
140230,140723,,,72067,23400311+4648340,,G,355.01297,46.809448,162.030806373,,0.036185,-20.832,0.06683314786641915,16935577086.915173
