,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
77,551,13419.0,NGC1395,NGC1395,03382978-2301396,,G,54.62411899999999,-23.027691,27.0560427051,,0.008662000000000001,-20.6903,5.308792923545391e-05,14863462782.069374
87,561,12838.0,NGC1332,NGC1332,03261732-2120073,,G,51.57217,-21.335369,26.191067118299998,,0.00532644266322,-20.9208,6.0967476455956565e-05,18378920534.72221
247,721,13255.0,NGC1367,NGC1367,03350135-2455591,,G,53.75563,-24.933109,24.617508633000003,,0.006405,-20.3462,0.0001509606468968316,10826298570.318834
369,843,13108.0,NGC1353,NGC1353,03320302-2049089,,G,53.0126,-20.81916,25.8278583676,,0.00402612201306,-20.2304,0.00022212289941068438,9731056631.209549
743,1217,13368.0,NGC1385,NGC1385,03372832-2430046,,G,54.368011,-24.501278,25.832181999499998,,0.00254331127166,-20.6308,0.0004669248138857416,14070839200.07495
871,1345,12737.0,NGC1325,NGC1325,03242556-2132385,,G,51.106522,-21.544041,26.009456753400002,,0.00464184232092,-20.2957,0.0005581261889916981,10334274663.357924
1874,2349,13457.0,NGC1401,NGC1401,03392185-2243289,,G,54.841072,-22.724716,25.4474053579,,0.01237,-18.8362,0.0012120175374071218,2694511242.6648264
3369,3844,,,,03332668-2342460,,G,53.361168000000006,-23.71279,29.3365538334,,0.012548,-16.526,0.002167753636366136,320922376.80484295
3448,3923,13324.0,NGC1377,NGC1377,03363907-2054081,,G,54.16281899999999,-20.90226,28.1333168315,,0.013489,-19.1411,0.002221117465184498,3568124504.163572
3708,4184,12671.0,NGC1315,NGC1315,03230660-2122307,,G,50.777531,-21.375206,26.044048280300004,,0.011652,-18.6715,0.002387305193917576,2315261233.243769
3965,4441,13445.0,NGC1403,NGC1403,03391087-2223189,,G,54.795315,-22.388611,62.8846960292,,0.014913,-20.1597,0.00256291185567331,9117588762.599028
4066,4542,13265.0,NGC1370,NGC1370,03351457-2022250,,G,53.810738,-20.373615,17.4140130924,,0.009998,-18.0855,0.0026299462771159805,1349584246.0197814
4227,4703,12884.0,IC1928,IC1928,03272918-2133367,,G,51.87162,-21.560204,62.310815243,,0.024534,-20.1958,0.002740219938167386,9425838621.704927
4590,5066,13184.0,IC1953,IC1953,,,G,53.4245,-21.47861,29.232656572399996,,0.00483735241868,-20.1293,0.002989258174215509,8865842257.615152
5026,5502,12708.0,NGC1319,NGC1319,03235645-2131398,,G,50.985237,-21.527729,58.948710267299994,,0.017471,-20.1694,0.0032932996751920585,9199410530.439608
6270,6746,13196.0,NGC1362,NGC1362,03335307-2016567,,G,53.471149,-20.282438,19.863406276,,0.008734,-17.9863,0.004103801529928472,1231742708.2782342
8240,8719,13172.0,ESO548-036,ESO548-036,03332769-2133530,,G,53.36541,-21.564735,25.628978642899998,,0.020029,-17.5617,0.005372727377118396,833067131.8750408
12742,13225,12846.0,NGC1331,NGC1331,03262835-2121203,,G,51.61813,-21.355663,20.8860729702,,0.010212,-17.6523,0.008276778539507526,905565774.153178
17382,17867,133983.0,PGC133983,PGC133983,03285067-2328386,,G,52.211128,-23.477394,95.9992155111,,0.0203744201872,-19.9213,0.011203701004073491,7320150329.6165905
18360,18845,,,ESO481-022,03204034-2255532,,G,50.168121,-22.931458,155.316352573,,0.028155,-21.1111,0.011829687764864795,21899792503.530632
19953,20438,13042.0,ESO548-029,ESO548-029,03304716-2103296,,G,52.69651,-21.058233,23.524329207199997,,0.011317,-17.8956,0.012825137140475574,1133026323.7458775
21356,21841,135072.0,PGC135072,PGC135072,03263135-2113003,,G,51.630653,-21.216776,29.3971623741,,0.017422999999999998,-17.3625,0.013679283278206058,693425806.0165682
23994,24482,,,ESO482-004,03323144-2223436,,G,53.131023,-22.395468,199.177858227,,0.049448,-21.0952,0.015296827098978448,21581419169.72247
29188,29678,,,135069,03291029-2201166,,G,52.292892,-22.021288,154.566178162,,0.03508,-20.9086,0.01845607872333176,18173559617.46151
31638,32128,,,ESO482-021,03384641-2459575,,G,54.693386,-24.999308,247.788154105,,0.051855,-21.9354,0.019897546645317142,46790749302.78232
