,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
1191,1665,,,IC2980,11573016-7341042,,G,179.37567099999995,-73.68450899999998,28.5227965734,,0.009763,-19.325,0.0007762978407069314,4226686142.656025
3160,3635,37295.0,ESO039-004,ESO039-004,,,G,178.426,-72.88079,77.1327449086,,0.015894697947299998,-21.0862,0.0020421456153378987,21403263588.30684
5089,5565,2801721.0,PGC2801721,PGC2801721,11521965-7229436,,G,178.081909,-72.49546099999998,101.83704111200001,,0.023132,-20.7185,0.0033424665276099237,15254571048.86326
7746,8225,37679.0,ESO064-004,ESO064-004,11582367-7223193,,G,179.598663,-72.38871,97.821184288,,0.028604,-20.6052,0.005054035622649919,13742951062.115507
12557,13038,241336.0,PGC241336,PGC241336,11263944-7608380,,G,171.664368,-76.143913,82.3373978889,,0.021364,-20.392,0.008162382218766917,11292757442.094149
12866,13349,233604.0,PGC233604,PGC233604,11213529-7807387,,G,170.397049,-78.127434,75.6713106379,,0.018415,-19.8337,0.008367214915143476,6752739557.641396
14034,14518,37287.0,ESO039-003,ESO039-003,11534082-7352160,,G,178.420105,-73.871117,99.59991098459999,,0.035381,-20.1523,0.009078547317154316,9055657741.53178
14197,14681,,,,11241452-7709388,,G,171.060501,-77.160782,77.2604354592,,0.018846,-20.6138,0.00917700771958904,13852239763.771898
14291,14775,,,,11271898-7221357,,G,171.829117,-72.35991700000002,102.52538846200001,,0.030281,-19.9542,0.009234976065805893,7545360600.759888
15525,16009,262454.0,PGC262454,PGC262454,11510489-7231315,,G,177.770401,-72.525429,100.25667006799999,,0.031262,-19.5766,0.010035827872226996,5328929810.383668
20947,21432,,,,11210666-7825026,,G,170.27778600000005,-78.417404,168.682604945,,0.028828,-21.5924,0.013433465884434304,34116148804.05755
28030,28518,,,,11450931-7150266,,G,176.288803,-71.840744,104.28028910799999,,0.033338,-18.613,0.017775189737194146,2193814991.8979125
28342,28830,,,246147,11265409-7509020,,G,171.72538799999995,-75.15055799999998,177.45989460200005,,0.045566,-21.1515,0.017953663151445948,22730029532.909782
29979,30469,,,249847,11220172-7429250,,G,170.50718700000004,-74.49028,175.958155712,,0.05937000000000001,-20.872,0.018927867389253804,17571142465.951004
30925,31415,,,231962,11422757-7844177,,G,175.614899,-78.738258,176.586068601,,0.036282,-20.6808,0.019477192620572185,14733977421.432146
33005,33495,35599.0,ESO063-015,ESO063-015,11322520-7232223,,G,173.10501100000005,-72.539528,103.227223745,,0.024205,-20.02,0.020687041837527183,8016780633.876789
33645,34135,,,ESO063-016,11361536-7048269,,G,174.06401100000005,-70.807487,109.12387483100001,,0.033264,-20.2346,0.021061279684533037,9768772597.700184
34232,34722,261421.0,PGC261421,PGC261421,11392403-7239138,,G,174.850128,-72.653839,101.9880197,,0.028605,-19.7467,0.02138675449889644,6232754199.472099
42983,43476,96507.0,PGC096507,PGC096507,11274778-7043391,,G,171.949112,-70.727547,148.963710573,,0.03429,-20.2274,0.025308228646730574,9704205840.904716
44697,45190,252703.0,PGC252703,PGC252703,11295356-7357510,,G,172.473175,-73.96418800000002,94.1208010856,,0.021745,-19.9254,0.025794217309580817,7347845229.198511
44698,45191,252764.0,PGC252764,PGC252764,11413950-7357111,,G,175.414597,-73.953094,119.24117726700001,,0.027780000000000003,-20.4901,0.025794674112162585,12360612736.524063
44706,45199,261898.0,PGC261898,PGC261898,11531003-7235530,,G,178.291824,-72.598076,134.981888567,,0.031074,-19.5614,0.02579706411366556,5254846084.769576
44707,45200,262240.0,PGC262240,PGC262240,11595483-7233161,,G,179.97847,-72.554482,158.771306326,,0.036515,-20.2819,0.02579744120673429,10203754475.623379
49806,50299,36745.0,ESO039-001,ESO039-001,11465167-7426165,,G,176.71533200000005,-74.437943,218.244113791,,0.04954,-20.9417,0.0270682797042518,18736134699.13973
49824,50317,37000.0,ESO039-002,ESO039-002,11502062-7522149,,G,177.585953,-75.370811,20.8342831991,,0.0056277928139,-18.6239,0.0270731142597187,2215950220.0027056
51280,51773,4668279.0,HIPASSJ1126-76,HIPASSJ1126-76,11262265-7700121,,G,171.594391,-77.003365,124.628109813,,0.028547000000000006,-20.3041,0.027495878494696868,10414537785.49046
51328,51821,4683759.0,6dFJ1126354-721346,6dFJ1126354-721346,11263538-7213460,,G,171.64743,-72.229469,214.005659235,,0.048556,-20.6311,0.027513964701593417,14074727653.810472
101351,101844,,,228862,11235071-7958351,,G,170.961304,-79.976425,248.462675023,,0.056021,-20.2323,0.04917958822516221,9748100545.296677
101400,101893,,,230129,11270037-7928333,,G,171.751556,-79.47592900000002,239.082793019,,0.054026,-21.0237,0.04920684421064075,20205983778.55553
101543,102036,,,234539,11504297-7750598,,G,177.679077,-77.84994499999998,185.645525392,,0.042714,-20.9314,0.049291612521919104,18559231969.87773
101554,102047,,,234945,11394632-7743416,,G,174.943024,-77.728249,229.983769977,,0.052087,-20.7865,0.04929827798634945,16240522592.851925
101900,102393,,,252603,11263633-7358530,,G,171.651398,-73.981415,221.48194445400003,,0.050217000000000005,-20.5987,0.049487467167900576,13660921633.727943
134051,134544,,,6dFJ1151449-745853,11514485-7458528,,G,177.93688999999995,-74.981339,121.153438774,,0.028103,-19.9297,0.06362551613400272,7377003678.213736
146834,147327,,,238991,11425032-7645132,,G,175.709686,-76.75367,236.42091949,,0.053448,-20.3194,0.06982994955815343,10562336516.160849
147296,147789,,,265582,11452690-7205442,,G,176.362091,-72.095619,241.76537312099998,,0.054588,-20.703000000000007,0.07003681273944573,15038343479.613672
180794,181287,,,2801722,11524406-7239179,,G,178.183624,-72.654976,273.595022114,,0.061391,-21.0295,0.08309145635787693,20314212914.18737
181238,181731,,,3073978,11402894-7159262,,G,175.12059,-71.990623,213.49004983400002,,0.048453,-19.6999,0.08323070535785622,5969803001.34062
181239,181732,,,3073979,11403060-7205212,,G,175.127533,-72.089233,166.68149509999995,,0.038414,-19.6304,0.08323091229981228,5599638618.087567
181240,181733,,,3073980,11405436-7104403,,G,175.226501,-71.077888,129.002854121,,0.029876,-19.79,0.0832311520111358,6486344335.482401
181241,181734,,,3074007,11515344-7220128,,G,177.972687,-72.336899,218.38702724400002,,0.049528,-20.6671,0.08323168969691433,14549229684.023603
181244,181737,,,3074018,11525025-7122499,,G,178.209412,-71.380554,187.03772541200001,,0.042778,-20.5906,0.08323362900619126,13559385246.647268
181249,181742,,,3074044,11561181-7124513,,G,179.049225,-71.414268,214.106949255,,0.048588,-20.3242,0.083236049845501,10609135591.365831
