Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.143,7060411411.842443,1.691985103330678,1.0005581508214405,1.1772210089950255,1.2613738525143283,0.35239031348262745
Sum Ranks,0.143,7060411411.842443,1.691985103330678,1.0005581508214405,1.1772210089950255,1.2613738525143283,0.35239031348262745
Sum Ranks,0.143,7060411411.842443,1.691985103330678,1.0005581508214405,1.1772210089950255,1.2613738525143283,0.35239031348262745
Sum Ranks,0.143,7060411411.842443,1.691985103330678,1.0005581508214405,1.1772210089950255,1.2613738525143283,0.35239031348262745
Top 5 Avg,0.233,0.03284889609147185,-1.1228963056871972,0.5801773138793087,-0.05766066984371432,0.30525216772148234,0.6317628651954428
Top 5 Avg,0.233,0.03284889609147185,-1.1228963056871972,0.5801773138793087,-0.05766066984371432,0.30525216772148234,0.6317628651954428
Top 5 Avg,0.233,0.03284889609147185,-1.1228963056871972,0.5801773138793087,-0.05766066984371432,0.30525216772148234,0.6317628651954428
Top 5 Avg,0.233,0.03284889609147185,-1.1228963056871972,0.5801773138793087,-0.05766066984371432,0.30525216772148234,0.6317628651954428
Top 5 Avg,0.233,0.03284889609147185,-1.1228963056871972,0.5801773138793087,-0.05766066984371432,0.30525216772148234,0.6317628651954428
Top 5 Avg,0.233,0.03284889609147185,-1.1228963056871972,0.5801773138793087,-0.05766066984371432,0.30525216772148234,0.6317628651954428
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
Top 5 Avg,0.25,0.026420164630984354,-0.574328624885891,0.5335887174425231,0.11077458020484854,1.1060259882837342,0.5598758559674386
