Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.838,6.238348670662885,1.8585718926871717,0.33160088342543137,0.1218810547376199,-0.1437256564192304,0.36196978404355695
Top 5 Avg,0.838,6.238348670662885,1.8585718926871717,0.33160088342543137,0.1218810547376199,-0.1437256564192304,0.36196978404355695
Top 5 Avg,0.838,6.238348670662885,1.8585718926871717,0.33160088342543137,0.1218810547376199,-0.1437256564192304,0.36196978404355695
Top 5 Avg,0.838,6.238348670662885,1.8585718926871717,0.33160088342543137,0.1218810547376199,-0.1437256564192304,0.36196978404355695
Top 5 Avg,0.838,6.238348670662885,1.8585718926871717,0.33160088342543137,0.1218810547376199,-0.1437256564192304,0.36196978404355695
Top 5 Avg,0.838,6.238348670662885,1.8585718926871717,0.33160088342543137,0.1218810547376199,-0.1437256564192304,0.36196978404355695
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
Top 5 Avg,0.921,0.051583766250510435,0.8613530300294965,0.21805725689101418,0.07777576838488631,0.7995015402047723,0.36208979133566455
