Max Rank,Sum Ranks,Top 5 Avg,Max Rank2,Sum Ranks2,Max Rank3,Sum Ranks3,Max Rank4,Sum Ranks4,Max Rank5,Sum Ranks5,Max Rank6,Sum Ranks6,Max Rank7,Sum Ranks7,Max Rank8,Sum Ranks8,Max Rank9,Sum Ranks9,Max Rank10,Sum Ranks10,Max Rank11,Sum Ranks11,Max Rank12,Sum Ranks12,Max Rank13,Sum Ranks13,Max Rank14,Sum Ranks14,Max Rank15,Sum Ranks15,Max Rank16,Sum Ranks16,Max Rank17,Sum Ranks17,Max Rank18,Sum Ranks18,Max Rank19,Sum Ranks19,Max Rank20,Sum Ranks20,Max Rank21,Sum Ranks21,Max Rank22,Sum Ranks22,Max Rank23,Sum Ranks23,Max Rank24,Sum Ranks24,Max Rank25,Sum Ranks25,Max Rank26,Sum Ranks26,Max Rank27,Sum Ranks27,Max Rank28,Sum Ranks28,Top 5 Avg2,Top 5 Avg3,Top 5 Avg4,Top 5 Avg5,Top 5 Avg6,Top 5 Avg7,Top 5 Avg8,Top 5 Avg9,Top 5 Avg10,Top 5 Avg11,Top 5 Avg12,Top 5 Avg13,Top 5 Avg14,Top 5 Avg15,Top 5 Avg16,Top 5 Avg17,Top 5 Avg18,Top 5 Avg19,Top 5 Avg20,Top 5 Avg21,Top 5 Avg22,Top 5 Avg23,Top 5 Avg24,Top 5 Avg25,Top 5 Avg26,Top 5 Avg27,Top 5 Avg28
2936916.162270759,1962023229.6305861,2342776.4711773135,8.959418230711462e+16,5.0580577682364166e+17,165024533533135.34,964658624296999.8,4.419364372090428e+27,1.239894706108336e+28,1.3103096742973802e+17,6.02528720191162e+17,389.2368063504738,62771.521730764674,1330119087348372.0,1.134491036790866e+17,8625476544207.204,752883456841417.0,2334156.8092928124,1340932287.374381,23145.788387578712,4241595.135870756,9.779163872822712e+18,4.0514143985932575e+19,23206.771690039248,13247843.158966167,12398607845209.023,1121460012532072.2,231.87502455619614,42014.29129838355,9.115576121449058e+16,3.920064270017704e+17,925338645447920.4,7.616525013273795e+16,4306098.159926826,3225738185.7550516,31037917386.10984,880912056764.6577,3.112281516548222e-06,0.0016401705359573445,1816351.1372753226,29376078.881521843,2.9546654086604323e+51,6.122058028908236e+51,504640820906569.0,4493643506813708.5,1233621.543099595,126165944.97235468,0.005202835932986944,0.017553977345217003,0.009952210557248776,59.17754525099292,374634.4972800325,6007808.532261208,3698.147244251912,59261.21466274261,0.009952210557248776,59.17754525099292,3.986190127909666e+16,83358438456613.28,1.376527065797913e+27,4.514748622184437e+16,280.1286806583541,876229183317646.8,5607670189040.0205,1948289.8940143585,17356.56720835399,2.928915048995772e+18,19065.64699991131,8450011873535.092,173.77848818604014,2.7305237110609884e+16,575506959530805.8,3776417.1218345063,13492349374.955017,2.829239456049926e-06,1460875.462420985,1.0767808276528358e+51,320768344227108.75,961605.5414648959,0.002625231537445137,0.009914227780481778,312734.9435344031,3086.978988450951,0.009914227780481778
41282750.228180274,1755440364.2876458,12897190.235324865,6.445079669786062e+16,2.0590835756155363e+17,64726449848663.29,346798552235188.94,3.32393506999182e+27,8.586939070855064e+27,2.085975840052833e+18,3.7937854574695444e+18,818.5487231059241,71898.64485893829,2.6047676286421392e+17,3.9898735305756826e+17,1704265466402319.0,2635448355267693.0,27127649.203208763,1146746075.5095632,77480.29692402224,4734950.31953478,1.46597226106914e+20,2.5964615545189568e+20,270107.6472171798,11462569.80986546,2593544506749152.0,3973700802512994.0,784.9227121254168,47535.762347845506,1.40698506974653e+18,2.533248405393506e+18,1.7116403847882064e+17,2.6461151422333955e+17,62823927.485789366,2972061452.1073303,123351362537.10333,807340416164.8262,2.5529864641543823e-06,0.0015182215555701846,2095792.54016715,8030315.215944863,3.6689961249328947e+53,3.6838720313012853e+53,478272248004614.5,3259191672683363.0,1509735.9261765569,83271526.01038736,5.546137736031449,5.684808325505714,0.010108177814739522,46.48533320370602,299315.5743876682,1965328.282420494,3004.8719860749657,19660.969577235617,0.010108177814739522,46.48533320370602,3.5197660141417588e+16,44440785112591.16,1.6232878832102544e+27,6.947731866394401e+17,678.5382800537778,5.7175076055751064e+16,376454921609085.1,9109647.541465083,49200.148220059964,4.772702671262081e+19,90384.16272911397,568010551463825.5,497.0407047879988,4.646723823763912e+17,3.789436170164168e+16,18978167.297131754,30547287446.313667,2.39917689808926e-06,1228385.041639839,7.363618009517382e+52,309926099997311.06,1299214.4552209561,1.1368989654600212,0.010052548989492241,227517.84202227724,2274.1709085255134,0.010052548989492241
6296611.29841889,1562112050.4869506,4318453.513131445,4.644362008534462e+16,2.1670598475649306e+17,154128946045089.28,484516848873528.9,1.3681149386871704e+27,5.674018250498138e+27,1.617655166797728e+17,5.705097193545453e+17,2700.8349004760184,68421.3753594181,4920916582822947.0,1.080939879990785e+17,39647313843376.43,674889395132277.2,5090291.062519616,978457709.0198505,219079.496827451,4393452.370821873,1.7400116285565426e+19,4.332717300236285e+19,50731.14329342123,9462991.454188209,49043113887203.5,1052530340650119.2,2183.4023260553395,43079.61690111115,1.5594056069855248e+17,4.0227679096259226e+17,3978155314627429.0,6.9339812684320056e+16,7859352.941255666,2817338311.5409846,45339850412.9065,765319425538.8339,6.507500006974246e-06,0.001444695429308049,1662728.8112786475,9590585.428343065,5.615359696213873e+56,5.615455835026101e+56,760353342402548.4,2978829168771319.5,1559610.8798669418,67254737.61129083,0.012030847012787196,0.024490142841257778,0.009792542388889772,44.705224464673236,523101.59949074767,2386790.6945536206,5087.731791364144,23081.711751541738,0.009792542388889772,44.705224464673236,3.2782632263165684e+16,69101586555182.52,9.274375168386557e+26,5.259935853816057e+16,1703.824119848925,2732965608957501.0,19684601413828.86,3335913.221203252,123627.64668473587,4.617365236085459e+18,32563.846868021228,27230892102428.57,1231.3963680173524,4.1437387592392856e+16,2002690637083347.2,6683616.560916458,17385720575.638817,5.10936965337642e-06,1249372.3707303521,1.123089916351888e+56,309544953826069.0,1111847.8629284617,0.004795366130798737,0.009774216457338222,276921.4043061554,2675.7319275510517,0.009774216457338222
2066114.1042190082,191639517.25586724,1415213.6141821756,1.6160061604316138e-17,2.1341104742429288e-17,2.1757083011367108e-19,2.7162444184974993e-19,1.8198810886332205e-07,1.8611016544281973e-07,912747461333402.6,3.1087439627905496e+16,350.13813469001934,10525.043026042073,771604899468725.8,1.1545123365954054e+16,4268827491652.714,68299099840054.76,1462740.528796957,112337499.80557173,20546.855082848513,671131.2373731598,5.164539451201025e+16,1.833097591185215e+18,14466.112557360071,1103579.7045023225,7629767568742.187,113528123014510.17,204.79689559991354,6637.885985365412,510678919216223.3,1.794928272379019e+16,431710163890226.5,6942473369009724.0,3692810.3598742164,367339239.82601625,416230862.19431067,60732660105.4376,4.38326426686469e-06,0.00029004690772141135,6.511956382097339e-27,7.948082903912963e-27,1.2546577215114813e+35,1.276949089168661e+35,0.0319244611617013,0.03717939788405225,42448.60195465236,288273.7069134139,2.7360995548966374e-120,2.7360995548966965e-120,0.00910387368865652,4.630954886024002,2.73262221140115e-26,2.781633048441976e-26,2.7355248776992523e-28,2.783658339606031e-28,0.00910387368865652,4.630954886024002,4.2682205979708184e-18,5.432488538570885e-20,3.722203131932733e-08,467986606866218.8,201.85354416436113,338302649963404.4,2190293309813.464,1007643.4405814916,14334.071722708512,3.4199401397051656e+16,9950.100666366441,3349899064887.5522,142.71249458399268,336576342004491.3,221392660179871.75,2279443.983766769,323794021.672801,3.973372539771004e-06,1.5896165149509952e-27,2.552890916669459e+34,0.007433021644252695,21745.291272155082,5.472199109793393e-121,0.008914476695849407,5.563266039796129e-27,5.567316622751362e-29,0.008914476695849407
31970140.623359118,1354070090.4768822,13923485.865001995,7.976312324120931e+16,3.91328047922905e+17,327803817508621.94,976751587519160.6,7.010712393967056e+27,1.5872027046953225e+28,9.403472779632854e+16,3.53177671862994e+17,4221.256663537472,79689.20077832842,1.2531932125575365e+17,2.7092538627131267e+17,1022089891477356.8,2161657827165469.0,26195812.935239278,972835838.2245839,347492.4458867924,5960650.561695823,7.740907545968007e+18,2.7093951099203494e+19,260744.769703616,9594835.060401624,1247388567059428.0,2691128743180755.0,3458.829012120914,59164.10507346179,7.705052560728918e+16,2.6780275161903264e+17,1.0268461235319861e+17,2.1755109138727526e+17,39017299.97859373,2121549109.6995072,2410077782.10997,440194102068.6708,1.5510126024563156e-05,0.0015002721498398206,2708126.664039481,13646775.11504887,2.109501879473578e+52,2.3469476258977384e+52,4221017441518099.0,7775804323524142.0,8084441.640074774,107117964.98750661,0.6260823940562087,0.9577111900893962,0.009940123761404135,28.824190242289664,546175.352329126,3724311.0274380064,5359.21714481362,36657.748295722144,0.009940123761404135,28.824190242289664,5.427911463183292e+16,142088654409910.62,2.6508611999463057e+27,2.4193305753367184e+16,2100.8638109589847,3.357929741122114e+16,286624307848105.94,12492766.724503908,192193.0098506741,2.0729067473249736e+18,124466.5664542362,334383465682515.1,1915.6282813082794,2.063500090192811e+16,2.878152899863336e+16,16219813.618308306,1062998516.1619341,1.1113934013430006e-05,1451591.3537112554,4.50823399703633e+51,1080392906745798.6,4061158.1489393255,0.18833354207746028,0.009929505211677337,365019.5959948661,3592.3610677919014,0.009929505211677337
5750333.372868358,1749125756.1688852,4212268.19841568,1.5960330762792668e+16,6.318078240864512e+16,73949057111095.98,272229154779618.25,3.84558032756548e+26,1.1320172910568768e+27,5857619719218264.0,3.5530013877883795e+17,1120.1472184202837,83332.63613402951,4602191563282963.0,1.4795456732488864e+17,33066333899123.59,967020476538839.2,4142323.050645928,1137395736.6133082,80901.32490948148,5503380.274292948,4.1549259253009766e+17,2.3480693718444392e+19,41315.62989587965,11194123.322967365,45902369519173.32,1460898420940496.5,806.9117635635007,54408.73257876338,3868324534025565.0,2.304232463171833e+17,3315245040578564.5,9.79207339382039e+16,7982557.974073855,3002328054.172495,4536922339.153796,593407694219.8961,4.243977169190195e-06,0.001371222643713842,821490.9002937344,4065021.3628627444,3.8998484728040955e+50,7.049414100738608e+50,1386174821942446.5,3616916730741297.0,2310038.8740885206,67628421.93297678,2.587521036620255,3.6094065136435574,0.009909645021626296,35.5664222956772,579826.0169712914,1950401.6903692863,5742.918338747377,19264.295995950943,0.009909645021626296,35.5664222956772,9389535555849580.0,43150587770111.19,1.7430023442719568e+26,2805875380575360.0,801.0327630006509,2378824537631061.0,18497609419086.32,3525073.423391659,54920.8763339908,2.0592518130473677e+17,35042.56011871972,23692260217927.055,548.4200874219287,1994117011644194.8,1858133307266410.8,5499606.882285816,1690317117.1092613,3.5548618639598364e-06,607480.8560651271,1.1105367271158962e+50,532839067727804.7,1576311.9003391818,0.7218418619040541,0.009877308745821555,312857.2823332154,3092.123870768481,0.009877308745821555
8144407.303730586,1400630087.42081,4557467.647400019,3.1096509501510132e+16,7.470892141814888e+16,119153763863320.5,322772072383944.56,8.167923158705379e+26,1.5489616973077727e+27,9.963510170904392e+16,3.9636767478395904e+17,4190.557223630947,61066.57174401708,8241155517326002.0,1.056738397906529e+17,66331370329060.125,701035888777205.2,6490118.629386475,911172022.423204,353288.04923774983,4194035.6530842152,8.669652592435248e+18,2.810577512551572e+19,65552.66380287206,9010122.910465077,83238801603465.39,1049002307313955.4,3574.396109871066,41800.70539143296,8.021873261046629e+16,2.7213444796757062e+17,6567215385479193.0,7.05792752037826e+16,10220363.311807532,2418068391.9059343,34366676040.85615,584904093961.3792,1.3052044248882127e-05,0.0010609773103121916,1183890.7937654727,4200670.317931247,1.4413876017743274e+50,5.516176090819453e+50,2813638370319681.5,4217078013086724.0,2030288.848928966,48701416.810293496,136.66350910467645,136.71721429097948,0.009997916258885532,30.800351795212173,851052.8906695034,2081663.4286588088,8518.983273173613,20701.74672100276,0.009997916258885532,30.800351795212173,1.1403512894566966e+16,55835368145526.26,2.4804752102081266e+26,2.1693176858315652e+16,2164.427697956684,3335520461558637.5,26976771599917.508,3717657.6714685736,176464.7170073564,1.8567384106298506e+18,37464.84993473371,33526210534902.113,1783.9075136755546,1.7247985027163632e+16,2683612786637216.5,6056241.580492472,8205190387.211418,9.679819407628513e-06,621850.1457290795,7.793009218577466e+49,734276517977693.1,921020.6475994319,27.343442066333022,0.009920897980325083,364131.27724909614,3625.147917394769,0.009920897980325083
13399061.901189182,1598968614.7551112,7542968.231182422,2.7499423538030904e+16,1.49159857076623e+17,270836603470000.78,566068245977433.0,2.522016959241224e+27,5.455923478028909e+27,3.8035467348316186e+17,7.194631440861642e+17,2106.2029677487167,71180.33566910536,2.7231629836210704e+16,1.683861818364092e+17,179534859831899.5,1136789116253479.0,8975014.978517238,1123464079.768805,190744.9161845277,5000315.073150832,2.5884225939076923e+19,4.9903946878617166e+19,88338.40334852632,11187756.618091328,268032834047300.25,1680037110812606.0,1932.451721441438,50044.05628646516,2.547707381930553e+17,4.9369322619338835e+17,1.8240402758922756e+16,1.1395815356882477e+17,21428695.26452747,2492620224.418282,19014072781.50152,621083657168.8701,3.9157961869830065e-06,0.0013748926162792368,1333632.8306929735,7369056.151998987,8.95854199742811e+53,8.967014310141316e+53,4206813443170932.5,6059671592698205.0,2498084.349835008,85416337.59812991,15.166989898887774,15.201487555330138,0.010029977974785031,40.75072535111404,1029046.973717924,2778678.943484446,10333.973861649434,27739.608033470784,0.010029977974785031,40.75072535111404,2.0068108577835904e+16,90175662419677.73,9.025184167448094e+26,8.131392535938464e+16,1222.3833937707554,1.172114540591478e+16,74182537236296.45,5322175.09636592,96399.4232511901,5.532652380259852e+18,53233.895896185095,116859094698042.42,975.8993164457554,5.4495399820453624e+16,7443516064415888.0,11677956.738284558,5313811563.694416,3.436187579756036e-06,942293.7958262842,1.7927246137136728e+53,999676011041223.8,1389302.1784119238,3.0402255703967542,0.009970181990977031,410591.4417452353,4103.9511897335815,0.009970181990977031
7806213.731060722,1559893599.5092454,5836022.075137695,2.8704299793032404e+16,1.785062064706092e+17,56697717587663.05,329090612804552.3,1.2859462110673175e+27,5.976499072077984e+27,6790795410212366.0,3.458110573291512e+17,1006.6183500417823,75082.82826151255,8698905932421849.0,1.5364720564558125e+17,60936972815000.94,1006687237069657.2,5450250.591303069,1035473749.5983324,70048.79475567328,4935557.050144598,4.725594699301772e+17,2.3262463328851153e+19,54683.547288951886,10289210.72390028,87278011524238.0,1533017967045143.0,702.8147635391804,49246.21437185258,4741291742072111.0,2.308366932981246e+17,6073522815961848.0,1.0090744283177899e+17,11180581.845582971,2596401717.9515696,1838650643.187535,549256536880.4532,4.350769411640996e-06,0.0011531138198665322,1334672.6475455328,6905328.69204147,4.099384386607499e+51,7.327764167269727e+51,318362893127917.6,2040525673472223.8,741401.4422297841,56543220.950423494,4.510356485824351,6.048647057680649,0.010034049132192769,31.728131305667674,335866.57561169233,1730535.1746855383,3364.1447345967085,17182.225961406017,0.010034049132192769,31.728131305667674,2.4982109939259624e+16,45531675184106.85,9.14685833968282e+26,4450925885743928.0,758.2018517154162,5365403794055390.0,36047378833384.91,3988823.083302714,51780.54133303986,3.182270219622536e+17,40023.24042479593,53821697763165.33,519.573858109122,3171685313029775.0,3592826122515363.5,8870012.024153937,1559144636.9159489,3.1484898362726684e-06,923725.2649060081,1.3718907115602683e+51,229289256449149.3,708028.88460592,1.209711180690978,0.009966917691020701,240198.44391631684,2387.1642022975166,0.009966917691020701
10605785.805929326,2102833835.5878136,6035882.64629529,1.2198503000651406e+17,6.573702341957226e+17,134185912148198.84,819638781913180.6,5.22283778466588e+27,1.8106147947819521e+28,1.4385771009493221e+17,7.828684258192353e+17,3228.4477470870934,80694.9822273163,1.1719666251149672e+16,1.2794738776005259e+17,112482692561251.97,972529951076515.5,10112878.603788769,1558549934.6468523,305835.0009217511,6205514.9688218525,1.150447236059638e+19,5.999033328350737e+19,101791.92125559131,15385528.079045473,117965160160421.16,1269144304166572.5,3078.404631433746,61812.83167590105,1.064633979419047e+17,5.735362138095779e+17,1.1174991108017352e+16,9.797470925949659e+16,11122717.573126068,2988925626.0886545,39774140033.16651,1207597700617.503,8.557342826206826e-06,0.002385585132930536,2849092.4204803873,33963162.77119216,3.114695938016861e+51,1.122636126416195e+52,237720236251770.06,2555428643376185.0,2648064.673969183,120548051.67388244,1969.658695127994,1969.6599210681816,0.010073123768515371,85.61581589642822,319313.0561519685,4815012.160339301,3134.0572299426003,47389.11562602005,0.010073123768515371,85.61581589642822,5.628186784197665e+16,65918226442417.44,2.294804112941091e+27,6.602305636519883e+16,2227.8279823571734,4934739651485783.0,45051791707149.89,5458234.435085135,194640.35546183347,5.112959636314343e+18,55006.46875487485,49717968070429.055,1962.0843282317032,4.73076527441033e+16,4472163037921437.5,7211605.201810325,25466841339.136024,7.335500715936795e-06,1696156.4606680344,1.6922438200332096e+51,143125743770074.44,1560026.2720235265,393.9319307270365,0.010007902134527243,217471.615199959,2146.107262084096,0.010007902134527243
