,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
4184,4660,,,13424,03384056+0958119,,G,54.669033,9.969983,155.628225559,,0.03199,-21.8134,0.0027145068835805327,41817686262.786125,1257.0
9065,9553,,,1367496,,,G,54.4624,9.60833,172.988641498,,0.0384865092433,-20.1401,0.0058913266061680685,8954472354.898949,1257.0
13035,13548,,,3097242,03301273+0835050,,G,52.553051,8.584742,166.99450945700002,,0.026657,-21.3905,0.008492074768586566,28326962002.808964,1257.0
13440,13954,,,,03394668+1034482,,G,54.944515,10.58006,95.1883372943,,0.017221,-20.6289,0.008743432773373682,14046237261.128431,1257.0
13943,14458,,,,03353810+1102448,,G,53.908775,11.045801,149.117067304,,0.032325,-21.1786,0.009043816495424116,23304511293.19329,1257.0
16827,17375,,,3097244,03301765+0838540,,G,52.573547,8.648356,154.99095338799998,,0.039401,-20.8005,0.010894611021304032,16451291587.709732,1257.0
17349,17905,,,,03274631+0906547,,G,51.942989,9.115202,108.318286377,,0.02289,-21.0645,0.011223651003099829,20979735086.192448,1257.0
18134,18704,,,1379150,,,G,54.7485,10.41192,160.160703058,,0.0355049277525,-19.5028,0.011743018161935426,4978746338.2019,1257.0
20145,20752,,,12841,03262510+0940135,,G,51.604614,9.670436,167.75222462600001,,0.032344,-20.9393,0.013027530732752424,18694764557.27533,1257.0
23879,24584,,,,03364741+0923258,,G,54.197552,9.390518,167.470895776,,0.031767000000000004,-20.7607,0.015359644289739469,15859153403.301594,1257.0
24414,25135,,,1362521,,,G,54.6954,9.26886,102.01466378100001,,0.0228295314148,-18.5833,0.015693758754362973,2134617177.8934894,1257.0
25210,25955,,,1371634,,,G,54.8255,9.89808,167.99727359,,0.0372989586495,-19.3765,0.016184372690940252,4432002533.708511,1257.0
26148,26927,,,90680,03273463+0859427,,G,51.894318,8.995206,170.14454103,,0.063821,-19.9961,0.016787124911871617,7842237668.801341,1257.0
28411,29299,,,1371477,,,G,54.045,9.88778,169.676828898,,0.0376347488174,-19.5981,0.01822920204757842,5435506256.867563,1257.0
28986,29898,,,,03380860+1007068,,G,54.535854,10.118572,153.097989812,,0.025387,-20.7718,0.01859217098332931,16022120733.256397,1257.0
31331,32363,,,,03301150+0847360,,G,52.547947,8.79335,175.298526947,,0.046898,-20.7379,0.02003314486603033,15529590358.327024,1257.0
33618,34788,,,,03375476+1002350,,G,54.478176,10.043073,144.862001879,,0.030996,-20.5148,0.021423193978422912,12645033958.826284,1257.0
35397,36669,,,1345376,03383809+0821589,,G,54.65871,8.36637,136.764868184,,0.020578,-20.5189,0.02251891812947819,12692874908.797222,1257.0
36137,37449,,,1368327,03262233+0940045,,G,51.593063,9.667939,176.86366416299995,,0.058326,-20.6492,0.022962175419016368,14311330129.134588,1257.0
36656,38004,,,,03354482+1105000,,G,53.93679,11.083335,147.840830887,,0.029356,-20.973000000000006,0.0232760791780057,19284127756.394333,1257.0
37617,39032,,,,03384984+0949299,,G,54.707687,9.824989,151.359653649,,0.035342,-20.3991,0.023861931072309567,11366846624.554005,1257.0
