,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
4640,5116,,,UGC09667,15021965+0538479,,G,225.581909,5.646642,164.876603774,,0.01968,-22.2088,0.0030231542709705053,60189398050.34882,1352.0
6566,7045,53470.0,UGC09625,UGC09625,14574486+0637371,,G,224.43692,6.6269860000000005,92.1373678035,,0.022482,-20.9472,0.004299787190143528,18831286899.113014,1352.0
10031,10525,,,NGC5790,14573582+0817068,,G,224.399261,8.28523,166.813048041,,0.023919,-21.6882,0.006534061237229039,37263187347.265434,1352.0
11532,12034,,,,14584134+0759060,,G,224.672287,7.9850210000000015,169.876619718,,0.026678,-18.1497,0.0075048810260456705,1431792225.7995026,1352.0
12587,13096,,,IC1089,15072597+0706596,,G,226.858246,7.116557000000001,136.059635523,,0.029968,-21.0166,0.008197135531653053,20074281040.90123,1352.0
13247,13761,,,NGC5769,14524154+0755545,,G,223.173111,7.931828,160.862426037,,0.028616000000000006,-21.3903,0.008625289221501761,28321744464.141876,1352.0
14840,15360,,,IC1082,14585247+0700264,,G,224.718628,7.00736,165.969390806,,0.028597000000000008,-21.4241,0.009613181998611695,29217294627.134117,1352.0
16949,17498,,,53458,14573090+0823268,,G,224.378754,8.390783,167.339315159,,0.031926,-20.92,0.010970335762411196,18365383433.483585,1352.0
17091,17642,,,53501,14582653+0812300,,G,224.61055,8.208350999999999,172.034263092,,0.030368,-21.0221,0.0110579553501994,20176229069.91553,1352.0
17262,17814,,,53416,14563983+0627381,,G,224.16597,6.460587,203.00690577700001,,0.0460103930052,-20.9976,0.011163901216657895,19726044113.28749,1352.0
19764,20362,,,200322,14590352+0841204,,G,224.764694,8.689025,209.40489728900002,,0.046024,-21.1869,0.01277260710885149,23483347244.768875,1352.0
21524,22161,,,53781,15041181+0727232,,G,226.049225,7.456447,246.644105478,,0.037207,-21.9434,0.013873395089748957,47136789578.55787,1352.0
22740,23408,,,53739,15032794+0720186,,G,225.866455,7.338513000000002,168.650831301,,0.025951,-21.0169,0.014629601567273819,20079828536.11404,1352.0
26595,27397,,,,15061973+0719566,,G,226.582214,7.332391,224.810744999,,0.051024,-21.2281,0.017078790379085745,24391583747.2202,1352.0
26988,27804,,,53835,15045487+0554325,,G,226.228638,5.90905,168.98674041799998,,0.035985,-20.7273,0.01732157313100081,15378713278.422415,1352.0
29608,30552,,,UGC09685,15044721+0810168,,G,226.196716,8.171357,142.183076443,,0.02975,-21.2042,0.01897627059193313,23860525265.697655,1352.0
30328,31317,,,53155,14524841+0756445,,G,223.201721,7.9457179999999985,160.377993893,,0.036454,-20.8397,0.019422686641249725,17056110461.39393,1352.0
