,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
3342,3817,20960.0,ESO310-014,ESO310-014,07250661-3824591,,G,111.277573,-38.416439,98.9078098187,,0.015262,-21.4072,0.002147851720861689,28766034700.028393,2484.0
7928,8412,,,631003,,,G,113.327,-36.91481,101.56174708799999,,0.0228295314148,-19.2037,0.005175086824440172,3779897298.3064775,2484.0
11908,12414,,,,07282923-3633334,,G,112.121811,-36.559292,136.53126985,,0.02385,-21.5172,0.007745610789395323,31833178169.778183,2484.0
22007,22656,,,150303,,,G,114.584,-39.32108,86.4203944217,,0.0198382899191,-17.8931,0.014175397086349075,1130420435.5138915,2484.0
23529,24225,,,,07221907-3820229,,G,110.579491,-38.339699,99.3336989873,,0.034124,-19.8885,0.015142377047010729,7102316143.008688,2484.0
86205,95242,,,150040,07251777-4015511,,G,111.324074,-40.264221,220.965152543,,0.049973,-20.8096,0.045651239041788055,16589756056.386509,2484.0
123152,145254,,,180123,07285371-3710303,,G,112.223816,-37.175102,151.260349719,,0.03451,-21.0956,0.06894153502294129,21589371523.16075,2484.0
127773,152958,,,628104,07351844-3707127,,G,113.826836,-37.120197,157.346349772,,0.035777,-21.3373,0.07201859852380464,26972425362.44005,2484.0
148104,182305,,,3081406,07375510-3904509,,G,114.479599,-39.080811,197.18488997,,0.044382,-21.0844,0.08348332883923887,21367809343.84711,2484.0
149680,184212,,,3098658,07355571-3926145,,G,113.98214,-39.437374,174.42075260400003,,0.039359,-19.905,0.08424791741175634,7211074791.829035,2484.0
149681,184213,,,3098662,07374556-3815098,,G,114.439857,-38.252743,118.66505701700001,,0.027409,-19.7636,0.0842481513647193,6330528961.793403,2484.0
192062,238357,,,,07252859-4010321,,G,111.369148,-40.175598,154.760482997,,0.035226,-20.7943,0.10262025341587447,16357615669.312912,2484.0
192063,238358,,,,07250312-3825241,,G,111.263031,-38.423374,159.033750609,,0.036276,-20.5034,0.10262071584858837,12512958378.891071,2484.0
192064,238359,,,,07255514-3908513,,G,111.479782,-39.147591,104.426948195,,0.024404,-18.7461,0.10262080749776124,2479933298.5781426,2484.0
192067,238369,,,,07273338-3632225,,G,111.889091,-36.539589,195.609717539,,0.043892,-20.026,0.10262551037890168,8061205638.638905,2484.0
192069,238371,,,,07283627-3653573,,G,112.15116100000002,-36.89927700000001,42.032620920599996,,0.009574,-17.7759,0.10262635908152927,1014752196.3826561,2484.0
192070,238372,,,,07282227-3649574,,G,112.092796,-36.83263,222.478844944,,0.05015,-21.0774,0.10262714368197373,21230489129.638428,2484.0
192071,238373,,,,07281910-3641264,,G,112.079613,-36.690685,194.685122304,,0.043697,-20.7317,0.1026277143303026,15441162733.578672,2484.0
192072,238375,,,,07282968-3649534,,G,112.12368,-36.831512,235.48003637,,0.053135,-20.2858,0.10262884075786488,10240472602.699587,2484.0
192073,238376,,,,07281518-3655164,,G,112.063271,-36.921238,219.226193661,,0.049289,-20.3495,0.10262924207578222,10859254213.126295,2484.0
192074,238377,,,,07283785-3805082,,G,112.157715,-38.085636,136.90862991,,0.031161,-19.6982,0.10262946235247623,5960463049.309132,2484.0
192075,238379,,,,07294128-3633501,,G,112.422028,-36.563942,136.140481933,,0.031011,-20.6819,0.10263063995860422,14748912529.992731,2484.0
192076,238380,,,,07291989-3722231,,G,112.332878,-37.373096,117.187301457,,0.02689,-19.8384,0.10263089059754688,6782034582.91742,2484.0
192077,238381,,,,07291326-3835021,,G,112.305275,-38.58392,139.241212611,,0.031668,-21.0368,0.10263164640043963,20451256703.389324,2484.0
192294,238676,,,,07300546-3626212,,G,112.522758,-36.439228,236.893779333,,0.053439,-21.1428,0.10273528946726444,22548621675.25657,2484.0
192295,238677,,,,07302063-3630091,,G,112.585983,-36.502552,232.089514479,,0.052399,-20.6533,0.1027358203621601,14365475308.258312,2484.0
192296,238678,,,,07295891-3628111,,G,112.495461,-36.469776,157.807692635,,0.035939,-20.0086,0.10273611353825098,7933046501.182494,2484.0
192298,238684,,,,07313365-3801145,,G,112.890221,-38.020718,235.415157727,,0.053132000000000006,-20.8942,0.10273957109631078,17934117052.998158,2484.0
192299,238685,,,,07312783-3716386,,G,112.865967,-37.277393,202.410467304,,0.045515,-20.1132,0.10273989392234407,8735343753.012459,2484.0
192300,238686,,,,07310627-3658005,,G,112.77616100000002,-36.966824,217.179375013,,0.04884,-21.1251,0.1027407137612984,22184007326.494133,2484.0
192301,238687,,,,07312104-3642266,,G,112.8377,-36.707394,198.417177267,,0.044591000000000006,-20.3449,0.1027411133825262,10813343521.369078,2484.0
192302,238688,,,,07310017-3624185,,G,112.750725,-36.40514,243.02386756099997,,0.054768,-20.9852,0.10274183410580526,19502038074.900158,2484.0
192303,238689,,,,07312494-3623576,,G,112.85392,-36.399342,248.82092415099999,,0.056021,-20.4884,0.10274229019370444,12341274153.657423,2484.0
192305,238691,,,,07314152-3613103,,G,112.923004,-36.219528,228.07818929,,0.051527,-21.0784,0.1027438623609666,21250052140.46961,2484.0
192306,238692,,,,07314915-3638043,,G,112.954811,-36.634541,231.862677441,,0.052351,-20.2602,0.10274423199210496,10001842237.745564,2484.0
192307,238693,,,,07320303-3645353,,G,113.01265,-36.759823,73.5860880659,,0.018527,-18.037,0.10274427968882882,1290624782.060541,2484.0
192308,238694,,,,07320953-3650033,,G,113.039742,-36.834263,208.986551551,,0.047016,-20.8346,0.10274490706576617,16976181116.147509,2484.0
192309,238695,,,,07315620-3708293,,G,112.984169,-37.141491,243.167858483,,0.054804999999999986,-21.0895,0.1027457004591048,21468415893.607468,2484.0
192310,238696,,,,07321023-3732423,,G,113.042625,-37.545094,224.63521761599998,,0.050788,-20.9604,0.10274640490647112,19061628449.63003,2484.0
192311,238697,,,,07320928-4043063,,G,113.038689,-40.71843,206.188243436,,0.046442,-19.7793,0.10274664226702668,6422734947.768842,2484.0
192312,238698,,,,07324583-4005061,,G,113.190964,-40.085049,151.25132224700002,,0.034397000000000004,-20.3415,0.10274704063879173,10779534330.711128,2484.0
