,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
2191,2666,63413.0,NGC6805,NGC6805,19364571-3733155,,G,294.190491,-37.55431,89.0895749467,,0.014774,-21.5321,0.001428736373041251,32273049195.952236,2516.0
3092,3567,63241.0,NGC6794,NGC6794,19280388-3855077,,G,292.0161740000001,-38.918831,89.7793629468,,0.01284,-21.2689,0.001994604697963158,25325614974.13709,2516.0
9680,10174,63262.0,ESO338-007,ESO338-007,19284846-3844277,,G,292.201935,-38.741039,88.85968182459999,,0.021034,-20.2645,0.006310093911067929,10041532541.20882,2516.0
10132,10626,63409.0,ESO338-013,ESO338-013,19363285-3821223,,G,294.136902,-38.356201,86.2834659902,,0.019234,-20.1956,0.006593288215991609,9424102477.974669,2516.0
11337,11839,63269.0,ESO338-009,ESO338-009,19291181-3818055,,G,292.299225,-38.301552,84.0537646274,,0.013669999999999998,-20.3628,0.0073836210753901515,10993095479.250294,2516.0
18048,18617,,,,19381672-3853413,,G,294.569672,-38.894833,85.6916558765,,0.021662,-20.3567,0.011687739742028174,10931506063.226463,2516.0
24001,24710,63230.0,ESO338-003,ESO338-003,19273774-3728413,,G,291.907257,-37.478149,87.21558996200001,,0.024536,-19.872,0.015435996838230671,6995197810.512149,2516.0
30183,31161,,,,19204300-3831059,,G,290.179169,-38.518322,198.99454514,,0.047181,-21.1602,0.019333761872746352,22912896850.537724,2516.0
30280,31263,63140.0,ESO338-002,ESO338-002,19222669-3815104,,G,290.611237,-38.252914,89.9606804218,,0.041737,-19.5913,0.01938895140534365,5401569893.40504,2516.0
41192,42683,63312.0,PGC063312,PGC063312,19310938-4002119,,G,292.789124,-40.036659,147.317862197,,0.03391,-20.5503,0.025086676493297155,13065318463.516823,2516.0
42950,44464,161647.0,PGC161647,PGC161647,19315901-3626456,,G,292.99588,-36.446007,68.3576897356,,0.014418,-18.9009,0.0255785303657128,2859960269.7479987,2516.0
43967,45504,604945.0,PGC604945,PGC604945,19393333-3848456,,G,294.888885,-38.812672,89.7439852395,,0.020116,-19.304,0.025883747419966446,4145720317.8672853,2516.0
43982,45519,611366.0,PGC611366,PGC611366,19334297-3814044,,G,293.429077,-38.234558,83.9522545701,,0.0185938292969,-18.8802,0.02588912634341441,2805950465.525756,2516.0
43989,45526,614857.0,PGC614857,PGC614857,19375094-3758276,,G,294.46225,-37.974342,164.944608404,,0.037379,-20.9397,0.025891475420262808,18701653231.92801,2516.0
43994,45531,621657.0,PGC621657,PGC621657,19360785-3732112,,G,294.032715,-37.536469,157.880066369,,0.036194,-19.5896,0.025892837173299592,5393118960.654338,2516.0
46469,48067,2817146.0,PGC2817146,PGC2817146,19223725-3925055,,G,290.655212,-39.418209,129.639219548,,0.030064,-20.8307,0.026459583484078748,16915311505.95714,2516.0
49576,51187,63393.0,ESO338-012,ESO338-012,19353208-4001260,,G,293.883667,-40.023899,101.117778559,,0.022913,-20.6571,0.02731865553890147,14415841544.512709,2516.0
87483,96864,,,161630,19305962-3954570,,G,292.748444,-39.91584,209.33133808099998,,0.047745,-20.6452,0.046558650043373936,14258702244.141174,2516.0
94666,107164,,,587296,19260806-4021419,,G,291.5336,-40.361652,184.363415218,,0.041776,-20.5274,0.0518911394943586,12792634742.111116,2516.0
94871,107484,,,601922,19224147-3905315,,G,290.672821,-39.092094,170.889391726,,0.038958,-20.4746,0.052041695442520124,12185405892.75937,2516.0
94874,107488,,,602078,19225221-3904375,,G,290.71756,-39.077084,202.58479944200002,,0.046052,-20.659,0.05204335890450421,14441090844.161253,2516.0
94907,107529,,,603975,19383854-3854051,,G,294.660614,-38.901421,221.73575606400001,,0.050266000000000005,-21.1372,0.05206174533717768,22432620019.439102,2516.0
95093,107806,,,617206,19330988-3749013,,G,293.291199,-37.817055,164.43687627100002,,0.037293,-19.967,0.052201105780089664,7634841051.830989,2516.0
95414,108286,,,638543,19314008-3617327,,G,292.917023,-36.292431,163.99721073,,0.037099,-20.7352,0.05242597650177115,15491019477.561178,2516.0
127682,152809,,,617689,19344392-3747022,,G,293.683014,-37.783962,213.50846304799998,,0.048635000000000005,-19.9581,0.07196551550540697,7572512519.20687,2516.0
154376,189939,,,,19204291-3829489,,G,290.178833,-38.496933,221.606540422,,0.050184,-20.2859,0.08621882762927865,10241415828.518488,2516.0
154377,189940,,,,19205999-3849339,,G,290.249969,-38.826099,219.825730205,,0.049813,-20.8784,0.08621948083284889,17675023504.48546,2516.0
154379,189942,,,,19225071-3811205,,G,290.711304,-38.18903,197.510094568,,0.044833,-19.1759,0.08621971580427823,3684342535.3630295,2516.0
155993,191951,,,,19301551-3911554,,G,292.564636,-39.19872700000001,190.130130953,,0.04311,-19.3533,0.08686212850648446,4338304187.156724,2516.0
156867,193053,,,,19273166-3649093,,G,291.881927,-36.819275,98.41545222879999,,0.022201,-17.8693,0.08723763502839546,1105910547.2027488,2516.0
156868,193054,,,,19284255-3654467,,G,292.177307,-36.912994,189.677730625,,0.043097,-20.4771,0.08723808639409186,12213496154.418108,2516.0
160101,197230,,,,19311601-3748399,,G,292.816742,-37.811085,102.751912015,,0.023247,-18.3739,0.08865260644238493,1760191826.4916337,2516.0
160102,197231,,,,19311019-3613009,,G,292.7924799999999,-36.216934,214.908172308,,0.048913,-20.7033,0.08865316235758619,15042499301.597559,2516.0
160103,197232,,,,19312072-4113017,,G,292.836334,-41.21714,196.209473943,,0.044484,-19.8636,0.08865341888190899,6941286976.659434,2516.0
218461,270571,63292.0,PGC063292,PGC063292,,,G,292.547,-39.40906,33.7211111321,,0.0080301940151,-16.7795,0.11229507465260273,405321834.8593226,2516.0
218462,270572,63293.0,PGC063293,PGC063293,,,G,292.558,-39.41458,35.4907624509,,0.00852642426321,-17.0306,0.11229509352941036,510787193.4298419,2516.0
234546,287319,63448.0,ESO338-017,ESO338-017,,,G,294.569,-38.89506,81.5479453448,,0.0180516090258,-20.6171,0.11376374236070412,13894406480.565556,2516.0
238660,293294,598512.0,PGC063294,63294,,,G,292.564,-39.41176,35.3042018949,,0.00847203423602,-17.4491,0.11401593326022648,751000108.9350125,2516.0
255120,313314,,,161590,,,G,290.1790000000001,-38.51838,196.694855165,,0.0445977222989,-19.829,0.11637609177372027,6723571072.343223,2516.0
257685,316617,,,604775,,,G,290.25,-38.82615,136.293197677,,0.0315922057961,-18.6224,0.1168795260129077,2212890885.4367247,2516.0
257837,316795,,,631024,,,G,292.177,-36.9129,187.759170365,,0.042652701326400005,-19.348,0.1169046259244785,4317178444.709239,2516.0
322529,419032,,,586655,19303029-4024523,,G,292.626221,-40.414555,234.21049962200001,,0.052524,-19.833,0.1299685890956817,6748387308.707574,2516.0
324287,426723,,,,19370692-3921235,,G,294.2788700000001,-39.356552,235.767371349,,0.05286,-20.4104,0.13359290557693268,11485766948.512207,2516.0
