,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
521,995,20560.0,ESO367-008,ESO367-008,07163906-3522243,,G,109.162781,-35.373417,41.3586132092,,0.010596,-20.3528,0.00032372220098590904,10892310174.097424,2419.0
1603,2078,20676.0,ESO367-017,ESO367-017,07192623-3539233,,G,109.859329,-35.656487,40.7804007217,,0.00775551387776,-20.9023,0.001035458109708954,18068412628.934586,2419.0
3002,3477,,,3098650,07241276-3648420,,G,111.0532,-36.811672,40.9977597934,,0.011774,-19.5458,0.0019244021366267173,5179883593.012676,2419.0
3350,3825,,,,07262635-3554214,,G,111.60981,-35.90596400000001,128.178466998,,0.018226,-22.2001,0.0021535733228466632,59709027809.82885,2419.0
4012,4488,20546.0,ESO367-007,ESO367-007,07162199-3530094,,G,109.091652,-35.50262100000001,43.0461125641,,0.017466,-19.1087,0.002593718157551284,3463219355.2651954,2419.0
4852,5328,,,20731,07204757-3407058,,G,110.198219,-34.11829,123.30395249600001,,0.023948,-21.1399,0.003167493402422672,22488474697.90546,2419.0
5384,5861,,,ESO367-023,07235484-3553169,,G,110.978523,-35.888046,128.142629178,,0.025126,-20.8975,0.003532070195096701,17988709151.287983,2419.0
6450,6929,,,ESO367-005,07133100-3614194,,G,108.379204,-36.238724,146.015335705,,0.0318775959388,-20.262,0.0042290216770752035,10018437657.2403,2419.0
6739,7218,,,646169,07183699-3539251,,G,109.654129,-35.656979,135.219858176,,0.022,-21.0012,0.004415075087694257,19791558756.425747,2419.0
7346,7830,,,20574,07170806-3621591,,G,109.283607,-36.366417,138.360104659,,0.030622000000000007,-21.1441,0.00481460771899089,22575636307.4076,2419.0
7654,8138,,,,07221613-3521001,,G,110.56723,-35.350033,120.6573848,,0.027554,-20.7348,0.005002986202941422,15485313426.235287,2419.0
10857,11355,21011.0,ESO368-001,ESO368-001,07261948-3519474,,G,111.581177,-35.32983400000001,41.9760849957,,0.011906,-20.665,0.0070634175404601035,14521116175.877447,2419.0
10938,11437,,,149796,07162423-3551114,,G,109.100983,-35.85318,135.080666144,,0.033274,-21.319000000000006,0.007123219243140517,26521617055.078945,2419.0
10973,11472,,,ESO367-018,07210891-3423381,,G,110.287125,-34.393936,115.01886676,,0.026676,-21.1158,0.007146407854308473,21994799125.577038,2419.0
11907,12413,,,ESO367-009,07170155-3547262,,G,109.256477,-35.790619,126.449776525,,0.038458,-20.3606,0.0077444343527344715,10970842998.442194,2419.0
11923,12429,,,ESO367-006,07144327-3648218,,G,108.680328,-36.806061,131.885493113,,0.030302,-20.974,0.0077565094088346154,19301897276.34578,2419.0
12966,13479,,,141880,07135663-3501260,,G,108.485992,-35.023911,197.38184093099997,,0.032658,-21.7105,0.008451115081429194,38036452032.85553,2419.0
13997,14514,,,628428,07191627-3705581,,G,109.817833,-37.099499,153.319302803,,0.034297,-20.578000000000007,0.009076399895081536,13402937734.183159,2419.0
14967,15490,,,668390,07204877-3400418,,G,110.203217,-34.01162,133.397396205,,0.044394,-20.7457,0.009697873330063141,15641557661.154747,2419.0
15303,15833,,,649562,07105156-3523099,,G,107.714867,-35.38610100000001,140.023633861,,0.0306127653064,-18.981,0.009920929176191737,3078931309.7416005,2419.0
15629,16165,,,658780,07234036-3441391,,G,110.918182,-34.694202000000004,116.72760479600001,,0.025357,-20.3869,0.010143755861325298,11239836659.808249,2419.0
17155,17707,,,,07161710-3616303,,G,109.071274,-36.275105,139.587431769,,0.03165,-20.6222,0.011100682245813473,13959825835.188309,2419.0
17435,17992,,,ESO367-012,07172046-3457297,,G,109.335274,-34.958263,126.53036704200001,,0.034463,-19.763,0.011286276164731771,6327031548.665031,2419.0
17951,18519,,,3098645,07205431-3358308,,G,110.226311,-33.975224,126.073715894,,0.037458,-20.4301,0.011625235891197652,11696071108.550371,2419.0
19011,19600,,,,07145056-3637479,,G,108.71067,-36.629997,141.166148903,,0.043833,-20.8697,0.012312621608876115,17533959536.958424,2419.0
19112,19702,20920.0,ESO367-024,ESO367-024,07240918-3645540,,G,111.038269,-36.765011,44.69545218020001,,0.027677,-18.2003,0.012375786463716516,1500099270.9896884,2419.0
19841,20442,,,,07233225-3444051,,G,110.884399,-34.734764,117.47297378,,0.024638,-21.0427,0.012827175777993144,20562693399.09804,2419.0
20438,21051,,,149803,07163514-3620023,,G,109.146439,-36.333973,152.50187858299998,,0.031647,-20.5704,0.013197401767390943,13309446658.010963,2419.0
21892,22537,,,,07185273-3601033,,G,109.719711,-36.017593,138.97595437,,0.033221,-20.5157,0.014099884082229104,12655520160.4025,2419.0
21976,22623,,,644844,07165160-3546012,,G,109.215034,-35.767025,126.055809414,,0.031617,-20.3828,0.014149533879278356,11197472383.220972,2419.0
23126,23807,,,,07075317-3540088,,G,106.971542,-35.669136,140.046120194,,0.049171,-20.3684,0.014889181598394481,11049942039.17274,2419.0
23670,24371,,,,07162814-3556533,,G,109.117287,-35.948151,141.46759216700002,,0.044697,-20.8693,0.015230812450754418,17527500977.32586,2419.0
23914,24621,,,667537,07201074-3404269,,G,110.044754,-34.074162,115.420310122,,0.027894,-19.9884,0.015383425041866315,7786817567.493714,2419.0
26649,27451,,,,07151273-3629470,,G,108.803062,-36.49641,132.760241364,,0.039953,-20.2833,0.017106513732262126,10216920169.2865,2419.0
27388,28225,,,,07171291-3615225,,G,109.303818,-36.256275,130.607468606,,0.039186,-19.9848,0.01757735037665259,7761041397.94614,2419.0
28155,29028,,,,07262608-3459174,,G,111.608673,-34.988167,111.05194215200001,,0.030387,-20.4366,0.01806310624049719,11766302243.252632,2419.0
28963,29875,,,641321,07145325-3603270,,G,108.721878,-36.057503,145.168313905,,0.038695,-20.6994,0.018581384546661268,14988563079.869328,2419.0
31032,32048,,,,07204831-3645213,,G,110.201302,-36.755932,138.49495163,,0.043438,-20.0422,0.019853169274103917,8182386691.972805,2419.0
31646,32695,,,,07192262-3652332,,G,109.844284,-36.875889,156.238502692,,0.058195,-20.4449,0.02022154651582624,11856595398.587341,2419.0
32063,33143,,,90063,07190433-3457337,,G,109.768051,-34.959362,130.526769361,,0.034968,-20.4705,0.020490716383093938,12139477653.65836,2419.0
32459,33560,,,,07181631-3635375,,G,109.567963,-36.593758,147.72360603299998,,0.034506,-19.9812,0.020726049959247112,7735350553.489407,2419.0
33441,34597,,,3081387,07170989-3626081,,G,109.291237,-36.435585,144.992631209,,0.044096,-19.9447,0.02131472212766065,7479628021.962274,2419.0
33891,35074,,,149778,07161453-3620393,,G,109.060577,-36.344269,137.447796807,,0.033352,-20.1687,0.021590952537731717,9193481362.828356,2419.0
