Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
Max Rank,0.678,0.9997584525397428,4.001825095895409,-0.7587076404225357,-0.23162335782481258,-0.2792397620329221,0.37223695831092934
