,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
4293,4769,48338.0,NGC5258,NGC5258,13395767+0049514,,G,204.990311,0.8309700000000001,100.966844472,,0.021394810697400003,-21.4309,0.002785673208455913,29400857692.95132,1540.0
11432,11934,48207.0,IC0903,IC0903,13382611-0013390,,G,204.60881,-0.227511,49.714710483199994,,0.020446,-19.0854,0.0074483782459779215,3389690139.37891,1540.0
11805,12310,,,48532,13421500+0151270,,G,205.562531,1.857527,126.59752745,,0.033368,-20.8251,0.00768583467013665,16828290482.161596,1540.0
21821,22466,48217.0,IC0904,IC0904,13383217+0032250,,G,204.634079,0.540297,100.82479591299999,,0.021025,-20.5488,0.014061971169816851,13047280522.03683,1540.0
30268,31251,,,48512,13415900+0036054,,G,205.49585,0.60151,209.230196897,,0.045166000000000005,-21.0621,0.01938396764862009,20933410984.09096,1540.0
30507,31506,,,48754,13451088+0007097,,G,206.295364,0.11938,210.646460659,,0.035151,-21.3608,0.019530828667801443,27562588418.82597,1540.0
40689,42179,47838.0,PGC047838,PGC047838,13343545-0021118,,G,203.647736,-0.353295,55.2191579875,,0.013832,-18.2254,0.024943616791761068,1535182460.7478776,1540.0
40704,42194,48088.0,PGC048088,PGC048088,13365854+0013328,,G,204.243927,0.225805,141.832063249,,0.032213,-20.3419,0.02494970768251512,10783506389.555952,1540.0
40709,42199,48174.0,PGC048174,PGC048174,13380647+0001136,,G,204.526993,0.020445,139.740320257,,0.031796,-19.7866,0.024950948363408457,6466064016.829983,1540.0
40710,42200,48188.0,PGC048188,PGC048188,13381535-0023546,,G,204.56398,-0.398504,95.5516539432,,0.0212942206471,-18.7312,0.02495103876343329,2446132624.887066,1540.0
40712,42202,48272.0,PGC048272,PGC048272,13391323-0107160,,G,204.80513,-1.121133,76.92140743899999,,0.016472999999999998,-19.4132,0.02495146575095365,4584373569.427173,1540.0
40716,42206,48321.0,PGC048321,PGC048321,13394951-0019490,,G,204.956299,-0.330285,126.88857315,,0.028707,-19.3621,0.02495286470688582,4373609457.463857,1540.0
40727,42217,48606.0,PGC048606,PGC048606,13431941+0119203,,G,205.830902,1.322308,137.879199011,,0.03134,-19.8445,0.02495472904548739,6820245379.032682,1540.0
45117,46699,1112286.0,PGC1112286,PGC1112286,13384336-0142150,,G,204.680695,-1.7041669999999998,96.1897822249,,0.0214731407366,-17.9456,0.02620759301573977,1186424209.287468,1540.0
50245,51858,49167.0,PGC049173,49173,13510226-0009150,,G,207.75943,-0.154171,117.432799463,,0.026333,-20.5199,0.027526390739293385,12704570863.977741,1540.0
51252,53050,,,48503,13415124+0204344,,G,205.463501,2.076229,171.089259811,,0.038418,-20.2991,0.02793927101283599,10366687330.889364,1540.0
52769,54796,,,48096,13370647+0022049,,G,204.276962,0.368032,207.16668691,,0.0472552736276,-20.6316,0.028573475318139807,14081210798.111748,1540.0
53478,55634,,,3107282,13382860-0106470,,G,204.619202,-1.113065,211.92990874,,0.048225,-20.251,0.028874569591110764,9917449552.31416,1540.0
53522,55694,,,48968,13482260-0046006,,G,207.094193,-0.766834,201.557293421,,0.045984,-20.377,0.028885375992707525,11137815001.346634,1540.0
53586,55774,,,47986,13360163+0015445,,G,204.006821,0.262386,198.29805078099997,,0.045196,-20.5426,0.028912997107300782,12972987511.122318,1540.0
56190,58738,,,48472,13413861+0019044,,G,205.410889,0.31790300000000005,221.366582044,,0.050172,-20.3766,0.030089941032800174,11133712434.427309,1540.0
57117,59895,,,3301185,13442513-0117579,,G,206.104736,-1.299417,190.674010227,,0.043117,-19.3865,0.030465743656676692,4473011348.244489,1540.0
58308,61337,,,1170507,13431488+0036273,,G,205.812027,0.607585,209.37271493,,0.0476775838388,-19.4246,0.030919830183286208,4632762110.289214,1540.0
59919,63154,,,48254,13385341+0045190,,G,204.722565,0.755287,187.93727372,,0.04247,-20.8191,0.03166375228708463,16735550398.566048,1540.0
62134,65536,,,48006,13361276-0030412,,G,204.053177,-0.511471,214.770016333,,0.048816000000000005,-20.3409,0.03275118431560623,10773578985.571129,1540.0
62135,65537,,,48022,13362493-0007191,,G,204.103882,-0.12198699999999997,203.906360089,,0.046604,-19.9752,0.032751468610166416,7692721323.994472,1540.0
62136,65538,,,48059,13364797+0109135,,G,204.19989,1.153759,185.914788653,,0.041984,-21.2756,0.03275241034481586,25482380719.5384,1540.0
63346,66968,,,1209800,13421174+0154221,,G,205.54892,1.906139,194.8361518,,0.044258,-19.4153,0.03329676962523189,4593249114.676456,1540.0
73155,78743,,,1185884,13432041+0108383,,G,205.835068,1.143975,206.316848214,,0.047051,-19.5647,0.03711961897661885,5270842025.529253,1540.0
76495,82533,,,48204,13382442+0128470,,G,204.601776,1.479739,159.51344747,,0.035901,-20.994,0.03907232929035169,19660746338.79107,1540.0
105718,123306,,,1164378,13370713+0022349,,G,204.279739,0.376365,191.231697,,0.043316,-19.3358,0.05945340348870225,4268939500.3322477,1540.0
105730,123318,,,1166282,13370800+0027079,,G,204.28334,0.452199,195.58225046799998,,0.044476,-20.2416,0.0594571626062323,9831957667.883015,1540.0
105944,123630,,,1206240,13421513+0148020,,G,205.56308,1.8005830000000005,225.420544611,,0.051008,-20.562,0.05957417689913998,13206872951.464264,1540.0
105949,123635,,,1207516,13385130+0150130,,G,204.713791,1.836952,190.49575386400002,,0.043152,-19.6254,0.05957626270435047,5573910615.655174,1540.0
