,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
230,704,,,,17322430+0703369,,G,263.101257,7.06027,26.943580520300003,,0.009341,-20.1953,0.0001437423039416415,9421498861.948349,1359.0
2859,3334,,,1302291,17340802+0631053,,G,263.533417,6.518157,102.383264901,,0.023352011676,-18.6311,0.001841244001709639,2230694004.426836,1359.0
6417,6895,,,,17304198+0616564,,G,262.674957,6.282343,99.9149595824,,0.019584,-17.5062,0.004199298945013731,791553001.4220759,1359.0
12742,13253,,,1322227,17412425+0727179,,G,265.351044,7.454983,158.63104347700002,,0.029847,-21.0559,0.008296479556874714,20814213261.00282,1359.0
13733,14247,,,1347752,17361111+0828558,,G,264.04629500000004,8.482168,159.31884453,,0.03527,-21.2223,0.008911964978627283,24261631381.51424,1359.0
15539,16074,60531.0,PGC060531,PGC060531,17351898+0610068,,G,263.829102,6.168573,97.3024066801,,0.019888,-21.1696,0.010078808640328157,23112131509.157917,1359.0
21033,21658,60417.0,PGC060417,PGC060417,17304064+0623334,,G,262.669373,6.39262,99.8084605141,,0.030276,-20.2558,0.013568301288346222,9961391294.440126,1359.0
23572,24269,60439.0,PGC060439,PGC060439,17315493+0629007,,G,262.97891200000004,6.483542,102.04574884700001,,0.025962,-19.875,0.015167464336472184,7014552984.199742,1359.0
24592,25316,,,1311453,17334255+0659020,,G,263.427307,6.983894,155.37962861,,0.049143,-20.699,0.015792856519698587,14983042106.226631,1359.0
28704,29603,,,,17384804+0604582,,G,264.700195,6.082841,98.19813137860001,,0.038737,-19.6535,0.018410616611377974,5720052304.159311,1359.0
31857,32924,,,1297095,17352260+0614428,,G,263.844208,6.245241,96.7438254268,,0.033569,-19.1361,0.02035697538292869,3551730461.22913,1359.0
34263,35462,60438.0,PGC060438,PGC060438,17315426+0630067,,G,262.976105,6.501876,99.7862736925,,0.021376,-19.6824,0.021812980974611568,5874352452.525323,1359.0
41107,42598,60444.0,PGC060444,PGC060444,17315869+0631557,,G,262.994568,6.532154,119.93802868799999,,0.026989,-20.5058,0.025059253479474845,12540648637.395857,1359.0
41108,42599,60445.0,PGC060445,PGC060445,17315701+0628087,,G,262.987579,6.469099,156.803681319,,0.035601,-21.2198,0.025060148037569296,24205831177.77605,1359.0
84804,93309,,,140786,17363405+0538265,,G,264.141907,5.640699,192.470841642,,0.043553,-21.1308,0.04462670162924832,22300777260.413727,1359.0
119433,140306,,,60305,17265285+0707428,,G,261.720215,7.128564999999999,119.250110236,,0.02677,-20.0513,0.06662460293473592,8251254830.36617,1359.0
119457,140331,,,60520,17344188+0614390,,G,263.67453,6.244172,159.947953832,,0.036314,-20.8359,0.06663887721680573,16996519622.633038,1359.0
119465,140339,,,60564,17363582+0901227,,G,264.149261,9.022979,184.034986319,,0.041622,-20.9235,0.0666428842148246,18424681961.436348,1359.0
119492,140366,,,60751,17432715+0714135,,G,265.863159,7.2371050000000015,136.836748199,,0.031257,-19.765,0.06665442151504304,6338697112.569289,1359.0
123939,146302,,,214615,17305198+0618274,,G,262.716614,6.307625,157.283033558,,0.035706,-20.0584,0.06936050417694238,8305389414.2164345,1359.0
134533,164246,,,1300018,17303407+0623596,,G,262.641968,6.399889,177.951528111,,0.040315,-20.2685,0.07618787313676373,10078595144.150282,1359.0
134586,164316,,,1305584,17320449+0641107,,G,263.018738,6.686332000000001,210.384313258,,0.047454,-20.2581,0.07621748070800613,9982515656.247152,1359.0
134642,164391,,,1312131,17334651+0701060,,G,263.443817,7.018341,93.6868103245,,0.021087,-18.5424,0.07625065393649502,2055701250.1824164,1359.0
134667,164434,,,1316476,17313377+0712565,,G,262.89074700000003,7.215722,85.4885249228,,0.019494,-18.3135,0.07626839606855955,1664945415.7952785,1359.0
134716,164512,,,1323071,17412613+0729189,,G,265.35888700000004,7.488598,152.474785351,,0.034668,-19.536,0.07630444708107273,5133339643.802892,1359.0
151739,186700,,,,17472170+0719417,,G,266.84042400000004,7.328256,128.483105625,,0.029462,-20.2112,0.08518125534882479,9560486663.378778,1359.0
157960,194475,,,,17433933+0750045,,G,265.913879,7.834605000000002,225.24960451099997,,0.050661000000000005,-19.3513,0.08774785797943141,4330320091.398128,1359.0
157961,194476,,,,17432869+0759405,,G,265.869568,7.994606,239.337962672,,0.053698,-20.7651,0.08774844645515259,15923553816.479548,1359.0
157967,194482,,,,17443112+0709272,,G,266.129669,7.1575690000000005,242.183270573,,0.054319000000000006,-20.0347,0.08775054176223733,8126059538.184067,1359.0
157970,194488,,,,17445411+0641025,,G,266.225464,6.684039,130.616435322,,0.029945,-18.905,0.0877528705860775,2870780582.024704,1359.0
158539,195207,,,,17364046+0826167,,G,264.16861,8.437978,185.49949384599998,,0.041957,-19.5447,0.08798118763169126,5174638316.546663,1359.0
158540,195208,,,,17364451+0820147,,G,264.185486,8.33742,240.88331740599997,,0.05403,-20.279,0.08798156371888882,10176536626.205334,1359.0
158541,195209,,,,17372272+0647110,,G,264.344696,6.786389999999999,144.515185479,,0.032897,-19.1966,0.08798170249942143,3755259902.389775,1359.0
158545,195213,,,,17373011+0825211,,G,264.375488,8.422533,188.225000189,,0.04256,-20.5734,0.08798299099429628,13346272872.04083,1359.0
158546,195214,,,,17374703+0812001,,G,264.445984,8.200038000000001,202.61232643099999,,0.045729,-19.9253,0.08798326251850068,7347168498.807986,1359.0
158551,195220,,,,17392834+0849095,,G,264.868103,8.819309,122.378283035,,0.027702,-19.0885,0.0879851030569803,3399382231.2327967,1359.0
