,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
9679,10173,53920.0,IC1100,IC1100,15062081+6258515,,G,226.586731,62.98098,98.87232183409999,,0.019577,-21.3824,0.0063097228131225825,28116418566.878983,166.0
11274,11775,,,IC1065,14492161+6316142,,G,222.340042,63.270622,185.152695825,,0.025975,-22.1067,0.007338783026966816,54787312832.08238,166.0
13484,13998,,,NGC5807,14554868+6354122,,G,223.95286600000003,63.903408,127.269213706,,0.027875,-20.8626,0.008769286451406025,17419673071.214157,166.0
23681,24382,,,53827,15045565+6242550,,G,226.231888,62.715302,175.225748786,,0.035556,-21.042,0.015236686954781897,20549440413.45299,166.0
24614,25339,,,54249,15114751+6359469,,G,227.947968,63.996387,129.827465951,,0.035336,-20.0358,0.015807802606013176,8134296525.244704,166.0
26789,27598,,,UGC09653,14592370+6102493,,G,224.848785,61.047035,174.370731387,,0.038295,-21.0374,0.01719626505412898,20462561608.87881,166.0
28318,29201,,,2648054,14544862+6301123,,G,223.702621,63.020107,189.03808215200002,,0.044805000000000005,-21.1267,0.01816852893002532,22216722987.6902,166.0
28815,29720,,,53192,14532208+6340184,,G,223.342026,63.671783,130.387792366,,0.03388,-20.3582,0.01848067304708561,10946618934.167164,166.0
29136,30054,,,53422,14565411+6556040,,G,224.225464,65.934464,134.286046565,,0.0308895454448,-20.3802,0.01868463532451893,11170690005.437262,166.0
30673,31679,,,53645,15011942+6530059,,G,225.330917,65.501648,140.194534138,,0.033498,-21.2507,0.019638765130552287,24904624612.764576,166.0
31007,32023,,,52786,14471040+6325268,,G,221.793335,63.424137,231.520136752,,0.04339,-21.7329,0.01984074040371591,38829339221.488716,166.0
37034,38411,,,2640722,15030101+6239057,,G,225.754242,62.651596,198.059811064,,0.040935,-20.73,0.02352054729264173,15417004529.495615,166.0
40923,42414,53236.0,PGC053236,PGC053236,14534007+6435229,,G,223.416992,64.589714,125.433625236,,0.027941000000000004,-20.9401,0.0250077746929773,18708544444.929924,166.0
46314,47911,2635666.0,PGC2635666,PGC2635666,15062430+6222535,,G,226.601257,62.381542,99.2405304702,,0.0220374110187,-18.1334,0.026411174207347114,1410457485.3916042,166.0
49292,50903,53316.0,UGC09607,UGC09607,14545989+6216333,,G,223.749573,62.275936,130.916835629,,0.029082,-20.165,0.027227403577768497,9162204901.22003,166.0
49329,50940,54150.0,UGC09764,UGC09764,15103817+6453550,,G,227.659042,64.898636,87.4851221373,,0.019892,-19.4897,0.027239678386331415,4919035989.146726,166.0
53585,55773,,,2631553,15025916+6209147,,G,225.746506,62.154102,186.293621356,,0.041897960949,-19.991,0.028912517673609694,7805486914.662414,166.0
54911,57197,,,2645130,14565935+6252232,,G,224.24729900000003,62.873127,193.04713902,,0.043471,-20.5393,0.029581082512700307,12933617114.760712,166.0
56638,59284,,,2657209,14502922+6331482,,G,222.621765,63.530064,190.35864036099997,,0.042846,-20.1579,0.030298630300460858,9102485588.284573,166.0
57313,60150,,,2658969,14520254+6338437,,G,223.010605,63.645473,224.22876918400002,,0.0502887251444,-19.4535,0.030518854751033518,4757732275.412052,166.0
58777,61863,,,52503,14420188+6319510,,G,220.507858,63.330837,176.408602278,,0.039596,-21.1466,0.031129639539074244,22627678523.856216,166.0
58913,62000,,,53673,15014936+6229060,,G,225.455704,62.48502,139.735823427,,0.031066000000000007,-20.4155,0.031193680618040714,11539845650.050941,166.0
59523,62661,,,2649222,14552369+6304470,,G,223.84874,63.079735,173.284103088,,0.0388325894163,-18.2538,0.03151590733511486,1575868592.5035262,166.0
60222,63529,,,2652997,14543569+6317113,,G,223.648727,63.28648000000001,172.820468073,,0.038716,-19.972,0.03179987781965929,7670081876.935134,166.0
62394,65807,,,84404,14571187+6300391,,G,224.299469,63.01088299999999,180.42451248700002,,0.040548,-20.1485,0.03286951691078875,9024018978.311428,166.0
70455,75528,,,2623300,15044305+6143101,,G,226.179413,61.71947900000001,211.295021543,,0.04764,-20.5654,0.036001731307500354,13248295305.335268,166.0
70461,75536,,,2628657,14511563+6200148,,G,222.815125,62.004112,207.83752806400003,,0.047007,-20.4996,0.0360034629688199,12469240458.15737,166.0
70464,75541,,,2630720,14592788+6206353,,G,224.86618,62.109821,189.878789513,,0.042733,-20.1274,0.03600460333179534,8850340914.246086,166.0
70469,75548,,,2635148,14532011+6221084,,G,223.333801,62.35234499999999,194.424269956,,0.0438098019049,-19.0738,0.03600652957571228,3353667483.044569,166.0
70488,75571,,,2645742,14573157+6254086,,G,224.381561,62.902393,231.409050106,,0.051803,-20.6559,0.036013838286880734,14399917369.27332,166.0
70498,75583,,,2653435,14521601+6318346,,G,223.066711,63.309628,188.955850948,,0.042524,-20.7288,0.0360177414743625,15399974439.296915,166.0
70676,75797,,,3086676,14565726+6152552,,G,224.238586,61.882015,199.044955196,,0.044915,-20.4428,0.03608986874259177,11833684873.524342,166.0
76681,82724,,,52941,14494050+6317552,,G,222.418777,63.29867900000001,178.265667393,,0.040039,-20.7263,0.0391708950194448,15364555480.95218,166.0
76731,82774,,,54069,15085452+6410207,,G,227.227173,64.17244000000001,202.268255965,,0.045526,-21.1316,0.03919795009097395,22317215135.537285,166.0
110418,129414,,,2640285,15021114+6237459,,G,225.546417,62.629425,198.715012815,,0.0447968023984,-18.1012,0.06146087501113461,1369241331.0457199,166.0
110421,129417,,,2644324,14561141+6250012,,G,224.047577,62.833668,193.650990566,,0.0436147118074,-19.0151,0.061461495339881364,3177166685.0400443,166.0
119147,139998,,,54170,15105452+6300549,,G,227.727188,63.01527,128.303902715,,0.028573,-20.0092,0.06645935799759993,7937431676.247293,166.0
119151,140003,,,54374,15135504+6253191,,G,228.479355,62.888649,169.449809334,,0.037962,-19.2432,0.06646132701126901,3919945238.645535,166.0
144695,177833,,,2643195,15092190+6246389,,G,227.341263,62.77747700000001,229.89124060900002,,0.051465,-20.0016,0.08164818590771386,7882064782.498066,166.0
144698,177836,,,2643788,15091256+6248298,,G,227.302338,62.8083,195.673808287,,0.044048,-19.5237,0.08164964098757108,5075513648.865635,166.0
144700,177838,,,2643969,15093035+6249009,,G,227.376495,62.816925,233.557387608,,0.052239,-21.326,0.08165105338867919,26693160636.242958,166.0
144714,177856,,,2646128,15021197+6255159,,G,225.549911,62.921089,142.039066159,,0.031613,-19.306,0.08165694905398252,4153364054.8907495,166.0
144733,177881,,,2648282,15013106+6301540,,G,225.37944,63.031673,199.72327648900003,,0.045017,-20.5191,0.08166875175609216,12695213238.122946,166.0
144765,177921,,,2654211,15184561+6321171,,G,229.690079,63.354763,240.618746278,,0.053718,-19.8176,0.08168624204298383,6653344329.45687,166.0
144774,177930,,,2655486,15122473+6325375,,G,228.103058,63.42709,229.428632723,,0.051351,-20.9882,0.08169017123556542,19555998712.52986,166.0
144800,177961,,,2660202,15061858+6343375,,G,226.577438,63.727085,216.216339245,,0.048573000000000005,-20.7624,0.08170398731892149,15884004447.72916,166.0
144817,177982,,,2661993,15012851+6352130,,G,225.36882000000003,63.87028100000001,173.943309779,,0.039009,-19.628,0.08171361027184794,5587274389.940217,166.0
144836,178007,,,2664928,15095108+6408368,,G,227.462845,64.143562,214.650285897,,0.048216,-20.4837,0.08172408763666661,12287965971.00964,166.0
144840,178011,,,2665251,15061155+6410344,,G,226.548157,64.176231,223.485283589,,0.050093,-19.7862,0.0817258059145519,6463682269.572512,166.0
144881,178055,,,2670753,15065693+6442024,,G,226.737213,64.700691,231.908969449,,0.051866,-20.4786,0.08174505522420719,12230381384.142931,166.0
144882,178056,,,2670812,15101985+6442200,,G,227.582733,64.70558199999999,229.095595245,,0.051264,-21.2901,0.08174600962007385,25824980365.4048,166.0
144946,178138,,,2677902,15002943+6529059,,G,225.12265,65.484985,161.57789371799998,,0.03612,-20.1399,0.08177651229908299,8952823032.047049,166.0
144966,178166,,,2679894,15024034+6542138,,G,225.668091,65.703835,155.479064994,,0.034733999999999994,-19.6044,0.08178729406840456,5467137542.125795,166.0
148586,182884,,,3086558,14485971+6429303,,G,222.24881,64.491753,230.867556237,,0.051672,-21.1188,0.08372187271812966,22055657041.082943,166.0
150448,185123,,,UGC09591,14532345+6351063,,G,223.347733,63.851776,156.536904163,,0.034869,-21.0901,0.08465382134465746,21480283057.38161,166.0
159705,196732,,,,14471064+6235048,,G,221.794357,62.58469,141.87706269,,0.031583,-20.9636,0.08848860965332601,19117891829.222874,166.0
160763,198075,,,,14514036+6402116,,G,222.918167,64.03656,216.561893527,,0.048679,-19.3429,0.08892192580939651,4296947029.863631,166.0
160765,198077,,,,14590128+6113538,,G,224.755356,61.231613,200.351309584,,0.045239,-20.576,0.08892312492782263,13378271336.04704,166.0
170273,210314,,,,15003588+6418019,,G,225.149506,64.300545,219.622797834,,0.049288,-19.9524,0.0930755943283674,7532861803.173605,166.0
170274,210315,,,,15033297+6512146,,G,225.887375,65.20405600000001,156.247544738,,0.034894,-20.4101,0.09307601868261126,11482593752.23482,166.0
170275,210316,,,,15053283+6342027,,G,226.386826,63.70075600000001,245.35170862599998,,0.054734000000000005,-19.3539,0.09307617909893144,4340702285.206724,166.0
170276,210317,,,,15080989+6300446,,G,227.04124500000003,63.012398,154.313148299,,0.034371,-19.983,0.09307646544323632,7748185327.756211,166.0
170277,210318,,,,15092523+6301389,,G,227.355133,63.02747700000001,220.997449647,,0.049587,-20.3249,0.0930768577705547,10615977759.272587,166.0
170280,210321,,,,15123965+6353195,,G,228.16522200000003,63.88875600000001,213.908976247,,0.048057,-19.6331,0.09307801184578557,5613581082.867432,166.0
215546,267394,,,3137575,14561054+6107501,,G,224.04393,61.130611,143.799156238,,0.032021236010599995,-18.1288,0.11194897620383522,1404494361.4442706,166.0
218256,270358,52783.0,PGC052783,PGC052783,,,G,221.793,62.584480000000006,98.8811937902,,0.0220216610108,-19.6056,0.11227156168499793,5473183386.282082,166.0
228115,280576,3137605.0,PGC3137605,PGC3137605,,,G,224.834,61.2247,101.779316045,,0.0226795913398,-17.3483,0.1127441027959838,684415757.7042298,166.0
235420,288231,3363221.0,SDSSJ145538.74+621902.9,SDSSJ145538.74+621902.9,,,G,223.911,62.31745,96.6241432508,,0.0215327807664,-17.5054,0.1139644253202867,790969978.4368173,166.0
241830,297067,,,2634916,,,G,225.698,62.33858000000001,200.397156218,,0.045197902599,-19.3295,0.1143764887960144,4244240644.2956853,166.0
242742,298050,,,3137822,,,G,225.772,62.16316,187.10164430900002,,0.0420854910427,-19.1204,0.11449592320686627,3500741153.440505,166.0
248692,304485,,,2619381,,,G,225.018,61.51484,176.731689455,,0.0397105998553,-18.5866,0.1151420963333004,2141115029.471138,166.0
248709,304503,,,2627678,,,G,224.356,61.95012,214.53976940200002,,0.0483178741589,-18.6375,0.11514383918927018,2243881923.782761,166.0
248716,304510,,,2632224,,,G,224.037,62.18806,174.64358404900003,,0.039181609590800005,-18.2408,0.11514442358280065,1557112531.9328172,166.0
248721,304516,,,2635641,,,G,222.907,62.37989,174.67541840099997,,0.039181609590800005,-18.6412,0.11514505878343333,2251541727.0287533,166.0
248736,304531,,,2645732,,,G,224.528,62.90198,192.8413066,,0.0434206717103,-18.646,0.1151464546983121,2261517746.1083717,166.0
249455,305320,,,2642986,,,G,222.248,62.76735,219.83956696200002,,0.0494033647017,-18.9205,0.11523333544041865,2912057861.529698,166.0
279078,342515,,,2622981,,,G,226.284,61.70339,135.987773849,,0.0302022151011,-16.9975,0.11913472941007812,495450190.8047885,166.0
279127,342565,,,2643746,,,G,221.998,62.80647,229.50727148400003,,0.0514170557085,-19.474,0.1191393641396504,4848417387.084473,166.0
279130,342568,,,2645731,,,G,221.424,62.90224,221.957280455,,0.0498441549221,-18.3013,0.11913957151465765,1646341781.423458,166.0
279137,342576,,,2647692,,,G,222.8,63.00208000000001,229.54427860799998,,0.0514170557085,-18.3843,0.11914075282768904,1777133280.4421473,166.0
279143,342582,,,2649974,,,G,223.898,63.11825,192.00439129900002,,0.0432274716137,-18.1466,0.11914126120224296,1427709995.3163779,166.0
279146,342585,,,2651955,,,G,222.989,63.22852,214.68252058099998,,0.0483178741589,-18.079,0.11914148541489095,1341528798.2661295,166.0
282582,347683,,,3137465,,,G,225.526,60.80289000000001,197.711646353,,0.0445977222989,-18.3502,0.1195297485980646,1722185784.1141837,166.0
282593,347694,,,3137627,,,G,223.816,61.31424000000001,110.446225203,,0.0248778724389,-18.0558,0.1195303820157068,1313167119.9292805,166.0
282594,347696,,,3137742,,,G,224.183,61.8466,208.11785219599997,,0.0470456935228,-18.2915,0.11953050885259485,1631548543.915209,166.0
