,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
5832,6310,3958.0,ESO295-038,ESO295-038,01071111-4154596,,G,16.79632,-41.916576,103.89367726,,0.020079,-21.1019,0.003818577429714064,21715008315.19493,2594.0
7130,7612,3412.0,NGC0322,NGC0322,00570999-4343376,,G,14.291634,-43.727127,106.96129726,,0.02384,-20.6251,0.004666215909935376,13997162352.653854,2594.0
8767,9253,,,3847,01045986-4604332,,G,16.249435000000002,-46.075912,129.34342742299998,,0.026562,-21.1887,0.005704398926437482,23522311666.46259,2594.0
8830,9318,3939.0,PGC003939,PGC003939,01064964-4549293,,G,16.706854,-45.824814,108.318286377,,0.023498,-20.9005,0.005746155591740306,18038482524.31756,2594.0
9928,10422,101140.0,PGC101140,PGC101140,00580316-4637020,,G,14.513181,-46.617249,102.95624227200001,,0.024994,-20.6533,0.006467094431882202,14365475308.258312,2594.0
13127,13640,4092.0,ESO243-043,ESO243-043,01085490-4518167,,G,17.228775,-45.304642,107.526263254,,0.024817,-20.6246,0.00854648581286465,13990717905.1812,2594.0
14393,14910,,,3873,01052683-4212581,,G,16.361801,-42.21616,129.51372844899998,,0.025766000000000004,-20.5456,0.009331841768867002,13008882768.6013,2594.0
16140,16679,,,130103,00510924-4606335,,G,12.788527,-46.109333,141.337113077,,0.029916,-21.1543,0.010463507111025718,22788723549.667885,2594.0
18681,19261,3398.0,NGC0319,NGC0319,00565761-4350196,,G,14.240064000000002,-43.838791,104.400282366,,0.018971,-20.6645,0.01208797139438179,14514430494.302591,2594.0
18910,19497,,,100469,01034906-4252397,,G,15.954419,-42.877716,245.560875641,,0.038902,-22.0908,0.012247551322510509,53990829512.255325,2594.0
19004,19593,3338.0,ESO243-012,ESO243-012,00561499-4703520,,G,14.062478,-47.064457,123.40682223700001,,0.021334,-20.7647,0.012307914622536982,15917688442.964397,2594.0
20982,21607,,,NGC0368,01042204-4316363,,G,16.091839,-43.276775,127.891776332,,0.028424,-21.0082,0.0135383774122217,19919571873.38028,2594.0
21322,21954,,,3146,00533009-4722247,,G,13.375413,-47.373539,126.45873092,,0.032894,-20.8857,0.013744926848219229,17794262788.11021,2594.0
21736,22375,3263.0,ESO243-011,ESO243-011,00551351-4354589,,G,13.806333,-43.916374,105.409306948,,0.020129,-20.7694,0.014004500508754516,15986743243.803688,2594.0
22278,22933,3967.0,PGC003967,PGC003967,01071748-4153267,,G,16.82284,-41.890755,106.329730384,,0.030117,-20.4533,0.014335824377477463,11948681916.079187,2594.0
25372,26121,,,3985,01073034-4510502,,G,16.876419,-45.18063400000001,111.911737317,,0.028715,-19.7794,0.01627956714930679,6423326530.761684,2594.0
26090,26868,,,3136,00532687-4722506,,G,13.361989,-47.380733,125.05769125399999,,0.037719,-20.2026,0.016748681010217547,9485058198.92377,2594.0
